cue_name,command_param,command,sheet_name,end_pos,type,seq_num,seek_time,start_pos,letter_id,id,line_num
vo_10020900_0001,0.0,0,vo_10020900,0,2,1,0.0,0,1,1010001,0
0,0.0,0,0,180,1,2,0.818181818181818,0,1,1010002,1
0,0.818181818181818,1,0,0,4,3,0.0,0,1,1010003,1
0,0.0,0,0,99,1,4,0.634285714285714,0,1,1010004,2
0,1.03428571428571,1,0,0,4,5,0.0,0,1,1010005,2
0,0.0,0,0,289,1,6,1.33714285714286,99,1,1010006,2
0,2.13714285714286,1,0,0,4,7,0.0,0,1,1010007,2
vo_10020900_0002,0.0,0,vo_10020900,0,2,8,0.0,0,1,1010008,0
0,0.0,0,0,176,1,9,1.12948051948052,0,1,1010009,3
0,2.12948051948052,1,0,0,4,10,0.0,0,1,1010010,3
vo_10020900_0003,0.0,0,vo_10020900,0,2,11,0.0,0,1,1010011,0
0,0.0,0,0,249,1,12,0.545454545454545,176,1,1010012,3
0,1.04545454545455,1,0,0,4,13,0.0,0,1,1010013,3
0,0.0,0,0,536,1,14,1.71545454545455,249,1,1010014,3
0,2.71545454545455,1,0,0,4,15,0.0,0,1,1010015,3
vo_10020900_0004,0.0,0,vo_10020900,0,2,16,0.0,0,1,1010016,0
0,0.0,0,0,190,1,17,1.67857142857143,0,1,1010017,4
0,2.17857142857143,1,0,0,4,18,0.0,0,1,1010018,4
vo_10020900_0005,0.0,0,vo_10020900,0,2,19,0.0,0,1,1010019,0
0,0.0,0,0,353,1,20,1.28311688311688,190,1,1010020,4
0,1.98311688311688,1,0,0,4,21,0.0,0,1,1010021,4
0,0.0,0,0,528,1,22,1.2987012987013,353,1,1010022,4
0,1.9987012987013,1,0,0,4,23,0.0,0,1,1010023,4
0,0.0,0,0,340,1,24,2.07792207792208,0,1,1010024,5
0,3.07792207792208,1,0,0,4,25,0.0,0,1,1010025,5
vo_10020900_0006,0.0,0,vo_10020900,0,2,26,0.0,0,1,1010026,0
0,0.0,0,0,219,1,27,1.06363636363636,0,1,1010027,6
0,1.56363636363636,1,0,0,4,28,0.0,0,1,1010028,6
0,0.0,0,0,700,1,29,2.96,219,1,1010029,6
0,3.96,1,0,0,4,30,0.0,0,1,1010030,6
vo_10020900_0007,0.0,0,vo_10020900,0,2,31,0.0,0,1,1010031,0
0,0.0,0,0,60,1,32,0.386363636363636,0,1,1010032,7
0,0.886363636363636,1,0,0,4,33,0.0,0,1,1010033,7
0,0.0,0,0,750,1,34,3.54090909090909,60,1,1010034,7
0,4.54090909090909,1,0,0,4,35,0.0,0,1,1010035,7
vo_10020900_0008,0.0,0,vo_10020900,0,2,36,0.0,0,1,1010036,0
0,0.0,0,0,121,1,37,0.431818181818182,0,1,1010037,8
0,1.03181818181818,1,0,0,4,38,0.0,0,1,1010038,8
vo_10020900_0009,0.0,0,vo_10020900,0,2,39,0.0,0,1,1010039,0
0,0.0,0,0,232,1,40,0.709090909090909,121,1,1010040,8
0,1.30909090909091,1,0,0,4,41,0.0,0,1,1010041,8
vo_10020900_0010,0.0,0,vo_10020900,0,2,42,0.0,0,1,1010042,0
0,0.0,0,0,560,1,43,3.07662337662338,232,1,1010043,8
0,4.07662337662338,1,0,0,4,44,0.0,0,1,1010044,8
vo_10020900_0011,0.0,0,vo_10020900,0,2,45,0.0,0,1,1010045,0
0,0.0,0,0,267,1,46,1.43506493506493,0,1,1010046,9
0,2.43506493506493,1,0,0,4,47,0.0,0,1,1010047,9
vo_10020900_0012,0.0,0,vo_10020900,0,2,48,0.0,0,1,1010048,0
0,0.0,0,0,640,1,49,2.75,267,1,1010049,9
0,3.95,1,0,0,4,50,0.0,0,1,1010050,9
vo_10020900_0013,0.0,0,vo_10020900,0,2,51,0.0,0,1,1010051,0
0,0.0,0,0,571,1,52,1.67792207792208,343,1,1010052,10
0,2.27792207792208,1,0,0,4,53,0.0,0,1,1010053,10
0,0.0,0,0,750,1,54,0.9,571,1,1010054,10
