param_06,param_01,command_type,command_id,param_08,param_03,param_05,param_02,drama_id,param_07,param_04
1.95,1,1,1009801001,lsv_idle_normal,102,-495,122711,1009801,0,-200
1.95,1,1,1009801002,lsv_idle_normal,100,-480,122811,1009801,1,100
1.95,1,1,1009801003,lsv_idle_normal,101,-510,122911,1009801,1,270
1,1,5,1009801004,lsv_white_loop,0,0,333,1009801,0,0
0,333,6,1009801005,"",1,0,1,1009801,0,1
0,122711,6,1009801006,"",1,0,1,1009801,0,1
0,122811,6,1009801007,"",1,0,1,1009801,0,1
0,122911,6,1009801008,"",1,0,1,1009801,0,1
"",1,93,1009801009,"","","",0,1009801,"",""
0.8,333,6,1009801010,"",1,0.4,1,1009801,0,1
0.2,122711,3,1009801011,"",0,1,lsv_jump1,1009801,0.2,lsv_idle_normal
0.2,122811,3,1009801012,"",0,1,lsv_jump1,1009801,0.2,lsv_idle_normal
0.2,122911,3,1009801013,"",0,1,lsv_jump1,1009801,0.2,lsv_idle_normal
"",0.3,93,1009801014,"","","","",1009801,"",""
"",122711,2,1009801015,"",-235,0,-200,1009801,"",0.75
"",122811,2,1009801016,"",-220,0,100,1009801,"",0.75
"",122911,2,1009801017,"",-250,0,270,1009801,"",0.75
0.4,122711,6,1009801018,"",1,1,1,1009801,0,1
0.4,122811,6,1009801019,"",1,1,1,1009801,0,1
0.4,122911,6,1009801020,"",1,1,1,1009801,0,1
"",2,93,1009801021,"","","",0,1009801,"",""
0.2,122911,3,1009801022,"",1,"",lsv_talk_joy1,1009801,"",""
"",vo_lsv,21,1009801023,"",0,"",vo_lsv_0121,1009801,"",0
0,122911,11,1009801024,0,10,1,"『뮤뮤 무럭무럭 일기』♪\n시작 시작~",1009801,0,1
"",0,91,1009801025,"","","","",1009801,"",""
0.2,122911,3,1009801026,"",1,"",lsv_idle_normal_joyR,1009801,"",""
0.2,122711,3,1009801027,"",1,"",lsv_talk_normal,1009801,"",""
"",vo_lsv,21,1009801028,"",0,"",vo_lsv_0122,1009801,"",0
0,122711,11,1009801029,0,10,1,"다 같이 이 일기를 써서,\n뮤뮤와의 추억을\n만들어 나가자.",1009801,0,1
"",0,91,1009801030,"","","","",1009801,"",""
0.2,122711,3,1009801031,"",1,"",lsv_idle_normal,1009801,"",""
0.2,122911,3,1009801032,"",1,"",lsv_idle_normal,1009801,"",""
0,122811,3,1009801033,"",0,1,lsv_talk_cool,1009801,0.2,lsv_talk_cool_loop
"",vo_lsv,21,1009801034,"",0,"",vo_lsv_0123,1009801,"",0
0,122811,11,1009801035,0,10,1,"그나저나… 쿄우카는\n일기도 성실하네~\n선생님한테 보여주는 것 같아!",1009801,0,1
"",0,91,1009801036,"","","","",1009801,"",""
0.2,122811,3,1009801037,"",1,"",lsv_talk_bitter,1009801,"",""
"",vo_lsv,21,1009801038,"",0,"",vo_lsv_0124,1009801,"",0
0,122811,11,1009801039,0,10,1,"우리만 읽는 거니까\n좀 더 장난스럽게 써도\n괜찮은데~♪",1009801,0,1
"",0,91,1009801040,"","","","",1009801,"",""
0.2,122811,3,1009801041,"",1,"",lsv_idle_joy,1009801,"",""
0.2,122711,3,1009801042,"",1,"",lsv_talk_anger2,1009801,"",""
"",vo_lsv,21,1009801043,"",0,"",vo_lsv_0125,1009801,"",0
0,122711,11,1009801044,0,10,1,"자, 장난스럽게 쓰다니…!\n나는 못 해.",1009801,0,1
"",0,91,1009801045,"","","","",1009801,"",""
0.2,122711,3,1009801046,"",1,"",lsv_idle_anger2,1009801,"",""
0.2,122911,3,1009801047,"",1,"",lsv_talk_normal,1009801,"",""
"",vo_lsv,21,1009801048,"",0,"",vo_lsv_0126,1009801,"",0
0,122911,11,1009801049,0,10,1,"괜찮아~\n미미는 쿄우카의\n일기도 좋다고 생각하는걸♪",1009801,0,1
"",0,91,1009801050,"","","","",1009801,"",""
0.2,122911,3,1009801051,"",1,"",lsv_idle_normal_joyR,1009801,"",""
0,122711,3,1009801052,"",0,1,lsv_talk_guts2_anger,1009801,0.2,lsv_talk_guts2_anger_loop
"",vo_lsv,21,1009801053,"",0,"",vo_lsv_0127,1009801,"",0
0,122711,11,1009801054,0,10,1,"어, 어쨌든! 이 일기는\n뮤뮤에 대해 알아가기\n위해서도 쓰는 거라고?",1009801,0,1
"",0,91,1009801055,"","","","",1009801,"",""
0.2,122711,3,1009801056,"",1,"",lsv_talk_normal_worry,1009801,"",""
"",vo_lsv,21,1009801057,"",0,"",vo_lsv_0128,1009801,"",0
0,122711,11,1009801058,0,10,1,"어떤 생물인지 모르면\n키우는 것도 큰일이고…\n그 사실, 잊지 않도록 해?",1009801,0,1
"",0,91,1009801059,"","","","",1009801,"",""
0.2,122711,3,1009801060,"",1,"",lsv_idle_normal,1009801,"",""
0,122811,3,1009801061,"",0,1,lsv_hello,1009801,0.2,lsv_idle_normal
0,122911,3,1009801062,"",0,1,lsv_hello,1009801,0.2,lsv_idle_normal_joyR
"",vo_lsv,21,1009801063,"",0,"",vo_lsv_0129,1009801,"",0
0,122811,11,1009801064,0,10,1,"네~에!",1009801,0,1
0,122911,11,1009801065,0,10,1,"네~에!",1009801,0,1
"",0,91,1009801066,"","","","",1009801,"",""
0.2,122711,3,1009801067,"",1,"",lsv_idle_normal,1009801,"",""
0.2,122911,3,1009801068,"",1,"",lsv_talk_surprise,1009801,"",""
"",vo_lsv,21,1009801069,"",0,"",vo_lsv_0130,1009801,"",0
0,122911,11,1009801070,0,10,1,"뮤뮤는 신기하지~\n처음 만났을 때는\n깜짝 놀랐어!",1009801,0,1
"",0,91,1009801071,"","","","",1009801,"",""
0.2,122911,3,1009801072,"",1,"",lsv_idle_normal_suprise1,1009801,"",""
0,122811,3,1009801073,"",0,1,lsv_talk_cool,1009801,0.2,lsv_talk_cool_loop
"",vo_lsv,21,1009801074,"",0,"",vo_lsv_0131,1009801,"",0
0,122811,11,1009801075,0,10,1,"알도 돌 같았고!\n저기, 오빠는\n어떤 생물이라고 생각해?",1009801,0,1
"",0,91,1009801076,"","","","",1009801,"",""
0,122711,3,1009801077,"",0,1,lsv_choice,1009801,0.2,lsv_look_idle_normal
0,122811,3,1009801078,"",0,1,lsv_choice,1009801,0.2,lsv_look_idle_normal
0,122911,3,1009801079,"",0,1,lsv_choice,1009801,0.2,lsv_look_idle_normal
"",0.1,93,1009801080,"","","",0,1009801,"",""
"",122711,2,1009801081,"",-235,2,-452,1009801,0.2,0.33
"",122811,2,1009801082,"",-220,2,420,1009801,0.2,0.33
"",122911,2,1009801083,"",-250,2,545,1009801,0.2,0.33
0.2,0,22,1009801084,"",1,"",0,1009801,"",""
"","괴수의 아기",103,1009801085,"",0,"",1009801088,1009801,"",""
"","큰 민달팽이",103,1009801086,"",0,"",1009801102,1009801,"",""
"","독이 있는 생물",103,1009801087,"",0,"",1009801115,1009801,"",""
0,122711,3,1009801088,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
0,122811,3,1009801089,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
0,122911,3,1009801090,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
"",0.1,93,1009801091,"","","",0,1009801,"",""
"",122711,2,1009801092,"",-235,2,-200,1009801,0.2,0.33
"",122811,2,1009801093,"",-220,2,100,1009801,0.2,0.33
"",122911,2,1009801094,"",-250,2,270,1009801,0.2,0.33
"",0.7,93,1009801095,"","","",0,1009801,"",""
0.2,122911,3,1009801096,"",1,"",lsv_talk_wish_joy,1009801,"",""
"",vo_lsv,21,1009801097,"",0,"",vo_lsv_0132,1009801,"",0
0,122911,11,1009801098,0,10,1,"괴수?\n분명, 커다래지겠네~♪\n성보다도 커지려나?",1009801,0,1
"",0,91,1009801099,"","","","",1009801,"",""
0.2,122911,3,1009801100,"",1,"",lsv_idle_normal,1009801,"",""
"",1009801129,101,1009801101,"","","","",1009801,"",""
0,122711,3,1009801102,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
0,122811,3,1009801103,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
0,122911,3,1009801104,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
"",0.1,93,1009801105,"","","",0,1009801,"",""
"",122711,2,1009801106,"",-235,2,-200,1009801,0.2,0.33
"",122811,2,1009801107,"",-220,2,100,1009801,0.2,0.33
"",122911,2,1009801108,"",-250,2,270,1009801,0.2,0.33
"",0.7,93,1009801109,"","","",0,1009801,"",""
0.2,122811,3,1009801110,"",1,"",lsv_talk_bitter_sad,1009801,"",""
"",vo_lsv,21,1009801111,"",0,"",vo_lsv_0133,1009801,"",0
0,122811,11,1009801112,0,10,1,"에~ 민달팽이~?\n별로 멋있지 않지만…\n소금은 가까이 가지 않게 해둘까?",1009801,0,1
"",0,91,1009801113,"","","","",1009801,"",""
"",1009801129,101,1009801114,"","","","",1009801,"",""
0,122711,3,1009801115,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
0,122811,3,1009801116,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
0,122911,3,1009801117,"",0,1,lsv_choice,1009801,0.2,lsv_idle_normal
"",0.1,93,1009801118,"","","",0,1009801,"",""
"",122711,2,1009801119,"",-235,2,-200,1009801,0.2,0.33
"",122811,2,1009801120,"",-220,2,100,1009801,0.2,0.33
"",122911,2,1009801121,"",-250,2,270,1009801,0.2,0.33
"",0.7,93,1009801122,"","","",0,1009801,"",""
0.2,122711,3,1009801123,"",1,"",lsv_talk_normal_worry,1009801,"",""
"",vo_lsv,21,1009801124,"",0,"",vo_lsv_0134,1009801,"",0
0,122711,11,1009801125,0,10,1,"다 같이 쓰담쓰담 했으니까\n그건 말이 안 돼요.\n무엇보다… 귀엽고.",1009801,0,1
"",0,91,1009801126,"","","","",1009801,"",""
0.2,122711,3,1009801127,"",1,"",lsv_idle_normal,1009801,"",""
"",1009801129,101,1009801128,"","","","",1009801,"",""
"",0,91,1009801129,"","","","",1009801,"",""
0,122811,3,1009801130,"",0,1,lsv_talk_arm_crossed_joy,1009801,0.2,lsv_talk_arm_crossed_loop_joy
"",vo_lsv,21,1009801131,"",0,"",vo_lsv_0135,1009801,"",0
0,122811,11,1009801132,0,10,1,"뭐, 어쨌든 말이야?\n키워보면 알 거야!\n그러니까, 힘내자~!",1009801,0,1
"",0,91,1009801133,"","","","",1009801,"",""
0,122811,3,1009801134,"",0,1,lsv_handsup_joy,1009801,0.2,lsv_idle_normal_joy
