size,softness,offset,chara_id
700.0,50.0,0.0,111
700.0,50.0,0.0,113
800.0,50.0,0.0,131
700.0,50.0,0.0,211
700.0,50.0,0.0,213
800.0,50.0,0.0,231
700.0,50.0,0.0,311
460.0,50.0,-25.0,312
700.0,50.0,0.0,313
700.0,50.0,0.0,314
700.0,50.0,0.0,331
700.0,50.0,0.0,411
700.0,50.0,0.0,412
700.0,50.0,0.0,413
600.0,0.0,0.0,414
460.0,50.0,0.0,415
460.0,50.0,0.0,416
700.0,50.0,0.0,417
700.0,50.0,0.0,418
700.0,50.0,0.0,419
700.0,50.0,0.0,421
700.0,50.0,0.0,422
700.0,50.0,30.0,511
700.0,50.0,30.0,512
700.0,50.0,100.0,611
700.0,50.0,100.0,711
800.0,50.0,0.0,712
800.0,50.0,0.0,713
800.0,50.0,0.0,714
800.0,50.0,0.0,715
800.0,50.0,0.0,716
700.0,50.0,100.0,717
700.0,50.0,100.0,718
800.0,50.0,-195.0,719
500.0,50.0,50.0,811
1200.0,50.0,0.0,812
800.0,50.0,0.0,813
800.0,60.0,0.0,814
800.0,60.0,0.0,815
500.0,50.0,50.0,816
600.0,50.0,-65.0,911
1200.0,50.0,0.0,912
800.0,50.0,0.0,913
800.0,50.0,0.0,914
980.0,55.0,-40.0,915
980.0,55.0,-40.0,916
600.0,50.0,-65.0,917
800.0,50.0,0.0,1011
800.0,50.0,0.0,1012
800.0,50.0,0.0,1013
800.0,50.0,0.0,1031
800.0,50.0,0.0,1111
800.0,50.0,0.0,1112
800.0,50.0,0.0,1131
590.0,50.0,-60.0,1211
460.0,50.0,0.0,1212
460.0,50.0,0.0,1213
460.0,50.0,0.0,1214
600.0,50.0,-15.0,1215
800.0,50.0,0.0,1231
700.0,50.0,-50.0,1331
800.0,50.0,0.0,1411
800.0,50.0,0.0,1412
800.0,50.0,0.0,1413
800.0,50.0,0.0,1421
700.0,50.0,100.0,1511
700.0,50.0,100.0,1512
700.0,50.0,100.0,1514
700.0,50.0,100.0,1515
700.0,50.0,100.0,1516
700.0,50.0,100.0,1521
700.0,150.0,-50.0,1611
700.0,150.0,-50.0,1612
700.0,150.0,-50.0,1613
800.0,50.0,0.0,1614
700.0,150.0,-50.0,1615
800.0,50.0,0.0,1711
800.0,50.0,0.0,1811
800.0,50.0,0.0,1911
800.0,50.0,0.0,2011
800.0,50.0,0.0,2111
800.0,50.0,0.0,2211
800.0,50.0,0.0,2311
800.0,50.0,0.0,2411
800.0,50.0,0.0,2415
970.0,15.0,15.0,2511
800.0,50.0,0.0,2512
1100.0,20.0,0.0,2513
1100.0,20.0,0.0,2514
455.0,0.0,0.0,2611
525.0,50.0,-45.0,2711
525.0,50.0,-45.0,2712
1190.0,125.0,-30.0,2811
1190.0,125.0,-30.0,2812
460.0,0.0,0.0,2911
800.0,50.0,0.0,2912
800.0,50.0,0.0,2913
800.0,50.0,0.0,2914
800.0,50.0,0.0,2915
600.0,50.0,0.0,2931
460.0,0.0,0.0,3011
800.0,50.0,0.0,3012
800.0,50.0,0.0,3013
600.0,50.0,0.0,3031
460.0,0.0,0.0,3111
800.0,50.0,0.0,3112
800.0,50.0,0.0,3113
800.0,50.0,0.0,3114
600.0,50.0,0.0,3131
460.0,0.0,-20.0,3211
600.0,50.0,-40.0,3311
460.0,50.0,-30.0,3411
700.0,50.0,-60.0,3511
800.0,50.0,0.0,3512
800.0,50.0,-30.0,3911
800.0,30.0,0.0,4011
800.0,30.0,0.0,4111
600.0,50.0,0.0,4211
800.0,50.0,0.0,4311
800.0,50.0,0.0,4312
800.0,50.0,0.0,4411
700.0,60.0,10.0,4511
700.0,60.0,10.0,4512
700.0,60.0,10.0,4513
460.0,50.0,0.0,4611
650.0,70.0,-30.0,4711
620.0,70.0,0.0,4811
800.0,50.0,0.0,4911
800.0,50.0,0.0,5011
800.0,50.0,0.0,5012
800.0,50.0,0.0,5013
800.0,50.0,0.0,5111
800.0,50.0,0.0,5112
800.0,50.0,0.0,5211
800.0,50.0,0.0,5212
600.0,50.0,0.0,5413
800.0,50.0,0.0,5511
800.0,50.0,0.0,5512
700.0,50.0,0.0,5611
800.0,50.0,0.0,5612
590.0,50.0,-60.0,5613
460.0,50.0,0.0,5614
700.0,50.0,0.0,5615
700.0,50.0,0.0,5616
800.0,50.0,0.0,5711
800.0,50.0,0.0,5712
800.0,50.0,0.0,5811
800.0,50.0,0.0,5812
800.0,50.0,0.0,5911
800.0,50.0,0.0,5912
800.0,50.0,0.0,6011
530.0,75.0,0.0,6012
700.0,50.0,0.0,6111
790.0,70.0,0.0,6211
750.0,50.0,-135.0,6311
750.0,50.0,-120.0,6312
900.0,50.0,0.0,6411
670.0,50.0,-50.0,6511
800.0,70.0,0.0,6632
800.0,70.0,0.0,6732
800.0,70.0,0.0,6832
800.0,70.0,0.0,6932
830.0,50.0,0.0,7011
830.0,50.0,0.0,7012
700.0,50.0,-100.0,7111
700.0,50.0,-100.0,7112
700.0,50.0,-100.0,7113
700.0,50.0,-100.0,7114
790.0,70.0,0.0,7411
700.0,50.0,0.0,7511
700.0,50.0,0.0,7531
800.0,50.0,0.0,7711
800.0,50.0,0.0,7811
800.0,50.0,0.0,7911
800.0,50.0,0.0,7912
700.0,50.0,0.0,8011
700.0,50.0,0.0,8031
700.0,50.0,0.0,8111
650.0,50.0,-35.0,8211
800.0,50.0,0.0,8311
800.0,50.0,0.0,8511
900.0,50.0,0.0,8611
1000.0,50.0,0.0,8711
1000.0,50.0,0.0,8712
1000.0,50.0,0.0,8811
800.0,50.0,0.0,8911
800.0,50.0,0.0,8912
530.0,50.0,-35.0,9011
800.0,50.0,0.0,9111
800.0,50.0,0.0,9211
800.0,50.0,0.0,9212
800.0,50.0,0.0,9213
460.0,50.0,0.0,9311
1500.0,50.0,0.0,9411
1500.0,50.0,0.0,9412
800.0,50.0,0.0,9511
800.0,50.0,0.0,9811
800.0,50.0,0.0,9911
800.0,50.0,0.0,9912
730.0,0.0,-15.0,11411
730.0,0.0,-15.0,11413
715.0,60.0,-45.0,13311
960.0,50.0,0.0,14313
2000.0,50.0,0.0,15011
900.0,50.0,0.0,15012
800.0,50.0,0.0,15311
800.0,50.0,0.0,15314
750.0,45.0,-60.0,15811
1200.0,50.0,30.0,15916
1300.0,50.0,0.0,16011
1300.0,50.0,0.0,16012
1000.0,50.0,0.0,16311
1000.0,50.0,205.0,16312
530.0,70.0,0.0,16711
600.0,70.0,0.0,16712
2000.0,0.0,0.0,17011
760.0,45.0,-45.0,17211
2000.0,0.0,0.0,17212
2000.0,50.0,0.0,17511
2000.0,50.0,0.0,17512
800.0,50.0,0.0,18211
1100.0,50.0,0.0,18711
800.0,50.0,0.0,18912
800.0,50.0,0.0,50611
700.0,60.0,-75.0,50711
1500.0,50.0,0.0,50811
460.0,50.0,0.0,50911
460.0,50.0,0.0,50912
800.0,50.0,0.0,51011
800.0,50.0,0.0,51111
700.0,50.0,0.0,51311
800.0,50.0,0.0,51411
700.0,50.0,100.0,51511
800.0,50.0,0.0,51512
800.0,50.0,0.0,51611
800.0,50.0,0.0,51711
800.0,50.0,0.0,51712
800.0,50.0,0.0,51811
800.0,50.0,0.0,51812
800.0,50.0,0.0,51911
800.0,50.0,0.0,51912
800.0,50.0,0.0,52011
874.0,35.0,-115.0,52111
1500.0,50.0,0.0,52311
1500.0,50.0,0.0,52312
1500.0,50.0,0.0,52313
530.0,50.0,0.0,52411
530.0,50.0,0.0,52412
900.0,50.0,0.0,52711
900.0,50.0,0.0,52712
700.0,50.0,-15.0,52731
750.0,45.0,-60.0,100011
750.0,45.0,-60.0,100012
750.0,45.0,-60.0,100099
615.0,45.0,1.5,100111
615.0,45.0,1.5,100112
700.0,45.0,40.0,100113
700.0,50.0,0.0,100131
700.0,50.0,0.0,100132
800.0,50.0,0.0,100211
800.0,50.0,0.0,100212
800.0,50.0,0.0,100213
700.0,50.0,0.0,100231
700.0,50.0,0.0,100232
600.0,45.0,0.0,100311
600.0,45.0,-120.0,100312
600.0,45.0,-120.0,100313
650.0,100.0,-70.0,100331
700.0,50.0,0.0,100332
650.0,60.0,-65.0,100411
700.0,50.0,0.0,100431
