param_05,param_08,command_type,param_01,param_07,drama_id,param_02,param_06,param_03,command_id,param_04
-120,ttk_idle_def,5,1,1,1,102611,1,850,1010001,100
1,"",31,2,"",1,2,1,0,1010002,0
1,"",31,1,"",1,1,1,-80,1010003,-120
"","",93,1,"",1,"","","",1010004,""
"","",21,vo_minigame_1005,"",1,vo_minigame_1005_top_000,"",0,1010005,0
1,"",3,102611,0.3,1,ttk_doya,0.3,0,1010006,ttk_idle_doya
"","",11,102611,0,1,"맡은 일은\n제대로 할 거야",0,8,1010007,""
"","",91,0,"",1,"","","",1010008,""
-120,ttk_idle_def,5,1,1,2,102611,1,850,1020001,100
1,"",31,2,"",2,2,1,0,1020002,0
1,"",31,1,"",2,1,1,-80,1020003,-120
"","",93,1,"",2,"","","",1020004,""
"","",21,vo_minigame_1005,"",2,vo_minigame_1005_top_001,"",0,1020005,0
1,"",3,102611,0.3,2,ttk_idle_smile,0.3,0,1020006,ttk_idle_def
"","",11,102611,0,2,"내 앞에\n나타난 걸\n후회하게 해줄게",0,8,1020007,""
"","",91,0,"",2,"","","",1020008,""
-120,ttk_idle_def,5,1,1,3,102611,1,850,1030001,100
1,"",31,2,"",3,2,1,0,1030002,0
1,"",31,1,"",3,1,1,-80,1030003,-120
"","",93,1,"",3,"","","",1030004,""
"","",21,vo_minigame_1005,"",3,vo_minigame_1005_top_002,"",0,1030005,0
1,"",3,102611,0.3,3,ttk_joy,0.1,0,1030006,ttk_idle_joy
"","",11,102611,0,3,"요령을 파악하면\n꽤 즐거울지도\n아니, 노동은 노동인가…",0,8,1030007,""
"","",93,2.2,"",3,"","","",1030008,""
"","",3,102611,0.3,3,ttk_talk_sad,0.3,1,1030009,""
"","",93,3,"",3,"","","",1030010,""
"","",3,102611,0.3,3,ttk_idle_def,0.3,1,1030011,""
"","",91,0,"",3,"","","",1030012,""
-120,ttk_idle_def,5,1,1,4,102611,1,850,1040001,100
1,"",31,2,"",4,2,1,0,1040002,0
1,"",31,1,"",4,1,1,-80,1040003,-120
"","",93,1,"",4,"","","",1040004,""
"","",21,vo_minigame_1005,"",4,vo_minigame_1005_top_003,"",0,1040005,0
1,"",3,102611,0.3,4,ttk_shock,0.3,0,1040006,ttk_idle_shock
"","",11,102611,0,4,"쥐랑 관련된 거\n알고 싶지 않아\n하아… 귀찮아",0,8,1040007,""
"","",93,5,"",4,"","","",1040008,""
"","",3,102611,0.3,4,ttk_idle_def,0.3,1,1040009,""
"","",93,0.7,"",4,"","","",1040010,""
-120,ttk_idle_def,5,1,1,5,102611,1,850,1050001,100
1,"",31,2,"",5,2,1,0,1050002,0
1,"",31,1,"",5,1,1,-80,1050003,-120
"","",93,1,"",5,"","","",1050004,""
"","",21,vo_minigame_1005,"",5,vo_minigame_1005_top_004,"",0,1050005,0
"","",3,102611,0.3,5,ttk_surprise,0.3,0,1050006,""
"","",11,102611,0,5,"우왓!?\n이쪽으로 오지 마!\n하아… 작아서\n쫓아내기 힘들어…",0,8,1050007,""
"","",93,0.9,"",5,"","","",1050008,""
"","",3,102611,0.3,5,ttk_talk_anger,0.3,1,1050009,""
"","",93,0.8,"",5,"","","",1050010,""
1,"",3,102611,0.3,5,ttk_sad,0.3,0,1050011,ttk_talk_sad
"","",93,5,"",5,"","","",1050012,""
"","",3,102611,0.3,5,ttk_idle_def,0.3,1,1050013,""
"","",91,0,"",5,"","","",1050014,""
-120,ttk_idle_def,5,1,1,6,102611,1,850,1060001,100
1,"",31,2,"",6,2,1,0,1060002,0
1,"",31,1,"",6,1,1,-80,1060003,-120
"","",93,1,"",6,"","","",1060004,""
"","",21,vo_minigame_1005,"",6,vo_minigame_1005_top_005,"",0,1060005,0
"","",3,102611,0.3,6,ttk_idle_worry,0.3,1,1060006,""
"","",11,102611,0,6,"이런 일에\n익숙해지고 싶지 않아…\n하지만 목장을 위해서는\n하는 수밖에 없나",0,8,1060007,""
"","",93,7,"",6,"","","",1060008,""
1,"",3,102611,0.3,6,ttk_amz,0.3,0,1060009,ttk_idle_def
"","",91,0,"",6,"","","",1060010,""
