event_top_adv_id,type,start_time,condition_type,event_id,value_1,character_id,value_2,story_id,end_time,condition_story_id,value_3
1,1004,"2019/07/30 15:00:00",0,10004,107601,107601,0,5004401,"2019/08/19 14:59:59",0,0
2,1002,"2019/07/30 15:00:00",0,10004,1000403,107601,1,5004402,"2019/08/19 14:59:59",0,0
3,1001,"2019/07/30 15:00:00",0,10004,10,107701,0,5004403,"2019/08/19 14:59:59",0,0
4,1001,"2019/07/30 15:00:00",0,10004,20,107501,0,5004404,"2019/08/19 14:59:59",0,0
5,1001,"2019/07/30 15:00:00",0,10004,30,107601,0,5004405,"2019/08/19 14:59:59",0,0
6,1003,"2019/07/30 15:00:00",0,10004,2,107501,0,5004406,"2019/08/19 14:59:59",0,0
7,1003,"2019/07/30 15:00:00",0,10004,5,107601,0,5004407,"2019/08/19 14:59:59",0,0
8,1003,"2019/07/30 15:00:00",0,10004,8,107801,0,5004408,"2019/08/19 14:59:59",0,0
9,1003,"2019/07/30 15:00:00",0,10004,12,107701,0,5004409,"2019/08/19 14:59:59",0,0
10,1003,"2019/07/30 15:00:00",0,10004,16,107501,0,5004410,"2019/08/19 14:59:59",0,0
11,1003,"2019/07/30 15:00:00",0,10004,20,107601,0,5004411,"2019/08/19 14:59:59",0,0
12,1004,"2019/08/29 15:00:00",0,10005,108001,108001,0,5005401,"2019/09/17 14:59:59",0,0
13,1002,"2019/08/29 15:00:00",0,10005,1000503,107901,1,5005402,"2019/09/17 14:59:59",0,0
14,1001,"2019/08/29 15:00:00",0,10005,10,108001,0,5005403,"2019/09/17 14:59:59",0,0
15,1001,"2019/08/29 15:00:00",0,10005,20,107901,0,5005404,"2019/09/17 14:59:59",0,0
16,1001,"2019/08/29 15:00:00",0,10005,30,108001,0,5005405,"2019/09/17 14:59:59",0,0
17,1003,"2019/08/29 15:00:00",0,10005,2,107901,0,5005406,"2019/09/17 14:59:59",0,0
18,1003,"2019/08/29 15:00:00",0,10005,5,108001,0,5005407,"2019/09/17 14:59:59",0,0
19,1003,"2019/08/29 15:00:00",0,10005,8,107901,0,5005408,"2019/09/17 14:59:59",0,0
20,1003,"2019/08/29 15:00:00",0,10005,12,108001,0,5005409,"2019/09/17 14:59:59",0,0
21,1003,"2019/08/29 15:00:00",0,10005,16,107901,0,5005410,"2019/09/17 14:59:59",0,0
22,1003,"2019/08/29 15:00:00",0,10005,20,108001,0,5005411,"2019/09/17 14:59:59",0,0
23,1002,"2019/10/01 15:00:00",0,10006,1000603,103701,1,5006402,"2019/10/20 14:59:59",0,0
24,1001,"2019/10/01 15:00:00",0,10006,10,100501,0,5006403,"2019/10/20 14:59:59",0,0
25,1001,"2019/10/01 15:00:00",0,10006,20,103701,0,5006404,"2019/10/20 14:59:59",0,0
26,1001,"2019/10/01 15:00:00",0,10006,30,104701,0,5006405,"2019/10/20 14:59:59",0,0
27,1003,"2019/10/01 15:00:00",0,10006,2,100501,0,5006406,"2019/10/20 14:59:59",0,0
28,1003,"2019/10/01 15:00:00",0,10006,5,103701,0,5006407,"2019/10/20 14:59:59",0,0
29,1003,"2019/10/01 15:00:00",0,10006,8,104701,0,5006408,"2019/10/20 14:59:59",0,0
30,1003,"2019/10/01 15:00:00",0,10006,12,107101,0,5006409,"2019/10/20 14:59:59",0,0
31,1003,"2019/10/01 15:00:00",0,10006,16,100501,0,5006410,"2019/10/20 14:59:59",0,0
32,1003,"2019/10/01 15:00:00",0,10006,19,104701,0,5006411,"2019/10/20 14:59:59",0,0
33,1004,"2019/10/30 15:00:00",0,10007,108201,108201,0,5007401,"2019/11/17 14:59:59",0,0
34,1002,"2019/10/30 15:00:00",0,10007,1000703,108101,1,5007402,"2019/11/17 14:59:59",0,0
35,1001,"2019/10/30 15:00:00",0,10007,10,108101,0,5007403,"2019/11/17 14:59:59",0,0
36,1001,"2019/10/30 15:00:00",0,10007,20,108201,0,5007404,"2019/11/17 14:59:59",0,0
37,1001,"2019/10/30 15:00:00",0,10007,30,108101,0,5007405,"2019/11/17 14:59:59",0,0
38,1003,"2019/10/30 15:00:00",0,10007,2,108201,0,5007406,"2019/11/17 14:59:59",0,0
39,1003,"2019/10/30 15:00:00",0,10007,5,108101,0,5007407,"2019/11/17 14:59:59",0,0
40,1003,"2019/10/30 15:00:00",0,10007,8,108201,0,5007408,"2019/11/17 14:59:59",0,0
41,1003,"2019/10/30 15:00:00",0,10007,12,108101,0,5007409,"2019/11/17 14:59:59",0,0
