pos_x,page_num,enhance_level_id_4,pre_node_1,pre_node_5,enhance_level_id_2,pre_node_3,enhance_level_id_1,pos_y,icon_id,pre_node_4,enhance_level_id_5,title_id,pre_node_2,enhance_level_id_3,node_id
5,1,104,0,0,102,0,101,1,10016,0,105,1,0,103,1
2,1,204,1,0,202,0,201,2,10021,0,205,2,0,203,2
5,1,304,1,0,302,0,301,2,10053,0,305,5,0,303,3
8,1,404,1,0,402,0,401,2,10044,0,405,4,0,403,4
2,1,504,2,0,502,0,501,3,10042,0,505,4,0,503,5
5,1,604,3,0,602,0,601,3,10024,0,605,2,0,603,6
8,1,704,4,0,702,0,701,3,10015,0,705,1,0,703,7
2,1,0,5,0,0,0,801,4,11012,0,0,101,0,0,8
5,1,904,6,0,902,0,901,4,10023,0,905,2,0,903,9
8,1,0,7,0,0,0,1001,4,11011,0,0,101,0,0,10
2,1,1104,8,0,1102,0,1101,5,10052,0,1105,5,0,1103,11
5,1,1204,9,0,1202,0,1201,5,10045,0,1205,4,0,1203,12
8,1,1304,10,0,1302,0,1301,5,10021,0,1305,2,0,1303,13
2,1,1404,11,0,1402,0,1401,6,10013,0,1405,1,0,1403,14
5,1,1504,12,0,1502,0,1501,6,10054,0,1505,5,0,1503,15
8,1,0,13,0,0,0,1601,6,11015,0,0,101,0,0,16
2,1,0,14,0,0,0,1701,7,11002,0,0,100,0,0,17
5,1,1804,15,0,1802,0,1801,7,10043,0,1805,4,0,1803,18
8,1,1904,16,0,1902,0,1901,7,10034,0,1905,3,16,1903,19
2,1,2004,17,0,2002,0,2001,8,10041,0,2005,4,0,2003,20
5,1,0,18,0,0,0,2101,8,11003,0,0,100,0,0,21
8,1,2204,19,0,2202,0,2201,8,10025,0,2205,2,0,2203,22
2,1,2304,20,0,2302,0,2301,9,10011,0,2305,1,0,2303,23
5,1,2404,21,0,2402,0,2401,9,10022,0,2405,2,0,2403,24
8,1,2504,22,0,2502,0,2501,9,10045,0,2505,4,0,2503,25
5,1,0,23,0,2602,25,2601,10,11006,0,0,100,24,2603,26
2,1,2704,26,0,2702,0,2701,11,10031,0,2705,3,0,2703,27
5,1,2804,26,0,2802,0,2801,11,10044,0,2805,4,0,2803,28
8,1,2904,26,0,2902,0,2901,11,10075,0,2905,7,0,2903,29
2,1,3004,27,0,3002,0,3001,12,10032,0,3005,3,0,3003,30
5,1,3104,28,0,3102,0,3101,12,10013,0,3105,1,0,3103,31
8,1,3204,29,0,3202,0,3201,12,10044,0,3205,4,0,3203,32
2,1,3304,30,0,3302,0,3301,13,10041,0,3305,4,0,3303,33
5,1,3404,31,0,3402,0,3401,13,10022,0,3405,2,0,3403,34
8,1,3504,32,0,3502,0,3501,13,10053,0,3505,5,0,3503,35
2,1,3604,33,0,3602,0,3601,14,10024,0,3605,2,0,3603,36
5,1,3704,34,0,3702,0,3701,14,10045,0,3705,4,0,3703,37
8,1,3804,35,0,3802,0,3801,14,10012,0,3805,1,0,3803,38
2,1,3904,36,0,3902,0,3901,15,10043,0,3905,4,0,3903,39
5,1,4004,37,0,4002,0,4001,15,10035,0,4005,3,0,4003,40
8,1,4104,38,0,4102,0,4101,15,10072,0,4105,7,0,4103,41
2,1,4204,39,0,4202,0,4201,16,10021,0,4205,2,0,4203,42
5,1,4304,40,0,4302,0,4301,16,10034,0,4305,3,0,4303,43
8,1,4404,41,0,4402,0,4401,16,10015,0,4405,1,0,4403,44
2,1,4504,42,0,4502,0,4501,17,10022,0,4505,2,0,4503,45
5,1,4604,43,0,4602,0,4601,17,10023,0,4605,2,0,4603,46
8,1,4704,44,0,4702,0,4701,17,10074,0,4705,7,0,4703,47
2,1,4804,45,0,4802,0,4801,18,10031,0,4805,3,0,4803,48
5,1,4904,46,0,4902,0,4901,18,10052,0,4905,5,0,4903,49
8,1,5004,47,0,5002,0,5001,18,10025,0,5005,2,0,5003,50
2,1,5104,48,0,5102,0,5101,19,10041,0,5105,4,0,5103,51
5,1,5204,49,0,5202,0,5201,19,10033,0,5205,3,0,5203,52
8,1,5304,50,0,5302,0,5301,19,10074,0,5305,7,0,5303,53
5,1,0,51,0,5402,53,5401,20,11016,0,0,101,52,5403,54
2,1,5504,54,0,5502,0,5501,21,10041,0,5505,4,0,5503,55
5,1,0,54,0,5602,0,5601,21,11002,0,0,100,0,0,56
8,1,5704,54,0,5702,0,5701,21,10065,0,5705,6,0,5703,57
2,1,5804,55,0,5802,0,5801,22,10022,0,5805,2,0,5803,58
5,1,5904,56,0,5902,0,5901,22,10013,0,5905,1,0,5903,59
8,1,0,57,0,6002,0,6001,22,11015,0,0,101,0,0,60
2,1,6104,58,0,6102,0,6101,23,10021,0,6105,2,0,6103,61
5,1,6204,59,0,6202,0,6201,23,10032,0,6205,3,0,6203,62
8,1,6304,60,0,6302,0,6301,23,10023,0,6305,2,0,6303,63
2,1,6404,61,0,6402,0,6401,24,10024,0,6405,2,0,6403,64
5,1,6504,62,0,6502,0,6501,24,10071,0,6505,7,0,6503,65
8,1,0,63,0,0,0,6601,24,11004,0,0,100,0,0,66
2,1,6704,64,0,6702,0,6701,25,10055,0,6705,5,0,6703,67
5,1,6804,65,0,6802,0,6801,25,10051,0,6805,5,0,6803,68
8,1,6904,66,0,6902,0,6901,25,10042,0,6905,4,0,6903,69
2,1,7004,67,0,7002,0,7001,26,10064,0,7005,6,0,7003,70
5,1,7104,68,0,7102,0,7101,26,10061,0,7105,6,0,7103,71
8,1,0,69,0,0,0,7201,26,11013,0,0,101,0,0,72
2,1,7304,70,0,7302,0,7301,27,10033,0,7305,3,0,7303,73
5,1,7404,71,0,7402,0,7401,27,10014,0,7405,1,0,7403,74
8,1,7504,72,0,7502,0,7501,27,10052,0,7505,5,0,7503,75
2,1,7604,73,0,7602,0,7601,28,10044,0,7605,4,0,7603,76
5,1,0,74,0,0,0,7701,28,11005,0,0,100,0,0,77
8,1,0,75,0,7802,0,7801,28,11011,0,0,101,0,0,78
2,1,7904,76,0,7902,0,7901,29,10034,0,7905,3,0,7903,79
5,1,8004,77,0,8002,0,8001,29,10073,0,8005,7,0,8003,80
8,1,8104,78,0,8102,0,8101,29,10035,0,8105,3,0,8103,81
5,1,8204,79,0,8202,81,8201,30,10066,0,8205,6,80,8203,82
2,1,8304,82,0,8302,0,8301,31,10062,0,8305,6,0,8303,83
5,1,8404,82,0,8402,0,8401,31,10014,0,8405,1,0,8403,84
8,1,8504,82,0,8502,0,8501,31,10021,0,8505,2,0,8503,85
2,1,8604,83,0,8602,0,8601,32,10053,0,8605,5,0,8603,86
5,1,8704,84,0,8702,0,8701,32,10011,0,8705,1,0,8703,87
8,1,8804,85,0,8802,0,8801,32,10072,0,8805,7,0,8803,88
2,1,8904,86,0,8902,0,8901,33,10045,0,8905,4,0,8903,89
5,1,9004,87,0,9002,0,9001,33,10042,0,9005,4,0,9003,90
8,1,9104,88,0,9102,0,9101,33,10053,0,9105,5,0,9103,91
2,1,9204,89,0,9202,0,9201,34,10064,0,9205,6,0,9203,92
5,1,9304,90,0,9302,0,9301,34,10035,0,9305,3,0,9303,93
8,1,9404,91,0,9402,0,9401,34,10051,0,9405,5,0,9403,94
2,1,9504,92,0,9502,0,9501,35,10033,0,9505,3,0,9503,95
5,1,9604,93,0,9602,0,9601,35,10044,0,9605,4,0,9603,96
8,1,9704,94,0,9702,0,9701,35,10075,0,9705,7,0,9703,97
2,1,9804,95,0,9802,0,9801,36,10032,0,9805,3,0,9803,98
5,1,9904,96,0,9902,0,9901,36,10023,0,9905,2,0,9903,99
8,1,10004,97,0,10002,0,10001,36,10024,0,10005,2,0,10003,100
2,1,10104,98,0,10102,0,10101,37,10051,0,10105,5,0,10103,101
5,1,10204,99,0,10202,0,10201,37,10012,0,10205,1,0,10203,102
8,1,10304,100,0,10302,0,10301,37,10035,0,10305,3,0,10303,103
2,1,10404,101,0,10402,0,10401,38,10063,0,10405,6,0,10403,104
5,1,10504,102,0,10502,0,10501,38,10055,0,10505,5,0,10503,105
8,1,10604,103,0,10602,0,10601,38,10071,0,10605,7,0,10603,106
2,1,10704,104,0,10702,0,10701,39,10052,0,10705,5,0,10703,107
5,1,10804,105,0,10802,0,10801,39,10043,0,10805,4,0,10803,108
8,1,10904,106,0,10902,0,10901,39,10025,0,10905,2,0,10903,109
5,1,11004,107,0,11002,109,11001,40,10076,0,11005,7,108,11003,110
2,2,11104,0,0,11102,0,11101,1,10062,0,11105,6,0,11103,111
5,2,11204,0,0,11202,0,11201,1,10024,0,11205,2,0,11203,112
8,2,11304,0,0,11302,0,11301,1,10045,0,11305,4,0,11303,113
2,2,11404,111,0,11402,0,11401,2,10022,0,11405,2,0,11403,114
5,2,11504,112,0,11502,0,11501,2,10043,0,11505,4,0,11503,115
8,2,11604,113,0,11602,0,11601,2,10074,0,11605,7,0,11603,116
2,2,11704,114,0,11702,0,11701,3,10012,0,11705,1,0,11703,117
5,2,11804,115,0,11802,0,11801,3,10063,0,11805,6,0,11803,118
8,2,11904,116,0,11902,0,11901,3,10035,0,11905,3,0,11903,119
2,2,12004,117,0,12002,0,12001,4,10051,0,12005,5,0,12003,120
5,2,12104,118,0,12102,0,12101,4,10023,0,12105,2,0,12103,121
8,2,0,119,0,12202,0,12201,4,11004,0,0,100,0,0,122
2,2,12304,120,0,12302,0,12301,5,10061,0,12305,6,0,12303,123
5,2,12404,121,0,12402,0,12401,5,10042,0,12405,4,0,12403,124
8,2,12504,122,0,12502,0,12501,5,10073,0,12505,7,0,12503,125
2,2,0,123,0,12602,0,12601,6,11015,0,0,101,0,12603,126
5,2,12704,124,0,12702,0,12701,6,10033,0,12705,3,0,12703,127
8,2,12804,125,0,12802,0,12801,6,10054,0,12805,5,0,12803,128
2,2,12904,126,0,12902,0,12901,7,10011,0,12905,1,0,12903,129
5,2,13004,127,0,13002,0,13001,7,10052,0,13005,5,0,13003,130
8,2,13104,128,0,13102,0,13101,7,10064,0,13105,6,0,13103,131
2,2,13204,129,0,13202,0,13201,8,10025,0,13205,2,0,13203,132
5,2,0,130,0,13302,0,13301,8,11011,0,0,101,0,13303,133
8,2,0,131,0,0,0,13401,8,11014,0,0,101,0,0,134
2,2,13504,132,0,13502,0,13501,9,10015,0,13505,1,0,13503,135
5,2,13604,133,0,13602,0,13601,9,10041,0,13605,4,0,13603,136
8,2,13704,134,0,13702,0,13701,9,10055,0,13705,5,0,13703,137
5,2,13804,135,0,13802,137,13801,10,10056,0,13805,5,136,13803,138
2,2,13904,138,0,13902,0,13901,11,10063,0,13905,6,0,13903,139
5,2,14004,138,0,14002,0,14001,11,10054,0,14005,5,0,14003,140
8,2,14104,138,0,14102,0,14101,11,10031,0,14105,3,0,14103,141
2,2,14204,139,0,14202,0,14201,12,10022,0,14205,2,0,14203,142
5,2,14304,140,0,14302,0,14301,12,10014,0,14305,1,0,14303,143
8,2,14404,141,0,14402,0,14401,12,10025,0,14405,2,0,14403,144
2,2,14504,142,0,14502,0,14501,13,10071,0,14505,7,0,14503,145
5,2,14604,143,0,14602,0,14601,13,10052,0,14605,5,0,14603,146
8,2,0,144,0,14702,0,14701,13,11013,0,0,101,0,0,147
2,2,0,145,0,14802,0,14801,14,11014,0,0,101,0,0,148
5,2,14904,146,0,14902,0,14901,14,10013,0,14905,1,0,14903,149
8,2,15004,147,0,15002,0,15001,14,10055,0,15005,5,0,15003,150
2,2,15104,148,0,15102,0,15101,15,10051,0,15105,5,0,15103,151
5,2,0,149,0,0,0,15201,15,11001,0,0,100,0,0,152
8,2,0,150,0,15302,0,15301,15,11012,0,0,101,0,0,153
2,2,15404,151,0,15402,0,15401,16,10023,0,15405,2,0,15403,154
5,2,15504,152,0,15502,0,15501,16,10054,0,15505,5,0,15503,155
8,2,15604,153,0,15602,0,15601,16,10021,0,15605,2,0,15603,156
2,2,15704,154,0,15702,0,15701,17,10034,0,15705,3,0,15703,157
5,2,15804,155,0,15802,0,15801,17,10065,0,15805,6,0,15803,158
8,2,15904,156,0,15902,0,15901,17,10072,0,15905,7,0,15903,159
2,2,16004,157,0,16002,0,16001,18,10033,0,16005,3,0,16003,160
5,2,0,158,0,16102,0,16101,18,11004,0,0,100,0,16103,161
8,2,16204,159,0,16202,0,16201,18,10015,0,16205,1,0,16203,162
2,2,16304,160,0,16302,0,16301,19,10032,0,16305,3,0,16303,163
5,2,16404,161,0,16402,0,16401,19,10053,0,16405,5,0,16403,164
8,2,16504,162,0,16502,0,16501,19,10055,0,16505,5,0,16503,165
5,2,16604,163,0,16602,165,16601,20,10036,0,16605,3,164,16603,166
2,2,16704,166,0,16702,0,16701,21,10061,0,16705,6,0,16703,167
5,2,16804,166,0,16802,0,16801,21,10053,0,16805,5,0,16803,168
8,2,16904,166,0,16902,0,16901,21,10044,0,16905,4,0,16903,169
2,2,17004,167,0,17002,0,17001,22,10065,0,17005,6,0,17003,170
5,2,17104,168,0,17102,0,17101,22,10051,0,17105,5,0,17103,171
8,2,17204,169,0,17202,0,17201,22,10041,0,17205,4,0,17203,172
2,2,17304,170,0,17302,0,17301,23,10012,0,17305,1,0,17303,173
5,2,17404,171,0,17402,0,17401,23,10075,0,17405,7,0,17403,174
8,2,17504,172,0,17502,0,17501,23,10031,0,17505,3,0,17503,175
2,2,0,173,0,17602,0,17601,24,11003,0,0,100,0,0,176
5,2,0,174,0,17702,0,17701,24,11014,0,0,101,0,17703,177
8,2,17804,175,0,17802,0,17801,24,10011,0,17805,1,0,17803,178
2,2,17904,176,0,17902,0,17901,25,10013,0,17905,1,0,17903,179
5,2,18004,177,0,18002,0,18001,25,10034,0,18005,3,0,18003,180
8,2,0,178,0,18102,0,18101,25,11005,0,0,100,0,0,181
2,2,18204,179,0,18202,0,18201,26,10062,0,18205,6,0,18203,182
5,2,18304,180,0,18302,0,18301,26,10043,0,18305,4,0,18303,183
8,2,18404,181,0,18402,0,18401,26,10054,0,18405,5,0,18403,184
2,2,18504,182,0,18502,0,18501,27,10011,0,18505,1,0,18503,185
5,2,18604,183,0,18602,0,18601,27,10014,0,18605,1,0,18603,186
8,2,18704,184,0,18702,0,18701,27,10045,0,18705,4,0,18703,187
2,2,18804,185,0,18802,0,18801,28,10012,0,18805,1,0,18803,188
5,2,0,186,0,18902,0,18901,28,11013,0,0,101,0,18903,189
8,2,0,187,0,19002,0,19001,28,11001,0,0,100,0,0,190
2,2,19104,188,0,19102,0,19101,29,10042,0,19105,4,0,19103,191
