start_time,condition_value_3,visible_flag,mission_condition,condition_value_2,system_id,disp_group,title_color_id,condition_num,daily_mission_id,category_icon,end_time,mission_reward_id,min_level,description,max_level,condition_value_1
"2015/04/01 15:00:00",0,1,1008,0,101,1,0,10,11001001,200,"2030/04/01 14:59:59",11001001,0,"메인 또는 이벤트 퀘스트를 10회 클리어하자",0,0
"2019/12/10 05:00:00",0,1,1008,0,101,1,0,20,11001002,200,"2030/04/01 14:59:59",11001002,0,"메인 또는 이벤트 퀘스트를 20회 클리어하자",0,0
"2015/04/01 15:00:00",0,1,1003,0,102,2,0,3,11003001,200,"2030/04/01 14:59:59",11003001,0,"메인(HARD, VERY HARD) 또는 이벤트 퀘스트(HARD)를 3회 클리어하자",0,0
"2015/04/01 15:00:00",0,1,1004,0,103,7,0,4,11004001,202,"2030/04/01 14:59:59",11004001,0,"탐색을 4회 클리어하자",0,0
"2015/04/01 15:00:00",0,1,1005,0,104,9,0,1,11005001,204,"2030/04/01 14:59:59",11005001,0,"던전을 1회 클리어하자",0,0
"2023/06/16 5:00:00",0,1,80000,0,122,15,0,1,11005002,603,"2030/04/01 14:59:59",11005002,0,"던전에 1회 도전하자",0,0
"2023/06/16 5:00:00",0,1,80003,0,122,16,0,1,11005003,603,"2030/04/01 14:59:59",11005003,0,"던전 전투를 1회 클리어하자",0,0
"2030/12/03 14:59:59",0,1,1006,0,105,8,0,1,11006001,203,"2030/12/10 14:59:59",11006001,0,"협동전을 1회 클리어하자",0,0
"2023/09/15 15:00:00",0,1,1101,0,108,14,0,1,11101001,208,"2030/04/01 14:59:59",11101001,0,"루나의 탑에 1회 도전하자",0,0
"2025/08/03 12:00:00",0,1,1701,0,132,17,0,1,11701001,1007,"2030/04/01 14:59:59",11701001,0,"심연 토벌전의 전초 퀘스트를 1회 클리어하자",0,0
"2015/04/01 15:00:00",0,1,3002,0,301,3,0,10,13002001,401,"2030/04/01 14:59:59",13002001,0,"노멀 뽑기를 10회 뽑자",0,0
"2015/04/01 15:00:00",0,1,4001,0,401,11,0,1,14001001,205,"2030/04/01 14:59:59",14001001,0,"배틀 아레나에서 1회 싸우자",0,0
"2015/04/01 15:00:00",0,1,4003,0,402,12,0,1,14003001,205,"2030/04/01 14:59:59",14003001,0,"프린세스 아레나에서 1회 싸우자",0,0
"2026/02/22 5:00:00",0,1,5004,0,107,10,0,1,15004001,501,"2026/02/27 4:59:59",15004001,0,"클랜전에 1회 도전하자",0,0
"2015/04/01 15:00:00",0,1,5005,0,701,13,0,1,15005001,501,"2030/04/01 14:59:59",15005001,0,"클랜 멤버에게 「좋아요」를 보내자",0,0
"2015/04/01 15:00:00",0,1,6006,0,503,5,0,1,16006001,301,"2025/03/13 4:59:59",16006001,0,"캐릭터 스킬을 1회 강화하자",0,0
"2015/04/01 15:00:00",0,1,6007,0,506,6,0,1,16007001,304,"2025/03/13 4:59:59",16007001,0,"장비 강화로 장비의 ★을 1개 늘리자",0,0
"2025/03/13 5:00:00",0,1,6019,0,503,5,0,1,16008001,302,"2030/04/01 14:59:59",16008001,0,"캐릭터 스킬 강화・장비의 ★을 한 단계 상승시키는 강화・프린세스 나이트 강화 중 하나를 실행하자",0,0
"2018/03/21 5:00:00",0,1,8001,45959,0,1,0,1,18001001,106,"2018/08/15 4:59:59",18001001,0,"12:00～다음날 아침 04:59 사이에 게임에 로그인하자",0,120000
"2018/03/21 5:00:00",0,1,8001,45959,0,1,0,1,18001002,106,"2018/08/15 4:59:59",18001002,0,"18:00～다음날 아침 04:59 사이에 게임에 로그인하자",0,180000
"2018/08/15 5:00:00",0,1,8001,45959,0,1,0,1,18001003,106,"2018/09/01 4:59:59",18001003,0,"12:00～다음날 아침 04:59 사이에 게임에 로그인하자",0,120000
