joint_id,reward_id,reward_num,parts_id,bonus_id,reward_type,mission_reward_id,id
0,0,1,3050100,10101020,24,1,1
0,0,1,4010200,0,24,2,2
0,0,1,3030200,10401020,24,3,3
0,0,1,3050200,10401020,24,4,4
0,0,1,3040200,10401020,24,5,5
0,0,1,3020200,10401020,24,6,6
0,0,1,4010300,0,24,7,7
0,0,1,3030100,10101020,24,101,8
0,0,1,3010201,0,24,102,9
0,0,1,3020201,0,24,103,10
0,0,1,3010301,0,24,104,11
0,0,1,3030301,0,24,105,12
0,0,1,3040301,0,24,106,13
0,0,1,3050301,0,24,107,14
0,0,1,3020301,0,24,108,15
0,0,1,3030300,10401050,24,109,16
0,0,1,3040300,10401050,24,110,17
0,0,1,3050300,10401050,24,111,18
0,0,1,3020300,10401050,24,112,19
0,0,1,3010100,10101020,24,201,20
0,0,1,3020100,10101020,24,202,21
0,0,1,3030100,10101020,24,203,22
0,0,1,3040100,10101020,24,204,23
0,0,1,3050100,10101020,24,205,24
0,0,1,3010200,10101020,24,206,25
0,0,1,3020200,10101020,24,207,26
0,0,1,3030200,10101020,24,208,27
0,0,1,3040200,10101020,24,209,28
0,0,1,3050200,10101020,24,210,29
112,0,1,1010301,0,24,401,30
203,0,1,1020301,0,24,402,31
306,0,1,1030301,0,24,403,32
401,0,1,1040301,0,24,404,33
508,0,1,1050301,0,24,405,34
209,0,1,1020301,20101050,24,406,35
306,0,1,1030301,20101050,24,407,36
407,0,1,1040301,20101050,24,408,37
501,0,1,1050301,20101050,24,409,38
0,11001337,1,0,0,15,600,39
0,91002,150,0,0,8,600,40
0,11001338,1,0,0,15,700,41
0,91002,150,0,0,8,799,42
0,11001339,1,0,0,15,800,43
0,0,1,0,0,24,999,44
