interval_end,period_detail_s,period_detail_bg_position,calc_start,limit_time,period_detail_bg_s,quest_detail_rehearsal_label_height,min_carry_over_time,result_start,period_detail_bg,end_time,period_detail_boss_position_x,period,start_time,period_detail_boss_position_y,interval_start,result_end,clan_battle_id,period_detail,chest_id
"2019/05/21 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/05/01,90,101011,25,0,"2019/05/05 17:00:00",101011,"2019/04/30 23:59:59",0,1,"2019/04/19 15:00:00",0,2019/05/01,"2019/05/21 14:59:59",1001,"클랜전 시작! 클랜 멤버와 협력하여\n몬스터를 토벌하자!",40004
"2019/06/18 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/05/30,90,101021,25,0,"2019/06/04 15:00:00",101021,"2019/05/29 23:59:59",0,1,"2019/05/21 15:00:00",0,2019/05/30,"2019/06/18 14:59:59",1002,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2019/07/17 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/06/28,90,101042,25,0,"2019/06/28 15:00:00",101042,"2019/06/27 23:59:59",0,1,"2019/06/18 15:00:00",0,2019/06/28,"2019/07/17 14:59:59",1003,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2019/08/20 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/07/29,90,101161,25,0,"2019/08/02 15:00:00",101161,"2019/07/28 23:59:59",0,1,"2019/07/17 15:00:00",0,2019/07/29,"2019/08/20 14:59:59",1004,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2019/09/20 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/08/30,90,101171,25,0,"2019/09/02 15:00:00",101171,"2019/08/29 23:59:59",0,1,"2019/08/20 15:00:00",0,2019/08/30,"2019/09/20 14:59:59",1005,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2019/10/21 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/09/30,90,101191,25,0,"2019/10/02 15:00:00",101191,"2019/09/29 23:59:59",0,1,"2019/09/20 15:00:00",0,2019/09/30,"2019/10/21 14:59:59",1006,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2019/11/19 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/10/31,90,101202,25,0,"2019/11/01 15:00:00",101202,"2019/10/30 23:59:59",0,1,"2019/10/21 15:00:00",0,2019/10/31,"2019/11/19 14:59:59",1007,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2019/12/24 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2019/11/29,90,101292,25,0,"2019/12/02 15:00:00",101292,"2019/11/28 23:59:59",0,1,"2019/11/19 15:00:00",0,2019/11/29,"2019/12/24 14:59:59",1008,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/01/21 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/01/01,90,101302,25,0,"2020/01/02 15:00:00",101302,"2019/12/31 23:59:59",0,1,"2019/12/24 15:00:00",0,2020/01/01,"2020/01/21 14:59:59",1009,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/02/18 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/01/30,90,101441,25,0,"2020/01/30 15:00:00",101441,"2020/01/29 23:59:59",0,1,"2020/01/21 15:00:00",0,2020/01/30,"2020/02/18 14:59:59",1010,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/03/23 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/02/27,90,101452,25,0,"2020/02/27 15:00:00",101452,"2020/02/26 23:59:59",0,1,"2020/02/19 15:00:00",0,2020/02/27,"2020/03/23 14:59:59",1011,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/04/21 14:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/03/31,90,101562,25,0,"2020/03/31 15:00:00",101562,"2020/03/30 23:59:59",0,1,"2020/03/23 15:00:00",0,2020/03/31,"2020/04/21 14:59:59",1012,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/05/20 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/04/29,90,101011,25,0,"2020/04/29 15:00:00",101011,"2020/04/28 23:59:59",0,1,"2020/04/21 15:00:00",0,2020/04/29,"2020/05/20 4:59:59",1013,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/06/22 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/05/28,90,101021,25,0,"2020/05/28 15:00:00",101021,"2020/05/27 23:59:59",0,1,"2020/05/20 5:00:00",0,2020/05/28,"2020/06/22 4:59:59",1014,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/07/22 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/06/30,90,101042,25,0,"2020/06/30 15:00:00",101042,"2020/06/29 23:59:59",0,1,"2020/06/22 5:00:00",0,2020/06/30,"2020/07/22 4:59:59",1015,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/08/23 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/07/30,90,101162,25,0,"2020/07/30 15:00:00",101162,"2020/07/29 23:59:59",0,1,"2020/07/22 5:00:00",0,2020/07/30,"2020/08/23 4:59:59",1016,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/09/21 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/08/31,90,101172,25,0,"2020/08/31 15:00:00",101172,"2020/08/30 23:59:59",0,1,"2020/08/23 5:00:00",0,2020/08/31,"2020/09/21 4:59:59",1017,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/10/22 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/09/29,90,101192,25,0,"2020/09/29 15:00:00",101192,"2020/09/28 23:59:59",0,1,"2020/09/21 5:00:00",0,2020/09/29,"2020/10/22 4:59:59",1018,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/11/24 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/10/29,90,101202,25,0,"2020/10/29 15:00:00",101202,"2020/10/28 23:59:59",0,1,"2020/10/22 5:00:00",0,2020/10/29,"2020/11/24 4:59:59",1019,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2020/12/23 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/11/30,90,101292,25,0,"2020/11/30 15:00:00",101292,"2020/11/29 23:59:59",0,1,"2020/11/24 5:00:00",0,2020/11/30,"2020/12/23 4:59:59",1020,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/01/22 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2020/12/29,90,101302,25,0,"2020/12/29 15:00:00",101302,"2020/12/28 23:59:59",0,1,"2020/12/23 5:00:00",0,2020/12/29,"2021/01/22 4:59:59",1021,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/02/22 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/01/28,90,101441,25,0,"2021/01/28 15:00:00",101441,"2021/01/27 23:59:59",0,1,"2021/01/22 5:00:00",0,2021/01/28,"2021/02/22 4:59:59",1022,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/03/25 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/02/28,90,101452,25,0,"2021/03/02 15:00:00",101452,"2021/02/27 23:59:59",0,1,"2021/02/22 5:00:00",0,2021/02/28,"2021/03/25 4:59:59",1023,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/04/23 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/03/31,90,101562,25,0,"2021/03/31 15:00:00",101562,"2021/03/30 23:59:59",0,1,"2021/03/25 5:00:00",0,2021/03/31,"2021/04/23 4:59:59",1024,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/05/26 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/04/29,90,101011,25,0,"2021/04/29 15:00:00",101011,"2021/04/28 23:59:59",0,1,"2021/04/23 5:00:00",0,2021/04/29,"2021/05/26 4:59:59",1025,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/06/26 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/05/31,90,101021,25,0,"2021/05/31 15:00:00",101021,"2021/05/30 23:59:59",0,1,"2021/05/26 5:00:00",0,2021/05/31,"2021/06/26 4:59:59",1026,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/07/25 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/07/01,90,101042,25,0,"2021/07/01 15:00:00",101042,"2021/06/30 23:59:59",0,1,"2021/06/26 5:00:00",0,2021/07/01,"2021/07/25 4:59:59",1027,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/08/27 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/07/30,90,101162,25,0,"2021/07/30 15:00:00",101162,"2021/07/29 23:59:59",0,1,"2021/07/25 5:00:00",0,2021/07/30,"2021/08/27 4:59:59",1028,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/09/26 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/09/01,90,101172,25,0,"2021/09/01 15:00:00",101172,"2021/08/31 23:59:59",0,1,"2021/08/27 5:00:00",0,2021/09/01,"2021/09/26 4:59:59",1029,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/10/27 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/10/01,90,101192,25,0,"2021/10/01 15:00:00",101192,"2021/09/30 23:59:59",0,1,"2021/09/26 5:00:00",0,2021/10/01,"2021/10/27 4:59:59",1030,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/11/26 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/11/01,90,101202,25,0,"2021/11/01 15:00:00",101202,"2021/10/31 23:59:59",0,1,"2021/10/27 5:00:00",0,2021/11/01,"2021/11/26 4:59:59",1031,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
"2021/12/25 4:59:59","클랜전 시작! 캐릭터를 육성하여\n몬스터를 토벌하자!",0,2021/12/01,90,101292,25,0,"2021/12/01 15:00:00",101292,"2021/11/30 23:59:59",0,1,"2021/11/26 5:00:00",0,2021/12/01,"2021/12/25 4:59:59",1032,"클랜 멤버와 협력하여\n강력한 몬스터를 토벌하자!",40004
