reward_image_3,bgm_cue_sheet,reward_image_1,battle_bg_id_3,condition_time,condition_quest_id,quest_name,enemy_image_2,enemy_image_4,quest_detail_bg_id,daily_limit,love,quest_id,first_clear_reward_group_id,battle_bg_id_2,enemy_image_5,reward_image_5,event_id,enemy_image_3,unit_exp,drop_reward_group_id,reward_image_2,battle_bg_id_1,enemy_image_1,quest_index,difficulty,stamina,reward_image_4,bgm_cue_name,wave_group_id_2,team_exp,rank_clear_reward_group_id,limit_time,wave_group_id_1,wave_group_id_3
23001,bgm_M41,62001,103613,0,0,"이벤트 전편 퀘스트 N-1",600380001,600230001,103611,0,10,10201001,111001,103612,0,94002,10201,600420001,150,111001,90007,103611,600050001,1,1,10,20001,bgm_M41,610201002,10,111011,90,610201001,610201003
23001,bgm_M41,62001,103613,0,10201001,"이벤트 전편 퀘스트 N-2",600380102,600160003,103611,0,10,10201002,111001,103612,0,94002,10201,600340003,150,111001,90007,103611,600290103,2,1,10,20001,bgm_M41,610201005,10,111011,90,610201004,610201006
23001,bgm_M41,62001,103613,0,10201002,"이벤트 전편 퀘스트 N-3",600270004,600160004,103611,0,10,10201003,111001,103612,0,94002,10201,600420004,150,111001,90007,103611,600380103,3,1,10,20001,bgm_M41,610201008,10,111011,90,610201007,610201009
23001,bgm_M41,62001,103613,0,10201003,"이벤트 전편 퀘스트 N-4",600290210,600130110,103611,0,10,10201004,111001,103612,0,94002,10201,600250010,150,111001,90007,103611,600330008,4,1,10,20001,bgm_M41,610201011,10,111011,90,610201010,610201012
23001,bgm_M41,62001,103613,0,10201004,"이벤트 전편 퀘스트 N-5",600030011,600100011,103611,0,10,10201005,111001,103612,0,94002,10201,600040010,150,111001,90007,103611,600210111,5,1,10,20001,bgm_M41,610201014,10,111012,90,610201013,610201015
23001,bgm_M41,62001,103613,0,10201005,"이벤트 전편 퀘스트 N-6",600380012,600230013,103611,0,10,10201006,111001,103612,0,94002,10201,600420013,150,111001,90007,103611,600050012,6,1,10,20001,bgm_M41,610201017,10,111011,90,610201016,610201018
23001,bgm_M41,62001,103613,0,10201006,"이벤트 전편 퀘스트 N-7",600380113,600160014,103611,0,10,10201007,111001,103612,0,94002,10201,600340014,150,111001,90007,103611,600290114,7,1,10,20001,bgm_M41,610201020,10,111011,90,610201019,610201021
23001,bgm_M41,62001,103613,0,10201007,"이벤트 전편 퀘스트 N-8",600270016,600160016,103611,0,10,10201008,111001,103612,0,94002,10201,600420016,150,111001,90007,103611,600380115,8,1,10,20001,bgm_M41,610201023,10,111011,90,610201022,610201024
23001,bgm_M41,62001,103613,0,10201008,"이벤트 전편 퀘스트 N-9",600290217,600130117,103611,0,10,10201009,111001,103612,0,94002,10201,600250017,150,111001,90007,103611,600330015,9,1,10,20001,bgm_M41,610201026,10,111011,90,610201025,610201027
23001,bgm_M41,62001,103613,0,10201009,"이벤트 전편 퀘스트 N-10",600030019,600100019,103611,0,10,10201010,111001,103612,0,94002,10201,600040018,150,111001,90007,103611,600210119,10,1,10,20001,bgm_M41,610201029,10,111012,90,610201028,610201030
