970a3757e67c6bdf42684c32801794863ed8ed91761112c35e791e15a69cd5db,disp_reward_type_1,disp_reward_type_3,wave_group_id,reward_lot_count_3,reward_odds_3,reward_odds_4,disp_reward_id_2,25883e4cac70f8c06182ea12eb674ce0eed0207d7a300bf2cc1e0d813d082056,133ae72776c1c4cd12b082b8639e3f2f28a83732a0a34dd6b48cba31ae4a72a8,2eff5f8505757145abf5df64183afa1089fd30bf111942c5f1530506bdcd2fd3,reward_odds_1,1c57440f7d5abc59917e9da34dea7879aef1f3a9546c6b78547b53676cce9b52,disp_reward_type_5,disp_reward_type_4,id,disp_reward_id_4,reward_group_id_1,enemy_id_5,enemy_id_3,d4c4917d4d658fca5eb0527dc76fb09e3384f838b7ea8ee017278630b5af8da8,reward_group_id_2,reward_group_id_3,disp_reward_id_1,disp_reward_id_3,enemy_id_4,a3f3bd899d16a0f099bb153841746dd7f6eb2b770f54147af82d79076f5309c8,9ce4e67aa3de2d3fcfc6de4459413e9b8b00511c9fb55ccbd57ef0a8bad00bde,reward_lot_count_4,disp_reward_id_5,drop_gold_1,ac5b36c2980b6e16ea0f1bef07befe6b97ad463a12feee4b2a8a4bcbea383576,reward_group_id_4,wave,enemy_id_2,disp_reward_type_2,difficulty,enemy_id_1,c0c238a4cfb210ca84a2e883ee5f513a5631cad87c578069f75b8c8fbfb9909e,reward_odds_2,25c93d62e94f367abc747a31b4bf1c2c34a0e5303ccba71a5894a9da3b082264
1001,0,0,600110011,1,36,0,0,0,1001,1,30,0,0,0,600000001,0,61001005,0,620130001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620090001,0,1,620060001,0,18,0
2001,0,0,600110021,1,36,0,0,0,2001,1,30,0,0,0,600000002,0,61001005,0,620130001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620090001,0,1,620060001,0,18,0
3001,0,0,600110031,1,36,0,0,0,3001,1,30,0,0,0,600000003,0,61001005,0,620130001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620090001,0,1,620060001,0,18,0
4001,0,0,600110041,1,36,0,0,0,4001,1,30,0,0,0,600000004,0,61001005,0,620130001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620090001,0,1,620060001,0,18,0
5001,0,0,600110051,1,36,0,0,0,5001,1,30,0,0,0,600000005,0,61001005,0,620130002,0,61001004,61001007,0,0,0,0,1,0,0,268,0,0,1,620090002,0,1,620060002,0,18,0
6001,0,0,600110061,1,36,0,0,0,6001,1,30,0,0,0,600000006,0,61001005,0,620130003,0,61001004,61001007,0,0,0,0,1,0,0,273,0,0,1,620090003,0,1,620060003,0,18,0
7001,0,0,600110071,1,36,0,0,0,7001,1,30,0,0,0,600000007,0,61001005,0,620130004,0,61001004,61001007,0,0,0,0,1,0,0,281,0,0,1,620090004,0,1,620060004,0,18,0
8001,0,0,600110081,1,36,0,0,0,8001,1,30,0,0,0,600000008,0,61001005,0,620130005,0,61001004,61001007,0,0,0,0,1,0,0,288,0,0,1,620090005,0,1,620060005,0,18,0
9001,0,0,600110091,1,36,0,0,0,9001,1,30,0,0,0,600000009,0,61001005,0,620130006,0,61001004,61001007,0,0,0,0,1,0,0,298,0,0,1,620090006,0,1,620060006,0,18,0
10001,0,0,600110101,1,36,0,0,0,10001,1,30,0,0,0,600000010,0,61001005,0,620130007,0,61001004,61001007,0,0,0,0,1,0,0,309,0,0,1,620090007,0,1,620060007,0,18,0
11001,0,0,600110111,1,36,0,0,0,11001,1,30,0,0,0,600000011,0,61001005,0,620130008,0,61001004,61001007,0,0,0,0,1,0,0,313,0,0,1,620090008,0,1,620060008,0,18,0
12001,0,0,600110121,1,36,0,0,0,12001,1,30,0,0,0,600000012,0,61001005,0,620130009,0,61001004,61001007,0,0,0,0,1,0,0,321,0,0,1,620090009,0,1,620060009,0,18,0
13001,0,0,600110131,1,36,0,0,0,13001,1,30,0,0,0,600000013,0,61001005,0,620130010,0,61001004,61001007,0,0,0,0,1,0,0,326,0,0,1,620090010,0,1,620060010,0,18,0
14001,0,0,600110141,1,36,0,0,0,14001,1,30,0,0,0,600000014,0,61001005,0,620130011,0,61001004,61001007,0,0,0,0,1,0,0,336,0,0,1,620090011,0,1,620060011,0,18,0
15001,0,0,600110151,1,36,0,0,0,15001,1,30,0,0,0,600000015,0,61001005,0,620130012,0,61001004,61001007,0,0,0,0,1,0,0,341,0,0,1,620090012,0,1,620060012,0,18,0
16001,0,0,600110161,1,36,0,0,0,16001,1,30,0,0,0,600000016,0,61001005,0,620130013,0,61001004,61001007,0,0,0,0,1,0,0,351,0,0,1,620090013,0,1,620060013,0,18,0
17001,0,0,600110171,1,36,0,0,0,17001,1,30,0,0,0,600000017,0,61001005,0,620130014,0,61001004,61001007,0,0,0,0,1,0,0,356,0,0,1,620090014,0,1,620060014,0,18,0
18001,0,0,600110181,1,36,0,0,0,18001,1,30,0,0,0,600000018,0,61001005,0,620130015,0,61001004,61001007,0,0,0,0,1,0,0,366,0,0,1,620090015,0,1,620060015,0,18,0
19001,0,0,600110191,1,36,0,0,0,19001,1,30,0,0,0,600000019,0,61001005,0,620130016,0,61001004,61001007,0,0,0,0,1,0,0,371,0,0,1,620090016,0,1,620060016,0,18,0
20001,0,0,600110201,1,36,0,0,0,20001,1,30,0,0,0,600000020,0,61001005,0,620130017,0,61001004,61001007,0,0,0,0,1,0,0,375,0,0,1,620090017,0,1,620060017,0,18,0
21001,0,0,600110211,1,36,0,0,0,21001,1,30,0,0,0,600000021,0,61001005,0,620130018,0,61001004,61001007,0,0,0,0,1,0,0,381,0,0,1,620090018,0,1,620060018,0,18,0
22001,0,0,600110221,1,36,0,0,0,22001,1,30,0,0,0,600000022,0,61001005,0,620130019,0,61001004,61001007,0,0,0,0,1,0,0,386,0,0,1,620090019,0,1,620060019,0,18,0
23001,0,0,600110231,1,36,0,0,0,23001,1,30,0,0,0,600000023,0,61001005,0,620130020,0,61001004,61001007,0,0,0,0,1,0,0,390,0,0,1,620090020,0,1,620060020,0,18,0
24001,0,0,600110241,1,36,0,0,0,24001,1,30,0,0,0,600000024,0,61001005,0,620130021,0,61001004,61001007,0,0,0,0,1,0,0,396,0,0,1,620090021,0,1,620060021,0,18,0
25001,0,0,600110251,1,36,0,0,0,25001,1,30,0,0,0,600000025,0,61001005,0,620130022,0,61001004,61001007,0,0,0,0,1,0,0,401,0,0,1,620090022,0,1,620060022,0,18,0
26001,0,0,600110261,1,36,0,0,0,26001,1,30,0,0,0,600000026,0,61001005,0,620130023,0,61001004,61001007,0,0,0,0,1,0,0,405,0,0,1,620090023,0,1,620060023,0,18,0
27001,0,0,600110271,1,36,0,0,0,27001,1,30,0,0,0,600000027,0,61001005,0,620130024,0,61001004,61001007,0,0,0,0,1,0,0,411,0,0,1,620090024,0,1,620060024,0,18,0
28001,0,0,600110281,1,36,0,0,0,28001,1,30,0,0,0,600000028,0,61001005,0,620130025,0,61001004,61001007,0,0,0,0,1,0,0,417,0,0,1,620090025,0,1,620060025,0,18,0
29001,0,0,600110291,1,36,0,0,0,29001,1,30,0,0,0,600000029,0,61001005,0,620130026,0,61001004,61001007,0,0,0,0,1,0,0,422,0,0,1,620090026,0,1,620060026,0,18,0
30001,0,0,600110301,1,36,0,0,0,30001,1,30,0,0,0,600000030,0,61001005,0,620130027,0,61001004,61001007,0,0,0,0,1,0,0,427,0,0,1,620090027,0,1,620060027,0,18,0
31001,0,0,600110311,1,36,0,0,0,31001,1,30,0,0,0,600000031,0,61001005,0,620130028,0,61001004,61001007,0,0,0,0,1,0,0,433,0,0,1,620090028,0,1,620060028,0,18,0
32001,0,0,600110321,1,36,0,0,0,32001,1,30,0,0,0,600000032,0,61001005,0,620130029,0,61001004,61001007,0,0,0,0,1,0,0,442,0,0,1,620090029,0,1,620060029,0,18,0
33001,0,0,600110331,1,36,0,0,0,33001,1,30,0,0,0,600000033,0,61001005,0,620130030,0,61001004,61001007,0,0,0,0,1,0,0,455,0,0,1,620090030,0,1,620060030,0,18,0
34001,0,0,600110341,1,36,0,0,0,34001,1,30,0,0,0,600000034,0,61001005,0,620130031,0,61001004,61001007,0,0,0,0,1,0,0,460,0,0,1,620090031,0,1,620060031,0,18,0
35001,0,0,600110351,1,36,0,0,0,35001,1,30,0,0,0,600000035,0,61001005,0,620130032,0,61001004,61001007,0,0,0,0,1,0,0,464,0,0,1,620090032,0,1,620060032,0,18,0
36001,0,0,600110361,1,36,0,0,0,36001,1,30,0,0,0,600000036,0,61001005,0,620130033,0,61001004,61001007,0,0,0,0,1,0,0,476,0,0,1,620090033,0,1,620060033,0,18,0
