gacha_type,chara_odds_star1,guarantee_rarity,gacha_times,gacha_detail,rarity_odds,staging_type,gacha_name,ticket_id,gacha_id,chara_odds_star3,chara_odds_star2
1,80001_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 1)",24005,80001,80001_3,80001_2
1,80002_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 2)",24006,80002,80002_3,80002_2
1,80003_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 3)",24007,80003,80003_3,80003_2
1,80004_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 4)",24008,80004,80004_3,80004_2
1,80005_1,0,1,2,80000,1,"★3 확정 프리코네 페스 기념 뽑기 티켓",24009,80005,80005_3,80005_2
1,80006_1,0,1,2,80000,1,"★3 확정 프리코네 페스 2022 기념 뽑기 티켓",24010,80006,80006_3,80006_2
1,80007_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 1",24011,80007,80007_3,80007_2
1,80008_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 2",24012,80008,80008_3,80008_2
1,80009_1,0,1,2,80000,1,"★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 3",24013,80009,80009_3,80009_2
1,80010_1,0,1,2,80000,1,"★3 확정 프리코네 페스 2023 기념 뽑기 티켓",24014,80010,80010_3,80010_2
1,80011_1,0,1,2,80000,1,"★3 확정 5주년 기념 뽑기 티켓",24015,80011,80011_3,80011_2
1,80012_1,0,1,2,80000,1,"★3 확정 스타트 대시 뽑기 티켓",24016,80012,80012_3,80012_2
1,80013_1,0,1,2,80000,1,"★3 확정 프리코네 페스 2024 기념 뽑기 티켓",24017,80013,80013_3,80013_2
1,80014_1,0,1,2,80000,1,"★3 확장 프리코네 페스 2025 기념 뽑기 티켓",24018,80014,80014_3,80014_2
