item_id,gacha_name,gacha_id,event_id,item_type,repeat_step,cost
60002,"하츠네 BOX 뽑기",10001,10001,2,5,1
60012,"리틀 리리컬 어드벤처! 토벌증 교환",10002,10002,2,5,1
60032,"데인저러스 바캉스! 바닷가의 미식가 프린세스",10004,10004,2,5,1
60042,"타마키와 미후유의 무인도 0루피 생활 ",10005,10005,2,5,1
60052,"흑철의 망령",10006,10006,2,5,1
60062,"트릭 오어 푸딩! 약속의 할로윈 파티",10007,10007,2,5,1
60072,"트와일라이트 브레이커즈",10008,10008,2,5,1
60082,"망각의 캐럴",10009,10009,2,5,1
60092,"신춘 트윙클 크라이시스!",10010,10010,2,5,1
60102,"배틀 오브 발렌타인! 마음이 부딪히는 스위트 배틀",10011,10011,2,5,1
60112,"왕도의 명탐정 한탄하는 추적자(스토커)",10012,10012,2,5,1
60122,"아스트룸에 피는 쌍륜의 꽃",10013,10013,2,5,1
60132,"복각 하츠네의 선물 대작전",10014,10014,2,5,1
60142,"쇼군 여행기 흰 날개의 사무라이",10015,10015,2,5,1
60152,"복각 리틀 리리컬 어드벤처!",10016,10016,2,5,1
60162,"Re:제로부터 모이는 이세계 식탁",10017,10017,2,5,1
60172,"복각 뱀파이어 헌터 with 이리야 ",10018,10018,2,5,1
60182,"스즈나 레인보우 스테이지!",10019,10019,2,5,1
60192,"복각 데인저러스 바캉스! 바닷가의 미식가 프린세스",10020,10020,2,5,1
60202,"한여름의 마호마호 왕국 물가의 소울 서머",10021,10021,2,5,1
60212,"타마키와 미후유의 무인도 0루피 생활 ",10022,10022,2,5,1
60222,"숲의 겁쟁이와 성스러운 학교의 이단아",10023,10023,2,5,1
60232,"흑철의 망령(나이트메어)",10024,10024,2,5,1
60242,"리틀 브레이브 할로윈 나이트!",10025,10025,2,5,1
60252,"트릭 오어 푸딩! 약속의 할로윈 파티",10026,10026,2,5,1
60262,"드래곤 익스플로러즈",10027,10027,2,5,1
60272,"트와일라이트 브레이커즈",10028,10028,2,5,1
60282,"프레젠트 패닉! 랜드솔의 산타들",10029,10029,2,5,1
60292,"망각의 캐럴",10030,10030,2,5,1
60302,"질주! 랜드솔 길드 레이스",10031,10031,2,5,1
60312,"신춘 트윙클 크라이시스!",10032,10032,2,5,1
60322,"마법소녀 두 사람은 미스티&퓨어리",10033,10033,2,5,1
60332,"배틀 오브 발렌타인! 마음이 부딪히는 스위트 배틀",10034,10034,2,5,1
60342,"스타라이트 프린세스 Re:M@STER!",10035,10035,2,5,1
60342,"스타라이트 프린세스 Re:M@STER!",10036,10036,2,5,1
60362,"왕도의 명탐정 한탄하는 추적자(스토커)",10037,10037,2,5,1
60372,"베푸는 재단과 성스러운 학교의 이단아",10038,10038,2,5,1
60382,"아스트룸에 피는 쌍륜의 꽃",10039,10039,2,5,1
60392,"목장의 네 농부 가난한 목장 분투기!",10040,10040,2,5,1
60402,"쇼군 여행기 흰 날개의 사무라이",10041,10041,2,5,1
60412,"이상한 나라의 리노 작은 앨리스와 희망의 그림책",10042,10042,2,5,1
60422,"스즈나 레인보우 스테이지!",10043,10043,2,5,1
60432,"칠석 검객 여정담 하늘에 흐르는 여름의 사랑",10044,10044,2,5,1
60442,"한여름의 마호마호 왕국 물가의 소울 서머",10045,10045,2,5,1
60452,"미사토 여름 응원! 꿈을 좇는 한여름의 나인",10046,10046,2,5,1
60462,"숲의 겁쟁이와 성스러운 학교의 이단아",10047,10047,2,5,1
60472,"해피 체인지 엔젤즈",10048,10048,2,5,1
60482,"리틀 브레이브 할로윈 나이트!",10049,10049,2,5,1
60492,"울려라! 절규! 할로윈 고스트 페스티벌",10050,10050,2,5,1
60502,"드래곤 익스플로러즈",10051,10051,2,5,1
60512,"마법 제독 러블리★모니카 렛츠 고! 매지컬 콰르텟!",10052,10052,2,5,1
60522,"Re:제로부터 모이는 이세계 식탁",10053,10053,2,5,1
60532,"데뷔탕트 샹그릴라 크리스마스이브의 러브 게임",10054,10054,2,6,1
60542,"프레젠트 패닉! 랜드솔의 산타들",10055,10055,2,5,1
60552,"신춘 미식가 프린세스! 한 방에 건 소녀들",10056,10056,2,6,1
60562,"질주! 랜드솔 길드 레이스",10057,10057,2,5,1
60572,"인연, 맺어서. 마음, 이어서.",10058,10058,2,6,1
60572,"인연, 맺어서. 마음, 이어서.",10059,10059,2,6,1
60592,"마법소녀 두 사람은 미스티&퓨어리",10060,10060,2,5,1
60602,"신데렐라 레슨 화려한 나날은 사과 맛",10061,10061,2,6,1
60612,"스타라이트 프린세스 Re:M@STER!",10062,10062,2,5,1
60612,"스타라이트 프린세스 Re:M@STER!",10063,10063,2,5,1
60632,"강철의 성녀와 성스러운 학교의 이단아",10064,10064,2,6,1
60642,"베푸는 재단과 성스러운 학교의 이단아",10065,10065,2,5,1
60652,"이노리 SOS!! 타임 트래블 드래곤즈",10066,10066,2,6,1
60662,"목장의 네 농부 가난한 목장 분투기!",10067,10067,2,5,1
60672,"이심전심! 아오이 토이 프렌즈",10068,10068,2,6,1
60682,"이상한 나라의 리노 작은 앨리스와 희망의 그림책",10069,10069,2,5,1
60692,"엔드리스 서머 프로듀스 둘이 독점한 한여름의 파라다이스",10070,10070,2,6,1
60702,"칠석 검객 여정담 하늘에 흐르는 여름의 사랑",10071,10071,2,5,1
60712,"카르미나 서머 라이브 저스트 어 모먼트!",10072,10072,2,6,1
60722,"미사토 여름 응원! 꿈을 좇는 한여름의 나인",10073,10073,2,5,1
60732,"일리걸 오에도 카르테 Dr. 미츠키의 진찰실",10074,10074,2,6,1
60742,"해피 체인지 엔젤즈",10075,10075,2,5,1
60752,"할로윈 세이버즈 스크램블! 복슬복슬 포획 대작전",10076,10076,2,6,1
60762,"울려라! 절규! 할로윈 고스트 페스티벌",10077,10077,2,5,1
60772,"마법소녀 외전 매지컬★느와르즈!",10078,10078,2,6,1
60782,"마법 제독 러블리★모니카 렛츠 고! 매지컬 콰르텟!",10079,10079,2,5,1
60792,"메리 푸딩 크리스마스! 하늘을 나는 소녀와 정성 담긴 과자",10080,10080,2,6,1
60802,"데뷔탕트 샹그릴라 크리스마스이브의 러브 게임",10081,10081,2,6,1
60812,"신춘 미식 메모리즈 셰피의 심부름 대작전!",10082,10082,2,6,1
60822,"신춘 미식가 프린세스! 한 방에 건 소녀들",10083,10083,2,6,1
60832,"Re:member 내 소원이 이어가는 미래",10084,10084,2,6,1
60842,"Re:member 내 소원이 이어가는 미래",10085,10085,2,6,1
60852,"인연, 맺어서. 마음, 이어서.",10086,10086,2,6,1
60852,"인연, 맺어서. 마음, 이어서.",10087,10087,2,6,1
60872,"스위트 타이니 스테이지! 신인 여배우와 리틀 레이디",10088,10088,2,6,1
60882,"신데렐라 레슨 화려한 나날은 사과 맛",10089,10089,2,6,1
60892,"보물 환영! 인비저블 스틸러즈",10090,10090,2,6,1
60902,"강철의 성녀와 성스러운 학교의 이단아",10091,10091,2,6,1
60912,"에피소드 오브 파이러츠 해적섬의 저주받은 보물",10092,10092,2,6,1
60922,"이노리 SOS!! 타임 트래블 드래곤즈",10093,10093,2,6,1
60932,"엔조이＆리프레시! 울퉁불퉁 걸즈 캠프",10094,10094,2,6,1
60942,"이심전심! 아오이 토이 프렌즈",10095,10095,2,6,1
60952,"트윙클 서머 게임 \n여름 바다에 빛나는 세 가지 마음",10096,10096,2,6,1
60962,"엔드리스 서머 프로듀스 둘이 독점한 한여름의 파라다이스",10097,10097,2,6,1
60972,"리틀 서머 메모리즈 물가에서 찾아낸 작은 행복",10098,10098,2,6,1
60982,"카르미나 서머 라이브 저스트 어 모먼트!",10099,10099,2,6,1
60992,"마호마호 미라클 저니! 여행하는 소녀와 땅끝의 커다란 나무",10100,10100,2,6,1
61002,"일리걸 오에도 카르테 Dr. 미츠키의 진찰실",10101,10101,2,6,1
61012,"좋아요! 러브! 총집합! 지고의 제전과 소녀의 비밀스런 덕질",10102,10102,2,6,1
61022,"할로윈 세이버즈 스크램블! 복슬복슬 포획 대작전",10103,10103,2,6,1
61032,"트라이벌 스피리츠 치켜올린 검과 긍지의 가교",10104,10104,2,6,1
61042,"마법소녀 외전 매지컬★느와르즈!",10105,10105,2,6,1
61052,"해피 해프닝 행복의 쌍둥이 천사와 성야의 선물",10106,10106,2,6,1
61062,"메리 푸딩 크리스마스! 하늘을 나는 소녀와 정성 담긴 과자",10107,10107,2,6,1
61072,"온천 수증기 망년기담 새해 첫날 해돋이에 잔을",10108,10108,2,6,1
61082,"신춘 미식 메모리즈 셰피의 심부름 대작전!",10109,10109,2,6,1
61092,"리버레이트 디 에덴 언젠가, 다시 만날 미래에서",10110,10110,2,6,1
61102,"리버레이트 디 에덴 언젠가, 다시 만날 미래에서",10111,10111,2,6,1
61112,"Re:member 내 소원이 이어가는 미래",10112,10112,2,6,1
61122,"Re:member 내 소원이 이어가는 미래",10113,10113,2,6,1
61132,"고양이와 막과자 찻집 카페 나슈카체에 어서 오세요",10114,10114,2,6,1
61142,"스위트 타이니 스테이지! 신인 여배우와 리틀 레이디",10115,10115,2,6,1
61152,"Dears 어서 와&다녀왔어의 약속",10116,10116,2,6,1
61162,"보물 환영! 인비저블 스틸러즈",10117,10117,2,6,1
