condition_shiori_quest_id,condition_story_id,original_event_id,condition_chara_id,condition_main_quest_id,original_start_time,gojuon_order,end_time,event_id,series_event_id,help_index,start_time,banner_y
0,0,10001,0,0,"2019/05/01 15:00:00",53,"2030/04/19 15:00:00",20001,0,1,"2021/04/12 15:00:00",-6
0,0,10002,0,0,"2019/05/29 15:00:00",7,"2030/04/19 15:00:00",20002,0,1,"2021/05/17 15:00:00",-3
0,0,10003,0,0,"2019/06/27 15:00:00",19,"2030/04/19 15:00:00",20003,0,1,"2021/06/15 15:00:00",-8
0,0,10004,0,0,"2019/07/30 15:00:00",3,"2030/04/19 15:00:00",20004,0,"1,2","2021/07/19 15:00:00",-5
0,0,10005,0,0,"2019/08/29 15:00:00",47,"2030/04/19 15:00:00",20005,0,"1,4","2021/08/17 15:00:00",-3
0,0,10006,0,0,"2019/10/01 15:00:00",58,"2030/04/19 15:00:00",20006,0,1,"2021/09/16 15:00:00",-5
0,0,10007,0,0,"2019/10/30 15:00:00",49,"2030/04/19 15:00:00",20007,0,"1,5","2021/10/21 15:00:00",-2
0,0,10008,0,0,"2019/11/28 15:00:00",50,"2030/04/19 15:00:00",20008,0,1,"2021/11/16 15:00:00",-3
0,0,10009,0,0,"2019/12/31 15:00:00",14,"2030/04/19 15:00:00",20009,0,"1,6","2021/12/21 15:00:00",0
0,0,10010,0,0,"2020/01/30 15:00:00",29,"2030/04/19 15:00:00",20010,0,"1,7","2022/01/20 15:00:00",-5
0,0,10011,0,0,"2020/02/27 15:00:00",18,"2030/04/19 15:00:00",20011,0,"1,8","2022/02/14 15:00:00",0
0,0,10012,0,0,"2020/04/01 15:00:00",35,"2030/04/19 15:00:00",20012,0,1,"2022/03/15 15:00:00",-5
0,0,10013,0,0,"2020/04/29 15:00:00",30,"2030/04/19 15:00:00",20013,0,"1,9","2022/04/19 15:00:00",-5
0,0,10015,0,0,"2020/05/28 15:00:00",22,"2030/04/19 15:00:00",20014,0,1,"2022/05/12 15:00:00",-8
0,0,10019,0,0,"2020/07/30 15:00:00",25,"2030/04/19 15:00:00",20015,0,"1,10","2022/06/20 15:00:00",3
0,0,10021,0,0,"2020/08/31 15:00:00",54,"2030/04/19 15:00:00",20016,0,"1,11","2022/07/15 15:00:00",0
0,0,10023,0,0,"2020/09/29 15:00:00",23,"2030/04/19 15:00:00",20017,0,1,"2022/08/12 15:00:00",-4
0,0,10025,0,0,"2020/10/29 15:00:00",8,"2030/04/19 15:00:00",20018,0,"1,12","2022/09/13 15:00:00",0
0,0,10027,0,0,"2020/11/30 15:00:00",4,"2030/04/19 15:00:00",20019,0,1,"2022/10/19 15:00:00",-2
0,0,10029,0,0,"2020/12/29 15:00:00",52,"2030/04/19 15:00:00",20020,0,"1,13","2022/11/15 15:00:00",-5
0,0,10031,0,0,"2021/01/28 15:00:00",44,"2030/04/19 15:00:00",20021,0,"1,14","2022/12/15 15:00:00",-4
0,0,10033,0,0,"2021/03/02 15:00:00",11,"2030/04/19 15:00:00",20022,0,"1,15","2023/01/13 15:00:00",-7
0,0,10038,0,0,"2021/04/29 15:00:00",20,"2030/04/19 15:00:00",20023,0,1,"2023/02/14 15:00:00",-5
0,0,10040,0,0,"2021/05/31 15:00:00",16,"2030/04/19 15:00:00",20024,0,1,"2023/03/16 15:00:00",-10
0,0,10042,0,0,"2021/07/01 15:00:00",38,"2030/04/19 15:00:00",20025,0,"1,16","2023/04/13 15:00:00",-5
0,0,10044,0,0,"2021/08/02 15:00:00",45,"2030/04/19 15:00:00",20026,0,"1,17","2023/05/15 15:00:00",10
0,0,10046,0,0,"2021/09/01 15:00:00",17,"2030/04/19 15:00:00",20027,0,"1,18","2023/06/13 15:00:00",10
0,0,10048,0,0,"2021/10/02 15:00:00",56,"2030/04/19 15:00:00",20028,0,1,"2023/07/17 15:00:00",-5
0,0,10050,0,0,"2021/11/01 15:00:00",36,"2030/04/19 15:00:00",20029,0,"1,19","2023/08/16 15:00:00",0
0,0,10052,0,0,"2021/12/01 15:00:00",10,"2030/04/19 15:00:00",20030,0,1,"2023/09/14 15:00:00",-8
0,0,10054,0,0,"2021/12/30 15:00:00",2,"2030/04/19 15:00:00",20031,0,"1,20","2023/10/16 15:00:00",0
