description,member11,member3,member27,member20,member8,member21,member4,member7,member18,member23,guild_master,member10,member25,member14,guild_name,member19,member5,member2,member13,member29,member1,member6,member12,member9,member28,member30,member15,member22,member26,member17,member16,guild_id,member24
"특별한 음식점에 들어가기 위해 페코린느가 결성한 길드. 주요 목적은 맛집 탐방.",1805,1060,0,0,1119,0,1075,1118,1279,0,1058,1804,0,1210,"미식전",0,1076,1059,1155,0,1058,1078,1806,1120,0,0,1211,0,0,1272,1253,1,0
"길드 마스터인 히요리와 함께 사람을 돕는 활동을 중점적으로 하는 길드. 진정한 목적은 같은 꿈을 꾸는 세 사람이 모두 함께 바라는 「솔의 탑 정상에 도달」하는 것이다.",1156,1003,0,0,1802,0,1087,1801,0,0,1001,1140,0,1225,"트윙클 위시",0,1088,1002,1226,0,1001,1089,1224,1803,0,0,1287,0,0,1288,1289,2,0
"수수께끼의 인물ㆍ라비리스타가 결성한 세계의 수수께끼를 탐구하는 길드. 크레이프 가게를 운영하며 평범한 길드를 가장하고 있다 이른바 비밀결사.",0,1011,0,0,1212,0,1091,1193,0,0,1068,1811,0,0,"라비린스",0,1129,1049,0,0,1068,1171,0,1200,0,0,0,0,0,0,0,3,0
"솔로 아이돌이었던 노조미가 결성한 노래하고 춤추고 (나날의 슬픈 마음과) 싸우는 아이돌 길드. 라이브 공연 같은 행사가 주요 활동 내용.",1322,1054,0,0,1173,0,1116,1172,0,0,1029,1248,0,0,"카르미나",0,1084,1042,0,0,1029,1139,0,1174,0,0,0,0,0,0,0,4,0
"사이좋은 세 사람이 결성한 비공식 길드. 길드 흉내를 내며 그저 노는 것이 목적.",1307,1036,0,0,1229,0,1113,1808,0,0,1020,1227,0,0,"리틀 리리컬",0,1112,1004,0,0,1020,1111,0,1228,0,0,0,0,0,0,0,5,0
"엘프족이 사는 숲을 관리하고 수호하는 긴 역사를 가진 길드. 엘프의 숲에만 나는 약초 관리나 숲의 가이드를 하고 있다.",1284,1040,0,0,1221,0,1107,1167,0,0,1015,1246,0,0,"포레스티에",0,1135,1012,0,0,1015,1134,0,1807,0,0,0,0,0,0,0,6,0
"이리야가 마족 소녀들과 결성한 길드. 길드명은 일찍이 신들을 상대로 투쟁을 벌인 이리야가 이끌었던 최강의 마족 군대와 같다.",1199,1006,0,0,1117,0,1031,1082,0,0,1044,1240,0,1209,"악마왕국군(디아볼로스)",0,1007,1022,1138,0,1044,1081,1137,1241,0,0,1220,0,0,1271,1262,7,0
"랜드솔의 국군이며 활동 목적은 「왕궁」 과 왕족의 호위 및 칙명을 받은 임무 달성이다. 거리의 치안을 지키는 경찰 조직의 성격도 강하다.",1238,1037,0,0,1236,0,1005,1136,0,0,1047,1143,0,0,"왕궁기사단(NIGHTMARE)",0,1242,1071,0,0,1047,1115,1239,1141,0,0,0,0,0,0,0,8,0
"고아원이지만 한편으론 장사도 하고 있다. 왕궁 경호를 하며 지내는 나날에 회의감이 든 사렌이 사람들의 도움이 되는 일을 하고 싶어 결성했다.",1121,1023,0,0,1085,0,1021,1145,0,0,1028,1335,0,1232,"사렌디아 구호원",0,1103,1025,1809,0,1028,1077,1213,1086,0,0,1275,0,0,0,1308,9,0
"마물의 위협으로부터 같은 【동물원】의 동료를 지키는 무도파 길드. 「섀도우」 등의 이변을 조사하거나 해결도 한다. 【왕궁기사단】과는 견원지간.",1159,1014,0,0,1105,0,1017,1157,0,0,1010,1160,0,1285,"자경단(카온)",0,1106,1043,1231,0,1010,1104,1177,1122,0,0,1298,0,0,0,1310,10,0
"산 위에 있는 목장 길드 활동 내용은 목장에서 소나 말 등을 사육한다. 수인족들이 휴가를 보내는 피크닉 장소이기도 하고, 환자들의 요양지이기도 하다.",1192,1038,0,0,1127,0,1026,1254,0,0,1033,1807,0,0,"목장(엘리자베스 파크)",0,1123,1052,0,0,1033,1128,1235,1158,0,0,0,0,0,0,0,11,0
"막대한 자금을 밑천으로 각종 사업의 융자와 매수를 하는 길드. 악덕한 방법으로 돈을 버는 상인들에게 본때를 보여주는 것이 이면의 활동 목적.",1168,1034,0,0,1079,0,1046,1268,0,0,1032,1146,0,1809,"메르쿠리우스 재단",0,1267,1048,1222,0,1032,1080,1169,1144,0,0,1251,0,0,0,0,12,0
"위험한 의뢰도 맡는 해결사 길드로 어떠한 목적을 위해 결성되었다. 멤버 대부분이 또 다른 이름을 가지고 있다. 랜드솔에서 가장 위험한 길드라는 소문도.",1175,1027,0,0,1170,0,1013,1131,0,0,1056,1132,0,1219,"트와일라이트 캐러밴",0,1009,1051,1247,0,1056,1090,1208,1133,0,0,1237,0,0,1299,1276,13,0
"랜드솔에 있는 학교 중 하나. 길드 관리 협회가 운영하는 공립 교육기관. 공학이며, 통학하는 학생의 연령, 종족, 학력도 다양하다.",1329,1016,0,0,1190,0,1083,1101,0,0,1018,1273,0,0,"루센트 학원",0,1179,1050,0,0,1018,1100,0,1214,0,0,0,0,0,0,0,14,0
"모니카를 길드 마스터로 결성된 길드. 언제나 멍청한 행동을 하기에 위기에 처하지만 스스로 화려하게 해결한다.",1178,1030,0,0,1095,0,1045,1096,0,0,1053,1142,0,1252,"바이스플뤼겔 랜드솔 지부",0,1055,1008,1215,0,1053,1176,1191,1130,0,0,1263,0,0,1332,1270,15,0
"장학금 심사 통과를 목적으로, 그 달성 조건인 「친화성 높은 공동체」라는 사실을 어필하기 위해 분위기상 결성된 새로운 감각의 동아리 스타일 길드.",0,1109,0,0,1294,0,1164,1293,0,0,1110,0,0,0,"성 테레사 여학원(단짝부)",0,1162,1108,0,0,1110,1163,0,1295,0,0,0,0,0,0,0,16,0
"희소한 종족, 드래곤족의 발견과 보호를 목적으로 결성. 각지를 탐색하는 일을 하고 있지만, 이면으로는 갱단과 연결돼 있다는 안 좋은 소문이 끊이지 않는 길드.",0,1066,0,0,1249,0,1166,1245,0,0,1067,1318,0,0,"드래곤즈 네스트",0,1165,1065,0,0,1067,1216,0,1283,0,0,0,0,0,0,0,17,0
"",0,0,0,0,0,0,0,0,0,0,1180,0,0,0,"리치몬드 상공회",0,0,1280,0,0,1180,0,0,0,0,0,0,0,0,0,0,18,0
"",0,1233,0,0,0,0,1269,0,0,0,1923,0,0,0,"레이지ㆍ레기온",0,1312,1182,0,0,1181,1311,0,0,0,0,0,0,0,0,0,19,0
"",0,1261,0,0,0,0,1316,0,0,0,1258,0,0,0,"얼터 메이든",0,0,1260,0,0,1258,0,0,0,0,0,0,0,0,0,0,20,0
"",0,1302,0,0,0,0,0,0,0,0,1300,0,0,0,"밴디 시스터즈",0,0,1301,0,0,1300,0,0,0,0,0,0,0,0,0,0,21,0
"",0,1126,0,0,0,0,0,0,0,0,1124,0,0,0,"뉴 제네레이션즈",0,0,1125,0,0,1124,0,0,0,0,0,0,0,0,0,0,100,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"포레스티에, 목장(엘리자베스 파크)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"메르쿠리우스 재단, 사렌디아 구호원",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
