dear_point_up_offset_y,condition_story_id,chara_index,episode_unlock_offset_y,dear_point_up_offset_x,reference_type,chara_name,episode_unlock_offset_x,reference_id,event_id,max_dear_point
0,0,1,0,0,1,"에밀리아",0,109901,10053,1000
0,0,2,0,0,1,"렘",0,109701,10053,1000
0,0,3,0,0,1,"람",0,109801,10053,1000
0,0,1,0,0,1,"스즈나",0,110001,20015,1000
0,0,2,0,0,1,"미사키",0,110201,20015,1000
0,0,1,0,0,1,"클로에",0,110801,20017,1000
0,0,2,0,0,1,"치에루",0,110901,20017,1000
40,0,3,0,0,1,"유니",0,111001,20017,1000
0,0,1,0,0,1,"미미",0,111301,20018,1000
0,0,2,0,0,1,"쿄우카",0,111101,20018,1000
0,0,3,0,0,1,"미소기",0,111201,20018,1000
0,0,1,0,0,1,"이노리",0,106601,20019,1000
0,0,2,0,0,1,"카야",0,106501,20019,1000
0,0,3,0,0,1,"노조미",0,111601,20020,1000
0,0,1,0,0,1,"크리스티나",0,111501,20020,1000
0,0,2,0,0,1,"이리야",0,111701,20020,1000
0,0,1,0,0,1,"카스미",0,112201,20022,1000
0,0,2,0,0,1,"시오리",0,112301,20022,1000
0,0,1,0,0,1,"치에루",0,110901,20023,1000
0,0,2,0,0,1,"클로에",0,110801,20023,1000
0,0,3,0,0,1,"유니",0,111001,20023,1000
0,0,1,0,0,1,"마히루",0,103301,20024,1000
0,0,2,0,0,1,"린",0,102601,20024,1000
0,0,3,0,0,1,"리마",0,105201,20024,1000
0,0,4,0,0,1,"시오리",0,103801,20024,1000
0,0,1,0,0,2,"리노",0,112901,20025,1000
0,0,2,0,0,2,"아유미",0,113001,20025,1000
0,0,3,0,0,2,"히요리",0,900103,20025,1000
0,5042004,4,0,0,2,"이노리",0,906601,20025,1000
-40,5042004,5,-40,0,2,"호마레",0,106701,20025,1000
-40,0,1,-40,0,1,"루카",0,113101,20026,1000
0,0,2,0,0,1,"나나카",0,113301,20026,1000
0,0,3,0,0,1,"안나",0,113201,20026,1000
0,0,1,0,0,1,"요리",0,113801,20028,1000
0,0,2,0,0,1,"아카리",0,113701,20028,1000
0,0,1,0,0,1,"츠무기",0,113901,20029,1000
0,0,2,0,0,1,"레이",0,114001,20029,1000
0,0,3,0,0,1,"마츠리",0,114101,20029,1000
0,0,1,0,0,1,"모니카",0,114201,20030,1000
0,0,2,0,0,1,"토모",0,114301,20030,1000
0,0,1,0,0,1,"아키노",0,114401,20031,1000
0,0,2,0,0,1,"사렌",0,114501,20031,1000
0,0,1,0,0,1,"페코린느",0,111801,20032,1000
0,0,2,0,0,1,"콧코로",0,111901,20032,1000
0,0,3,0,0,1,"캬루",0,112001,20032,1000
0,5056002,4,0,0,1,"무이미",0,114701,20032,1000
0,5056002,5,0,0,1,"네네카",0,115001,20032,1000
0,0,1,0,0,1,"리마",0,115801,20035,1000
0,5061002,2,0,0,1,"마호",0,116001,20035,1000
0,5061003,3,0,0,1,"마코토",0,115901,20035,1000
0,0,1,0,0,1,"이노리",0,116501,20037,1000
0,0,2,0,0,1,"카야",0,116601,20037,1000
0,0,1,0,0,1,"아오이",0,116701,20038,1000
0,0,1,0,0,1,"카오리",0,117701,20042,1000
0,0,2,0,0,1,"니논",0,117801,20042,1000
0,0,3,0,0,1,"스즈나",0,117901,20042,1000
0,0,1,0,0,1,"이오",0,119001,20043,1000
0,0,2,0,0,1,"쿠우카",0,119101,20043,1000
0,0,1,0,0,1,"쿠루미",0,121301,20048,1000
0,0,2,0,0,1,"미사키",0,121401,20048,1000
0,0,1,0,0,1,"아유미",0,121501,20049,1000
0,0,2,0,0,1,"이노리",0,121601,20049,1000
0,0,1,0,0,1,"유카리",0,122201,20051,1000
0,0,2,0,0,1,"아오이",0,122101,20051,1000
0,0,3,0,0,1,"쥰",0,123401,20051,1000
0,0,1,0,0,1,"마호",0,123101,20054,1000
0,0,2,0,0,1,"아야네",0,123201,20054,1000
0,0,1,0,0,1,"토모",0,123601,20055,1000
0,0,2,0,0,1,"린",0,123501,20055,1000
0,0,3,0,0,1,"나나카",0,123701,20055,1000
0,0,1,0,0,1,"마츠리",0,123901,20056,1000
0,0,2,0,0,1,"크리스티나",0,123801,20056,1000
0,0,1,0,0,1,"모니카",0,125201,10141,1000
0,0,2,0,0,1,"타마키",0,125101,10141,1000
0,0,1,0,0,1,"시노부",0,127101,10151,1000
0,0,2,0,0,1,"쿠우카",0,127001,10151,1000
0,0,3,0,0,1,"란파",0,126901,10151,1000
0,0,4,0,0,1,"해골 아버지",0,427101,10151,1000
0,0,1,0,0,1,"스즈메",0,130801,10144,1000
0,0,2,0,0,1,"쿄우카",0,130701,10144,1000
