equipment_slot_5,promotion_level,unique_equipment_level_2,rarity,equipment_slot_4,equipment_slot_1,equipment_slot_6,unit_level,unit_enhance_id,equipment_slot_3,equipment_slot_2,unique_equipment_level_1
1,13,-1,3,1,1,1,100,100101,1,1,-1
1,15,-1,4,1,1,1,130,100201,1,1,-1
1,17,-1,4,1,1,1,160,100301,1,1,-1
1,19,-1,4,1,1,1,180,100401,1,1,120
1,19,-1,4,1,1,1,180,100402,1,1,-1
1,21,-1,4,1,1,1,200,100501,1,1,150
1,21,-1,4,1,1,1,200,100502,1,1,-1
1,23,-1,5,1,1,1,220,100601,1,1,180
1,23,-1,5,1,1,1,220,100602,1,1,-1
1,25,-1,5,1,1,1,240,100701,1,1,210
1,25,-1,5,1,1,1,240,100702,1,1,-1
1,27,-1,5,1,1,1,260,100801,1,1,240
1,27,-1,5,1,1,1,260,100802,1,1,-1
1,29,-1,5,1,1,1,280,100901,1,1,270
1,29,-1,5,1,1,1,280,100902,1,1,-1
1,32,1,6,1,1,1,300,101001,1,1,300
1,32,-1,6,1,1,1,300,101002,1,1,300
1,32,-1,6,1,1,1,300,101003,1,1,-1
1,32,1,5,1,1,1,300,101004,1,1,300
1,32,-1,5,1,1,1,300,101005,1,1,300
1,32,-1,5,1,1,1,300,101006,1,1,-1
1,32,1,6,1,1,1,310,101101,1,1,300
1,32,-1,6,1,1,1,310,101102,1,1,300
1,32,-1,6,1,1,1,310,101103,1,1,-1
1,32,1,5,1,1,1,310,101104,1,1,300
1,32,-1,5,1,1,1,310,101105,1,1,300
1,32,-1,5,1,1,1,310,101106,1,1,-1
1,32,1,6,1,1,1,320,101201,1,1,300
1,32,-1,6,1,1,1,320,101202,1,1,300
1,32,-1,6,1,1,1,320,101203,1,1,-1
1,32,1,5,1,1,1,320,101204,1,1,300
1,32,-1,5,1,1,1,320,101205,1,1,300
1,32,-1,5,1,1,1,320,101206,1,1,-1
1,32,3,6,1,1,1,330,101301,1,1,300
1,32,-1,6,1,1,1,330,101302,1,1,300
1,32,-1,6,1,1,1,330,101303,1,1,-1
1,32,3,5,1,1,1,330,101304,1,1,300
1,32,-1,5,1,1,1,330,101305,1,1,300
1,32,-1,5,1,1,1,330,101306,1,1,-1
1,32,3,6,1,1,1,340,101401,1,1,300
1,32,-1,6,1,1,1,340,101402,1,1,300
1,32,-1,6,1,1,1,340,101403,1,1,-1
1,32,3,5,1,1,1,340,101404,1,1,300
1,32,-1,5,1,1,1,340,101405,1,1,300
1,32,-1,5,1,1,1,340,101406,1,1,-1
1,32,3,6,1,1,1,350,101501,1,1,300
1,32,-1,6,1,1,1,350,101502,1,1,300
1,32,-1,6,1,1,1,350,101503,1,1,-1
1,32,3,5,1,1,1,350,101504,1,1,300
1,32,-1,5,1,1,1,350,101505,1,1,300
1,32,-1,5,1,1,1,350,101506,1,1,-1
1,32,5,6,1,1,1,360,101601,1,1,310
1,32,-1,6,1,1,1,360,101602,1,1,310
1,32,-1,6,1,1,1,360,101603,1,1,-1
1,32,5,5,1,1,1,360,101604,1,1,310
1,32,-1,5,1,1,1,360,101605,1,1,310
1,32,-1,5,1,1,1,360,101606,1,1,-1
1,32,5,6,1,1,1,380,101701,1,1,310
1,32,-1,6,1,1,1,380,101702,1,1,310
1,32,-1,6,1,1,1,380,101703,1,1,-1
1,32,5,5,1,1,1,380,101704,1,1,310
1,32,-1,5,1,1,1,380,101705,1,1,310
1,32,-1,5,1,1,1,380,101706,1,1,-1
1,32,5,6,1,1,1,400,101801,1,1,310
1,32,-1,6,1,1,1,400,101802,1,1,310
1,32,-1,6,1,1,1,400,101803,1,1,-1
1,32,5,5,1,1,1,400,101804,1,1,310
1,32,-1,5,1,1,1,400,101805,1,1,310
1,32,-1,5,1,1,1,400,101806,1,1,-1
1,33,5,6,1,1,1,400,111601,1,1,310
1,33,-1,6,1,1,1,400,111602,1,1,310
1,33,-1,6,1,1,1,400,111603,1,1,-1
1,33,5,5,1,1,1,400,111604,1,1,310
1,33,-1,5,1,1,1,400,111605,1,1,310
1,33,-1,5,1,1,1,400,111606,1,1,-1
1,33,5,6,1,1,1,450,111701,1,1,310
1,33,-1,6,1,1,1,450,111702,1,1,310
1,33,-1,6,1,1,1,450,111703,1,1,-1
1,33,5,5,1,1,1,450,111704,1,1,310
1,33,-1,5,1,1,1,450,111705,1,1,310
1,33,-1,5,1,1,1,450,111706,1,1,-1
1,33,5,6,1,1,1,500,111801,1,1,310
1,33,-1,6,1,1,1,500,111802,1,1,310
1,33,-1,6,1,1,1,500,111803,1,1,-1
1,33,5,5,1,1,1,500,111804,1,1,310
1,33,-1,5,1,1,1,500,111805,1,1,310
1,33,-1,5,1,1,1,500,111806,1,1,-1
