category_icon,mark_flag,description,condition_value_5,condition_value_7,condition_value_3,disp_group,mission_condition,max_level,type,condition_value_4,min_level,campaign_mission_reward_id,condition_value_9,mission_id,condition_value_1,condition_value_2,visible_flag,end_time,start_time,system_id,campaign_id,condition_num,condition_value_6,condition_value_8,title_color_id,condition_value_10
107,0,"기간 중에 4일간 로그인하자",0,0,0,100,8011,0,9,0,0,30109001,0,30109001,1,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",0,1,4,0,0,0,0
107,1,"메인 스토리 제1장 제1화를 열람하자",0,0,0,101,8008,0,9,0,0,30109002,0,30109002,2001001,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",801,1,1,0,0,0,0
107,1,"기간 중에 서포트 캐릭터를 빌려 퀘스트를 클리어하자",0,0,0,102,1012,0,9,0,0,30109003,0,30109003,1,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",101,1,1,0,0,0,0
107,1,"메인 퀘스트 6-1 (NORMAL)을 클리어하자",0,0,0,103,1001,0,9,0,0,30109004,0,30109004,11006001,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",101,1,1,0,0,0,0
107,1,"플레이어 Lv을 40로 만들자",0,0,0,104,8002,0,9,0,0,30109005,0,30109005,0,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",101,1,40,0,0,0,0
107,0,"기간 중에 초보자 미션을 전부 클리어하자",0,0,0,105,8010,0,9,0,0,30109006,0,30109006,1,9,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",0,1,5,0,0,0,0
107,0,"기간 중에 초보 플레이어 1명과 친구가 되자",0,0,0,200,6017,0,10,0,0,30110001,0,30110001,0,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",907,1,1,0,0,0,0
107,0,"기간 중에 초보 플레이어 2명과 친구가 되자",0,0,0,200,6017,0,10,0,0,30110001,0,30110002,0,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",907,1,2,0,0,0,0
107,0,"기간 중에 초보 플레이어 3명과 친구가 되자",0,0,0,200,6017,0,10,0,0,30110001,0,30110003,0,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",907,1,3,0,0,0,0
107,0,"기간 중에 초보 플레이어 4명과 친구가 되자",0,0,0,200,6017,0,10,0,0,30110001,0,30110004,0,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",907,1,4,0,0,0,0
107,0,"기간 중에 초보 플레이어 5명과 친구가 되자",0,0,0,200,6017,0,10,0,0,30110001,0,30110005,0,0,1,"2021-02-02 04:59:59","2021-01-18 15:00:00",907,1,5,0,0,0,0
107,0,"기간 중에 친구가 된 초보 플레이어의 초보자 미션 달성을 지켜보자(1명째)",0,0,0,210,6018,0,10,0,0,30110006,0,30110006,1,0,1,"2021-02-08 14:59:59","2021-01-18 15:00:00",0,1,1,0,0,0,0
107,0,"기간 중에 친구가 된 초보 플레이어의 초보자 미션 달성을 지켜보자(2명째)",0,0,0,210,6018,0,10,0,0,30110006,0,30110007,1,0,1,"2021-02-08 14:59:59","2021-01-18 15:00:00",0,1,2,0,0,0,0
107,0,"기간 중에 친구가 된 초보 플레이어의 초보자 미션 달성을 지켜보자(3명째)",0,0,0,210,6018,0,10,0,0,30110006,0,30110008,1,0,1,"2021-02-08 14:59:59","2021-01-18 15:00:00",0,1,3,0,0,0,0
107,0,"기간 중에 친구가 된 초보 플레이어의 초보자 미션 달성을 지켜보자(4명째)",0,0,0,210,6018,0,10,0,0,30110006,0,30110009,1,0,1,"2021-02-08 14:59:59","2021-01-18 15:00:00",0,1,4,0,0,0,0
107,0,"기간 중에 친구가 된 초보 플레이어의 초보자 미션 달성을 지켜보자(5명째)",0,0,0,210,6018,0,10,0,0,30110006,0,30110010,1,0,1,"2021-02-08 14:59:59","2021-01-18 15:00:00",0,1,5,0,0,0,0
