reward_id_1,reward_id_2,reward_id_4,rank_to,reward_id_5,reward_type_4,reward_type_5,reward_num_2,id,rank_from,reward_type_2,reward_num_1,reward_num_3,reward_type_1,reward_type_3,reward_id_3,reward_num_4,reward_num_5
91002,94002,22003,5,0,2,0,150000,1,1,12,150,20,8,2,20003,5,0
91002,94002,22003,9,0,2,0,100000,2,6,12,145,15,8,2,20003,2,0
91002,94002,22002,19,0,2,0,80000,3,10,12,140,11,8,2,20003,5,0
91002,94002,22002,29,0,2,0,80000,4,20,12,130,10,8,2,20003,5,0
91002,94002,22002,39,0,2,0,70000,5,30,12,120,9,8,2,20003,4,0
91002,94002,22002,49,0,2,0,70000,6,40,12,110,8,8,2,20003,4,0
91002,94002,22002,99,0,2,0,60000,7,50,12,100,7,8,2,20003,3,0
91002,94002,22002,499,0,2,0,40000,8,100,12,80,2,8,2,20003,2,0
91002,94002,22002,999,0,2,0,20000,9,500,12,50,7,8,2,20002,1,0
91002,94002,22001,4999,0,2,0,16000,10,1000,12,20,4,8,2,20002,3,0
91002,94002,22001,9999,0,2,0,9000,11,5000,12,15,3,8,2,20002,2,0
91002,94002,22001,11999,0,2,0,4000,12,10000,12,10,8,8,2,20001,1,0
91002,94002,22001,13999,0,2,0,3000,13,12000,12,5,7,8,2,20001,1,0
91002,94002,22001,14999,0,2,0,2000,14,14000,12,4,6,8,2,20001,1,0
91002,94002,22001,30000,0,2,0,1800,15,15000,12,3,5,8,2,20001,1,0
