param_05,param_04,param_06,drama_id,param_01,command_type,param_08,param_03,command_id,param_07,param_02
-220,-200,1.7,1,1,1,psy_miyako_idle,100,1001,0,119931
-220,1000,1.7,1,1,5,psy_idle_normal,100,1002,1,1
-220,-50,1.7,1,1,5,psy_fairy_idle,105,1003,0,2
1,0,1,1,1,31,"",0,1004,"",11
"","",0.2,1,1,3,"",1,1005,"",psy_item00_run
0,2.5,"",1,1,2,"",-220,1006,"",285
"","","",1,2.5,93,"","",1007,"",""
"","",0.2,1,1,3,"",1,1008,"",psy_item00_idle
"","","",1,0.5,93,"","",1009,"",""
"","",0.2,1,119931,3,"",1,1010,"",psy_miyako_talk1
"",0,"",1,vo_minigame_1008,21,"",0,1011,"",vo_minigame_1008_drama_0101
0,1,0,1,119931,11,0.5,6,1012,0,"할머니가 장 보고\n돌아오면\n궁극의 푸딩을 보여줘서\n놀라게 하는 거야!"
"","","",1,6,93,"","",1013,"",1
1,psy_miyako_doya_loop,0.2,1,119931,3,"",0,1014,0.2,psy_miyako_doya_in
"","","",1,1012,91,"","",1015,"",""
"","","",1,0,22,"","",1016,"",0
"","",0.2,1,2,3,"",1,1017,"",psy_fairy_talk
"",0,"",1,vo_minigame_1008,21,"",0,1018,"",vo_minigame_1008_drama_9901
0,1,0,1,2,11,0.5,6,1019,0,"뀨이뀨이!"
"","","",1,0,91,"","",1020,"",""
"","",0.2,1,2,3,"",1,1021,"",psy_fairy_idle
"","",0.2,1,119931,3,"",1,1022,"",psy_miyako_talk2
"",0,"",1,vo_minigame_1008,21,"",0,1023,"",vo_minigame_1008_drama_0102
0,1,0,1,119931,11,0.5,5,1024,0,"너도 돕고 싶은 거야?\n그럼 달걀이랑 우유를 마히루한테서\n잔뜩 받아오는 거야!\n재료는 잔뜩 있는 편이 좋은 거야!"
"","","",1,2,93,"","",1025,"",1
"","",0.2,1,119931,3,"",1,1026,"",psy_miyako_talk_joy2
"","","",1,1024,91,"","",1027,"",""
"","","",1,0,22,"","",1028,"",0
"","",0.2,1,119931,3,"",1,1029,"",psy_miyako_idle
"","","",1,2,4,"","",1030,"",1
1,psy_fairy_run,0.2,1,2,3,"",0,1031,0,psy_fairy_run_in
"","","",1,1.3,93,"","",1032,"",""
0,1,"",1,2,2,"",-220,1033,"",1000
"","","",1,2,93,"","",1034,"",""
1,psy_miyako_doya_loop,0.2,1,119931,3,"",0,1035,0.2,psy_miyako_doya_in
"",0,"",1,vo_minigame_1008,21,"",0,1036,"",vo_minigame_1008_drama_0103
0,1,0,1,119931,11,0.5,6,1037,0,"너는 미야코를 돕는 거야!\n귀찮은 일은 전부\n너한테 맡기는 거야!"
"","","",1,0,91,"","",1038,"",""
"","","",1,0,22,"","",1039,"",0
0,0,0,1,1,12,0,1,1040,0,11
1,psy_item00_idle_guts,0.2,1,1,3,"",0,1041,0.2,psy_item00_talk_guts
"","","",1,2,93,"","",1042,"",""
"","",0.2,1,119931,3,"",1,1043,"",psy_miyako_talk_joy2
"",0,"",1,vo_minigame_1008,21,"",0,1044,"",vo_minigame_1008_drama_0104
0,1,0,1,119931,11,0.5,5,1045,0,"모두 모두\n맛있는 푸딩으로 만들어버리는 거야~♪"
"","","",1,4,93,"","",1046,"",1
1,psy_miyako_fight_loop,0.2,1,119931,3,"",0,1047,0.2,psy_miyako_fight_in
1,psy_item00_handsup_loop,0.2,1,1,3,"",0,1048,0.2,psy_item00_handsup
"","","",1,1.5,93,"","",1049,"",""
"","","",1,1045,91,"","",1050,"",""
"","","",1,0,22,"","",1051,"",0
-200,-300,1.7,2,1,1,psy_miyako_start,100,2001,0,119931
-220,300,1.7,2,1,1,psy_walk,100,2002,1,106011
1,0,1,2,1,31,"",0,2003,"",11
-200,-300,1.7,2,1,5,psy_smoke_start,101,2004,0,1
0,2,"",2,106011,2,"",-220,2005,"",185
"","","",2,2,93,"","",2006,"",""
1,psy_kyaru_talk_arm_crossed_loop,0.2,2,106011,3,"",0,2007,0,psy_kyaru_talk_arm_crossed
"",0,"",2,vo_minigame_1008,21,"",0,2008,"",vo_minigame_1008_drama_0305
0,1,0,2,106011,11,0.5,8,2009,0,"저기, 너.\n페코린느한테 주기 딱\n좋은 과자를 대충 골라서……"
"","","",2,0,91,"","",2010,"",""
"",0,"",2,vo_minigame_1008,21,"",0,2011,"",vo_minigame_1008_drama_0306
"","",0.2,2,106011,3,"",1,2012,"",psy_talk_sad
0,1,0,2,106011,11,0.5,8,2013,0,"앗, 없잖아.\n그 녀석이 일하고 있다고 듣고\n온 건데…… 그보다 아무도 없고.\n경계가 허술한 가게네."
"","","",2,4,93,"","",2014,"",1
"","",0.2,2,106011,3,"",1,2015,"",psy_talk_sad
"","","",2,2013,91,"","",2016,"",""
"","",0.2,2,106011,3,"",1,2017,"",psy_idle_sad
1,psy_miyako_thinking4,0.2,2,119931,3,"",0,2018,0.2,psy_miyako_appear
0,psy_smoke_start,0,2,1,3,"",0,2019,0,psy_smoke_appear
"",0,"",2,vo_minigame_1008,21,"",0,2020,"",vo_minigame_1008_drama_0301
0,1,0,2,119931,11,1,4,2021,0,"푸딩…… 푸딩……\n궁극의 푸딩 만들기는 어려운 거야……\n뭔가 아이디어가 번뜩일 계기를 원하는 거야……"
"","","",2,1,93,"","",2022,"",1
1,psy_idle_surprise2,0.2,2,106011,3,"",0,2023,0.2,psy_surprise
"","","",2,2021,91,"","",2024,"",""
"","","",2,0,22,"","",2025,"",0
"","",0.2,2,119931,3,"",1,2026,"",psy_miyako_idle_thinking
"","",0.2,2,106011,3,"",1,2027,"",psy_talk_surprise2
"",0,"",2,vo_minigame_1008,21,"",0,2028,"",vo_minigame_1008_drama_0307
0,1,0,2,106011,11,0.5,8,2029,0,"꺅!?\n갑자기 튀어나오고 뭐야, 너!"
"","","",2,0,91,"","",2030,"",""
"","",0.2,2,106011,3,"",1,2031,"",psy_idle_surprise2
"","",0.2,2,119931,3,"",1,2032,"",psy_miyako_anger1
"",0,"",2,vo_minigame_1008,21,"",0,2033,"",vo_minigame_1008_drama_0302
0,1,0,2,119931,11,1,5,2034,0,"네가 멋대로 들어온 거야.\n미야코는 잘못 없는 거야.\n미야코를 방해하지 말라는 거야…… 응?\n너……"
"","","",2,8,93,"","",2035,"",1
"","",0.2,2,119931,3,"",1,2036,"",psy_miyako_thinking2
"","","",2,2034,91,"","",2037,"",""
"","","",2,0,22,"","",2038,"",0
"","",0.2,2,106011,3,"",1,2039,"",psy_talk_sad
"",0,"",2,vo_minigame_1008,21,"",0,2040,"",vo_minigame_1008_drama_0308
0,1,0,2,106011,11,0.5,8,2041,0,"뭐, 뭐야……"
"","","",2,0,91,"","",2042,"",""
"","",0.2,2,106011,3,"",1,2043,"",psy_idle_sad
"","",0.2,2,119931,3,"",1,2044,"",psy_miyako_run
0,2,"",2,119931,2,"",-200,2045,"",0
"","","",2,2,93,"","",2046,"",""
"","",0.2,2,119931,3,"",1,2047,"",psy_miyako_thinking2
