psy_product_id,condition_flavor_1,condition_flavor_2,psy_product_name,flavor_1,flavor_2,flavor_3,disp_order,init_flg
100,3,5,"페코린느의 푸딩","프린세스 같은 푸딩인 거야\n가게에 있던 다양한 먹을 걸\n넣을 수 있는 만큼 넣어본 거야\n어떤 맛일지 기대되는 거야","너무 맛있어서 먹기 시작하면\n멈출 수 없는 최고의 푸딩인 거야\n지금 미야코를 말릴 수 있는 녀석은\n아무도 없는 거야","장난 아니네요☆인 거야!",1,1
101,3,5,"콧코로의 푸딩","늘 네 곁에 찰싹 붙어 있는\n녀석의 푸딩인 거야. 미야코의\n짜증도 다정하게 받아줄 것\n같은 거야 ","어쩐지 엄청 다정한 마음이\n되는 맛인 거야…\n아침부터 저녁까지\n계속 함께인 맛인 거야…","주인님, 인 거야!",2,1
102,3,5,"캬루의 푸딩","툴툴거리는 부끄럼쟁이 녀석의\n푸딩인 거야. 설탕과 향신료를\n섞어본 거야. 어떤 맛이 될지\n기대되는 거야","다양한 맛을 한 번에 즐기는\n푸딩인 거야. 츤데레를 푸딩으로\n만들면 맛있는 거야. 미야코도\n츤데레를 목표로 해보는 거야","죽여버린다! 인 거야!\n…부끄럼 요소는 어디 간 거야?",3,0
103,3,5,"셰피의 푸딩","너랑 똑같이 한번\n아기같이 됐던 녀석의 푸딩인\n거야. 차가운 아이스 푸딩으로\n만들어본 거야","따뜻한 곳에서 먹는\n아이스 푸딩은 최고인 거야~♪\n너무 안심돼서 옛날 기억이 없는\n미야코도 마음이 어린애가 되는 거야~","오~파♪인 거야!",4,1
104,3,5,"이리야의 푸딩","이리야를 보고 있으니 생각난\n토마토 주스가 살짝 들어간\n푸딩인 거야. 영양 만점인 거야","토마토로 영양 보충도 완벽한 거야\n점점 힘이 넘쳐흘러서\n부활도 꿈이 아닌 거야\n미야코가 부활하면…","하~하하하!\n세계 정복인 것이니라인 거야~!",5,1
105,3,5,"아카리의 푸딩","아카리 푸딩인 거야. 요리랑\n비슷하게 귀엽게 만들어준\n거야. 솔직히 미야코는\n맛있으면 뭐든 상관없는 거야","겉모양이 귀여워도 미야코는\n맛에도 엄격한 거야. 냠…\n이, 이건…! 어쩐지 굉장히\n이상한 기분이 드는 거야…","오빠는 변태! 인 거야!",6,1
106,3,5,"요리의 푸딩","귀엽게 안 만들면 아카리가\n화낼 것 같으니까 요리의 푸딩은\n귀엽게 만든 거야. 야심작인 거야","냐암… 이건 꽤 감상이\n어려운 푸딩인 거야… 솔직하게\n말하고 싶은 듯한… 마음속에 간직하고\n싶은 듯한…","음… 저기… 널…\n어, 엄청 싫어하는 거야~~!",7,1
107,3,5,"시노부의 푸딩","시노부는 늘 미야코를\n친절하게 대하니까\n정성껏 만든 거야. 해골 아버지는\n필요 없으니까 안 만든 거야","이 푸딩을 먹으면 시노부가\n미야코 안에 있는 것 같은 거야!\n시노부의 힘이 있으면 미래의\n푸딩을 실컷 보는 거야!","아버지… 그만 좀 하라는 거야!\n응? 푸딩의 미래는…\n안 보였던 거야…",8,0
108,3,5,"쥰의 푸딩","검은 갑옷을 벗지 않는 녀석의 푸딩인\n거야. 단단한 푸딩을 목표로 했더니\n너무 딴딴해진 거야","너무 단단해서 베어 먹을 수 없으니까 통째로 먹은\n거야. 어쩐지 몸이 단단해진\n느낌이 드는 거야. 모두를\n지킬 수 있을 것 같은 거야!","인페르노 실드! 인 거야!",9,1
109,3,5,"토모의 푸딩","널 늘 놀리는\n녀석의 푸딩인 거야\n살짝 특이한 향신료로\n놀리는 걸 표현한 거야","입안에서 향신료가 톡톡\n터져서 새로운 식감인 거야!\n톡톡이 미야코를\n농락하는 거야!","당신이랑 있으면 상태가 이상해져\n…인 거야\n농락한 건 너인 거야?",10,1
