trial_mission_id,mission_reward_id,mission_condition,condition_num,quest_id,condition_value,description,disp_group
110001,110001,70000,1,90110001,0,"가고일(EASY)을 클리어하자",111
110002,110001,70000,1,90110002,0,"가고일(NORMAL)을 클리어하자",112
110003,110001,70000,1,90110003,0,"가고일(HARD)을 클리어하자",113
110004,110001,70000,1,90110004,0,"가고일(VERY HARD)을 클리어하자",114
110005,110001,70000,1,90110005,0,"가고일(EXTREME)을 클리어하자",115
120001,110001,70000,1,90120001,0,"마구스 가고일(EASY)을 클리어하자",121
120002,110001,70000,1,90120002,0,"마구스 가고일(NORMAL)을 클리어하자",122
120003,110001,70000,1,90120003,0,"마구스 가고일(HARD)을 클리어하자",123
120004,110001,70000,1,90120004,0,"마구스 가고일(VERY HARD)을 클리어하자",124
120005,110001,70000,1,90120005,0,"마구스 가고일(EXTREME)을 클리어하자",125
130001,110001,70000,1,90130001,0,"가드 가고일(EASY)을 클리어하자",131
130002,110001,70000,1,90130002,0,"가드 가고일(NORMAL)을 클리어하자",132
130003,110001,70000,1,90130003,0,"가드 가고일(HARD)을 클리어하자",133
130004,110001,70000,1,90130004,0,"가드 가고일(VERY HARD)을 클리어하자",134
130005,110001,70000,1,90130005,0,"가드 가고일(EXTREME)을 클리어하자",135
140001,110001,70000,1,90140001,0,"가고일 버스트(EASY)를 클리어하자",141
140002,110001,70000,1,90140002,0,"가고일 버스트(NORMAL)를 클리어하자",142
140003,110001,70000,1,90140003,0,"가고일 버스트(HARD)를 클리어하자",143
140004,110001,70000,1,90140004,0,"가고일 버스트(VERY HARD)를 클리어하자",144
140005,110001,70000,1,90140005,0,"가고일 버스트(EXTREME)를 클리어하자",145
150001,110001,70000,1,90150001,0,"가고일 마기(EASY)를 클리어하자",151
150002,110001,70000,1,90150002,0,"가고일 마기(NORMAL)를 클리어하자",152
150003,110001,70000,1,90150003,0,"가고일 마기(HARD)를 클리어하자",153
150004,110001,70000,1,90150004,0,"가고일 마기(VERY HARD)를 클리어하자",154
150005,110001,70000,1,90150005,0,"가고일 마기(EXTREME)를 클리어하자",155
