reward_type_5,reward_num_2,reward_type_1,reward_num_3,quest_id,reward_num_5,reward_id_1,byway_quest_type,reward_id_4,position_x,area_id,position_y,reward_id_3,reward_type_4,detail,reward_id_5,start_time,reward_num_1,reward_type_2,icon_id,reward_id_2,reward_num_4,quest_name,reward_type_3
0,5,8,5,15063001,0,91002,1,31013,-356,11063,-120,31009,2,"전투에 승리한다.",0,"2024/04/15 15:00:00",30,2,300010,31056,5,"【트와일라이트 캐러밴】 출동!",2
0,5,8,5,15063002,0,91002,1,31005,-214,11063,-168,31043,2,"전투에 승리한다.",0,"2024/04/15 15:00:00",30,2,300010,31053,5,"뒷세계에서의 전투 훈련",2
0,5,8,5,15063003,0,91002,1,31050,-84,11063,-65,31016,2,"전투에 승리한다.",0,"2024/04/15 15:00:00",30,2,300010,31018,5,"뒷세계로의 수학여행?",2
0,0,8,0,15063004,0,91002,2,0,-116,11063,109,0,0,"전투에 승리한다.",0,"2024/04/15 15:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리",0
0,5,8,5,15063005,0,91002,1,31036,614,11063,-120,31020,2,"전투에 승리한다.",0,"2024/05/13 15:00:00",30,2,300010,31004,5,"리틀・리버스・어드벤처",2
0,5,8,5,15063006,0,91002,1,31022,655,11063,51,31006,2,"전투에 승리한다.",0,"2024/05/13 15:00:00",30,2,300010,31044,5,"가자, 뒷세계 출정?",2
0,0,8,0,15063007,0,91002,2,0,881,11063,30,0,0,"전투에 승리한다.",0,"2024/05/13 15:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리",0
0,5,8,5,15064001,0,91002,1,0,-247,11064,-179,31066,0,"전투에 승리한다.",0,"2024/06/17 15:00:00",30,2,300010,31065,0,"인사 대신 뒷세계 쳐들어가기!",2
0,5,8,5,15064002,0,91002,1,31034,0,11064,-105,31048,2,"전투에 승리한다.",0,"2024/06/17 15:00:00",30,2,300010,31032,5,"신 비즈니스의 달콤~한 향기",2
0,0,8,0,15064003,0,91002,2,0,159,11064,-90,0,0,"전투에 승리한다.",0,"2024/06/17 15:00:00",150,0,300020,0,0,"《EX》위험한 마물・쟈칼과 덩굴",0
0,10,8,0,15064004,0,91002,1,0,453,11064,-79,0,0,"전투에 승리한다.",0,"2024/07/15 15:00:00",30,2,300010,90005,0,"로켓 펀치로 마물 퇴치!",0
0,5,8,5,15064005,0,91002,1,31023,570,11064,58,31021,2,"전투에 승리한다.",0,"2024/07/15 15:00:00",30,2,300010,31028,5,"뒷세계에서의 피크닉?",2
0,0,8,0,15064006,0,91002,2,0,905,11064,-18,0,0,"전투에 승리한다.",0,"2024/07/15 15:00:00",150,0,300020,0,0,"《EX》위험한 그림자와 괴조수",0
0,5,8,5,15065001,0,91002,1,31011,-442,11065,-123,31022,2,"전투에 승리한다.",0,"2024/08/14 15:00:00",30,2,300010,31006,5,"동생들의 돌보기 대결",2
2,5,8,5,15065002,1,91002,1,31026,-289,11065,117,31033,2,"전투에 승리한다.",51011,"2024/08/14 15:00:00",30,2,300010,31052,5,"뒷세계 개척기",2
0,0,8,0,15065003,0,91002,2,0,-150,11065,-162,0,0,"전투에 승리한다.",0,"2024/08/14 15:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리",0
0,5,8,5,15065004,0,91002,1,0,141,11065,-109,31049,0,"전투에 승리한다.",0,"2024/09/11 15:00:00",30,2,300010,31037,0,"두근두근 숲 패닉!",2
0,5,8,5,15065005,0,91002,1,51012,332,11065,-34,31055,2,"전투에 승리한다.",0,"2024/09/11 15:00:00",30,2,300010,31030,1,"감해에 내건 풍어기",2
0,0,8,0,15065006,0,91002,2,0,640,11065,77,0,0,"전투에 승리한다.",0,"2024/09/11 15:00:00",150,0,300020,0,0,"《EX》위험한 마물・광웅과 익룡",0
