seek_time,type,seq_num,cue_name,story_id,sheet_name,end_pos,command,line_num,start_pos,command_param,id
0.0,4,1,0,1007001,0,0,1,0,0,0.8,100700101
0.0,2,2,vo_svd_0101,1007001,vo_svd,0,0,0,0,0.0,100700102
1.684,1,3,0,1007001,0,300,0,1,0,0.0,100700103
0.0,4,4,0,1007001,0,0,1,0,0,1.949,100700104
1.363,1,5,0,1007001,0,327,0,2,15,0.0,100700105
0.0,4,6,0,1007001,0,0,1,0,0,3.027,100700106
0.0,2,7,vo_svd_0102,1007001,vo_svd,0,0,0,0,0.0,100700107
1.69,1,8,0,1007001,0,441,0,3,0,0.0,100700108
0.0,4,9,0,1007001,0,0,1,0,0,1.7,100700109
1.446,1,10,0,1007001,0,183,0,4,0,0.0,100700110
0.0,4,11,0,1007001,0,0,1,0,0,1.722,100700111
1.245,1,12,0,1007001,0,478,0,4,183,0.0,100700112
0.0,4,13,0,1007001,0,0,1,0,0,0.417,100700113
0.864,1,14,0,1007001,0,208,0,5,0,0.0,100700114
0.0,4,15,0,1007001,0,0,1,0,0,2.482,100700115
0.0,2,16,vo_svd_0103,1007001,vo_svd,0,0,0,0,0.0,100700116
2.352,1,17,0,1007001,0,420,0,6,0,0.0,100700117
0.0,4,18,0,1007001,0,0,1,0,0,1.694,100700118
0.953,1,19,0,1007001,0,268,0,7,0,0.0,100700119
0.0,4,20,0,1007001,0,0,1,0,0,2.5,100700120
0.0,4,1,0,1007002,0,0,1,0,0,0.8,100700201
0.0,2,2,vo_svd_0201,1007002,vo_svd,0,0,0,0,0.0,100700202
0.865,1,3,0,1007002,0,168,0,1,0,0.0,100700203
0.0,4,4,0,1007002,0,0,1,0,0,1.516,100700204
1.013,1,5,0,1007002,0,314,0,1,168,0.0,100700205
0.0,4,6,0,1007002,0,0,1,0,0,0.973,100700206
0.755,1,7,0,1007002,0,158,0,2,0,0.0,100700207
0.0,4,8,0,1007002,0,0,1,0,0,2.018,100700208
0.0,2,9,vo_svd_0202,1007002,vo_svd,0,0,0,0,0.0,100700209
0.541,1,10,0,1007002,0,132,0,3,0,0.0,100700210
0.0,4,11,0,1007002,0,0,1,0,0,0.517,100700211
0.992,1,12,0,1007002,0,299,0,3,132,0.0,100700212
0.0,4,13,0,1007002,0,0,1,0,0,0.792,100700213
0.751,1,14,0,1007002,0,132,0,4,0,0.0,100700214
0.0,4,15,0,1007002,0,0,1,0,0,1.887,100700215
0.0,2,16,vo_svd_0203,1007002,vo_svd,0,0,0,0,0.0,100700216
1.482,1,17,0,1007002,0,441,0,4,132,0.0,100700217
0.0,4,18,0,1007002,0,0,1,0,0,0.858,100700218
1.255,1,19,0,1007002,0,255,0,5,0,0.0,100700219
0.0,4,20,0,1007002,0,0,1,0,0,2.752,100700220
0.0,2,21,vo_svd_0204,1007002,vo_svd,0,0,0,0,0.0,100700221
1.827,1,22,0,1007002,0,336,0,6,0,0.0,100700222
0.0,4,23,0,1007002,0,0,1,0,0,1.654,100700223
1.773,1,24,0,1007002,0,364,0,7,0,0.0,100700224
0.0,4,25,0,1007002,0,0,1,0,0,2.5,100700225
0.0,4,1,0,1007003,0,0,1,0,0,0.8,100700301
0.0,2,2,vo_svd_0301,1007003,vo_svd,0,0,0,0,0.0,100700302
1.205,1,3,0,1007003,0,168,0,1,0,0.0,100700303
0.0,4,4,0,1007003,0,0,1,0,0,1.739,100700304
1.278,1,5,0,1007003,0,355,0,1,168,0.0,100700305
0.0,4,6,0,1007003,0,0,1,0,0,0.687,100700306
0.735,1,7,0,1007003,0,111,0,2,0,0.0,100700307
0.0,4,8,0,1007003,0,0,1,0,0,2.357,100700308
0.0,2,9,vo_svd_0302,1007003,vo_svd,0,0,0,0,0.0,100700309
1.542,1,10,0,1007003,0,364,0,2,111,0.0,100700310
0.0,4,11,0,1007003,0,0,1,0,0,1.9,100700311
1.82,1,12,0,1007003,0,336,0,3,0,0.0,100700312
0.0,4,13,0,1007003,0,0,1,0,0,1.754,100700313
1.133,1,14,0,1007003,0,255,0,4,0,0.0,100700314
0.0,4,15,0,1007003,0,0,1,0,0,2.697,100700315
0.0,2,16,vo_svd_0303,1007003,vo_svd,0,0,0,0,0.0,100700316
1.827,1,17,0,1007003,0,336,0,5,0,0.0,100700317
0.0,4,18,0,1007003,0,0,1,0,0,2.182,100700318
1.186,1,19,0,1007003,0,275,0,6,0,0.0,100700319
0.0,4,20,0,1007003,0,0,1,0,0,2.842,100700320
0.0,2,21,vo_svd_0304,1007003,vo_svd,0,0,0,0,0.0,100700321
2.067,1,22,0,1007003,0,336,0,7,0,0.0,100700322
0.0,4,23,0,1007003,0,0,1,0,0,1.844,100700323
2.068,1,24,0,1007003,0,364,0,8,0,0.0,100700324
0.0,4,25,0,1007003,0,0,1,0,0,2.5,100700325
0.0,4,1,0,1007004,0,0,1,0,0,0.8,100700401
0.0,2,2,vo_svd_0401,1007004,vo_svd,0,0,0,0,0.0,100700402
1.105,1,3,0,1007004,0,216,0,1,0,0.0,100700403
0.0,4,4,0,1007004,0,0,1,0,0,1.504,100700404
0.62,1,5,0,1007004,0,313,0,1,216,0.0,100700405
0.0,4,6,0,1007004,0,0,1,0,0,0.554,100700406
0.728,1,7,0,1007004,0,146,0,2,0,0.0,100700407
0.0,4,8,0,1007004,0,0,1,0,0,2.154,100700408
0.0,2,9,vo_svd_0402,1007004,vo_svd,0,0,0,0,0.0,100700409
1.051,1,10,0,1007004,0,334,0,2,146,0.0,100700410
0.0,4,11,0,1007004,0,0,1,0,0,0.915,100700411
0.927,1,12,0,1007004,0,178,0,3,0,0.0,100700412
0.0,4,13,0,1007004,0,0,1,0,0,1.701,100700413
0.905,1,14,0,1007004,0,311,0,3,178,0.0,100700414
0.0,4,15,0,1007004,0,0,1,0,0,0.816,100700415
1.249,1,16,0,1007004,0,329,0,4,0,0.0,100700416
0.0,4,17,0,1007004,0,0,1,0,0,1.252,100700417
0.987,1,18,0,1007004,0,268,0,5,0,0.0,100700418
