reward_count,reward_type,sub_story_id,title,original_event_id,condition_panel_id,reward_id
40,8,5148061,"디저트 빨리 먹기 클럽",10148,1,91002
0,0,5148062,"펭포코린의 정체…?",10148,1,0
40,8,5148064,"조용한 밤바다에서 연애 이야기?",10148,2,91002
0,0,5148065,"맥주 납치 사건",10148,2,0
40,8,5148067,"반짝반짝 보드로",10148,3,91002
0,0,5148068,"M이 뭔가요?",10148,3,0
40,8,5148070,"수박 다음은 우유?",10148,4,91002
0,0,5148071,"기사 큔 테라피",10148,4,0
40,8,5148073,"탁탁 그리고 후~ 후~",10148,5,91002
0,0,5148074,"화둔술로 밥 짓기!",10148,5,0
40,8,5148076,"귀를 기울이면",10148,6,91002
0,0,5148077,"불제하는 게 좋지 않아~?",10148,6,0
40,8,5148079,"폭발적 탄생, 핫 히프 드롭",10148,7,91002
0,0,5148080,"슈퍼 슬라임 전사",10148,7,0
0,0,5148601,"흩어진 사진과 증언",10148,0,0
0,0,5148602,"사진 앨범 복원 완료!",10148,7,0
0,0,5148603,"기념 단체 사진★",10148,100,0
