14a17b3d60bf2083b08b5b1f942e08d536e3c6478da9fe95acbffe3b96400595,wave,id,disp_reward_id_3,enemy_id_4,enemy_id_5,disp_reward_type_3,e6e5affce04f7ca770b08d7bf8e85105e0400836797f23c12a25402434cef84f,f4709d1a127df293ec735eb6ecac92df9fdf0df62c65ace00d32d66c9507855b,reward_odds_3,bda5f5a0ca5a3245ddb0f67b5904313598b515ccca92886fc8b5915675d2c803,5ac7b94e8b0457d98e3a42460c8fe01b768765ba1762c4781fe0eaeefe8e5ea7,disp_reward_id_2,reward_group_id_3,cdb7a435bc1c1b72aee77223d838c5f871e5ed2b2d33cde610ce191a6b2b0be5,disp_reward_id_4,reward_lot_count_3,enemy_id_1,enemy_id_3,wave_group_id,disp_reward_type_2,difficulty,reward_group_id_1,fdd8b699fb4f0282ace44d0cc1bb40c15d2b3be8c3e5febd05a568c969a14ad7,disp_reward_type_4,enemy_id_2,reward_odds_2,drop_gold_1,reward_odds_1,disp_reward_type_5,7f97d6d8ded12e5274ee3e8583e19ce8d447162777c6c8207e61ffc5d3a5a565,reward_group_id_4,disp_reward_id_5,ba6b9653e5e5a50ef4e37f6f616240a64ac78decbea4a83353fb41f6a50b532a,reward_lot_count_4,5f5537f3a1a2fa8527dc1631352218576b681ec9054ad257004a63b5c71c25dc,reward_odds_4,9c846e0bcb6789524544e711bf6eb4c143aab9c82e2354447ee47eca30fd0dcb,disp_reward_id_1,reward_group_id_2,disp_reward_type_1
0,1,600000003,0,0,0,0,3001,0,36,1,1,0,61001007,0,0,1,620060001,620130001,600110031,0,1,61001005,0,0,620090001,18,258,30,0,0,0,0,0,0,0,0,3001,0,61001004,0
0,1,600000004,0,0,0,0,4001,0,36,1,1,0,61001007,0,0,1,620060001,620130001,600110041,0,1,61001005,0,0,620090001,18,258,30,0,0,0,0,0,0,0,0,4001,0,61001004,0
0,1,600000005,0,0,0,0,5001,0,36,1,1,0,61001007,0,0,1,620060002,620130002,600110051,0,1,61001005,0,0,620090002,18,268,30,0,0,0,0,0,0,0,0,5001,0,61001004,0
0,1,600000006,0,0,0,0,6001,0,36,1,1,0,61001007,0,0,1,620060003,620130003,600110061,0,1,61001005,0,0,620090003,18,273,30,0,0,0,0,0,0,0,0,6001,0,61001004,0
0,1,600000007,0,0,0,0,7001,0,36,1,1,0,61001007,0,0,1,620060004,620130004,600110071,0,1,61001005,0,0,620090004,18,281,30,0,0,0,0,0,0,0,0,7001,0,61001004,0
0,1,600000008,0,0,0,0,8001,0,36,1,1,0,61001007,0,0,1,620060005,620130005,600110081,0,1,61001005,0,0,620090005,18,288,30,0,0,0,0,0,0,0,0,8001,0,61001004,0
0,1,600000009,0,0,0,0,9001,0,36,1,1,0,61001007,0,0,1,620060006,620130006,600110091,0,1,61001005,0,0,620090006,18,298,30,0,0,0,0,0,0,0,0,9001,0,61001004,0
0,1,600000010,0,0,0,0,10001,0,36,1,1,0,61001007,0,0,1,620060007,620130007,600110101,0,1,61001005,0,0,620090007,18,309,30,0,0,0,0,0,0,0,0,10001,0,61001004,0
0,1,600000011,0,0,0,0,11001,0,36,1,1,0,61001007,0,0,1,620060008,620130008,600110111,0,1,61001005,0,0,620090008,18,313,30,0,0,0,0,0,0,0,0,11001,0,61001004,0
0,1,600000012,0,0,0,0,12001,0,36,1,1,0,61001007,0,0,1,620060009,620130009,600110121,0,1,61001005,0,0,620090009,18,321,30,0,0,0,0,0,0,0,0,12001,0,61001004,0
0,1,600000013,0,0,0,0,13001,0,36,1,1,0,61001007,0,0,1,620060010,620130010,600110131,0,1,61001005,0,0,620090010,18,326,30,0,0,0,0,0,0,0,0,13001,0,61001004,0
0,1,600000014,0,0,0,0,14001,0,36,1,1,0,61001007,0,0,1,620060011,620130011,600110141,0,1,61001005,0,0,620090011,18,336,30,0,0,0,0,0,0,0,0,14001,0,61001004,0
0,1,600000015,0,0,0,0,15001,0,36,1,1,0,61001007,0,0,1,620060012,620130012,600110151,0,1,61001005,0,0,620090012,18,341,30,0,0,0,0,0,0,0,0,15001,0,61001004,0
0,1,600000016,0,0,0,0,16001,0,36,1,1,0,61001007,0,0,1,620060013,620130013,600110161,0,1,61001005,0,0,620090013,18,351,30,0,0,0,0,0,0,0,0,16001,0,61001004,0
0,1,600000017,0,0,0,0,17001,0,36,1,1,0,61001007,0,0,1,620060014,620130014,600110171,0,1,61001005,0,0,620090014,18,356,30,0,0,0,0,0,0,0,0,17001,0,61001004,0
0,1,600000018,0,0,0,0,18001,0,36,1,1,0,61001007,0,0,1,620060015,620130015,600110181,0,1,61001005,0,0,620090015,18,366,30,0,0,0,0,0,0,0,0,18001,0,61001004,0
0,1,600000019,0,0,0,0,19001,0,36,1,1,0,61001007,0,0,1,620060016,620130016,600110191,0,1,61001005,0,0,620090016,18,371,30,0,0,0,0,0,0,0,0,19001,0,61001004,0
0,1,600000020,0,0,0,0,20001,0,36,1,1,0,61001007,0,0,1,620060017,620130017,600110201,0,1,61001005,0,0,620090017,18,375,30,0,0,0,0,0,0,0,0,20001,0,61001004,0
0,1,600000021,0,0,0,0,21001,0,36,1,1,0,61001007,0,0,1,620060018,620130018,600110211,0,1,61001005,0,0,620090018,18,381,30,0,0,0,0,0,0,0,0,21001,0,61001004,0
0,1,600000022,0,0,0,0,22001,0,36,1,1,0,61001007,0,0,1,620060019,620130019,600110221,0,1,61001005,0,0,620090019,18,386,30,0,0,0,0,0,0,0,0,22001,0,61001004,0
0,1,600000023,0,0,0,0,23001,0,36,1,1,0,61001007,0,0,1,620060020,620130020,600110231,0,1,61001005,0,0,620090020,18,390,30,0,0,0,0,0,0,0,0,23001,0,61001004,0
0,1,600000024,0,0,0,0,24001,0,36,1,1,0,61001007,0,0,1,620060021,620130021,600110241,0,1,61001005,0,0,620090021,18,396,30,0,0,0,0,0,0,0,0,24001,0,61001004,0
0,1,600000025,0,0,0,0,25001,0,36,1,1,0,61001007,0,0,1,620060022,620130022,600110251,0,1,61001005,0,0,620090022,18,401,30,0,0,0,0,0,0,0,0,25001,0,61001004,0
0,1,600000026,0,0,0,0,26001,0,36,1,1,0,61001007,0,0,1,620060023,620130023,600110261,0,1,61001005,0,0,620090023,18,405,30,0,0,0,0,0,0,0,0,26001,0,61001004,0
0,1,600000027,0,0,0,0,27001,0,36,1,1,0,61001007,0,0,1,620060024,620130024,600110271,0,1,61001005,0,0,620090024,18,411,30,0,0,0,0,0,0,0,0,27001,0,61001004,0
0,1,600000028,0,0,0,0,28001,0,36,1,1,0,61001007,0,0,1,620060025,620130025,600110281,0,1,61001005,0,0,620090025,18,417,30,0,0,0,0,0,0,0,0,28001,0,61001004,0
0,1,600000029,0,0,0,0,29001,0,36,1,1,0,61001007,0,0,1,620060026,620130026,600110291,0,1,61001005,0,0,620090026,18,422,30,0,0,0,0,0,0,0,0,29001,0,61001004,0
0,1,600000030,0,0,0,0,30001,0,36,1,1,0,61001007,0,0,1,620060027,620130027,600110301,0,1,61001005,0,0,620090027,18,427,30,0,0,0,0,0,0,0,0,30001,0,61001004,0
0,1,600000031,0,0,0,0,31001,0,36,1,1,0,61001007,0,0,1,620060028,620130028,600110311,0,1,61001005,0,0,620090028,18,433,30,0,0,0,0,0,0,0,0,31001,0,61001004,0
0,1,600000032,0,0,0,0,32001,0,36,1,1,0,61001007,0,0,1,620060029,620130029,600110321,0,1,61001005,0,0,620090029,18,442,30,0,0,0,0,0,0,0,0,32001,0,61001004,0
0,1,600000033,0,0,0,0,33001,0,36,1,1,0,61001007,0,0,1,620060030,620130030,600110331,0,1,61001005,0,0,620090030,18,455,30,0,0,0,0,0,0,0,0,33001,0,61001004,0
0,1,600000034,0,0,0,0,34001,0,36,1,1,0,61001007,0,0,1,620060031,620130031,600110341,0,1,61001005,0,0,620090031,18,460,30,0,0,0,0,0,0,0,0,34001,0,61001004,0
0,1,600000035,0,0,0,0,35001,0,36,1,1,0,61001007,0,0,1,620060032,620130032,600110351,0,1,61001005,0,0,620090032,18,464,30,0,0,0,0,0,0,0,0,35001,0,61001004,0
0,1,600000036,0,0,0,0,36001,0,36,1,1,0,61001007,0,0,1,620060033,620130033,600110361,0,1,61001005,0,0,620090033,18,476,30,0,0,0,0,0,0,0,0,36001,0,61001004,0
0,1,600000037,0,0,0,0,37001,0,36,1,1,0,61001007,0,0,1,620060034,620130034,600110371,0,1,61001005,0,0,620090034,18,482,30,0,0,0,0,0,0,0,0,37001,0,61001004,0
0,1,600000038,0,0,0,0,38001,0,36,1,1,0,61001007,0,0,1,620060035,620130035,600110381,0,1,61001005,0,0,620090035,18,492,30,0,0,0,0,0,0,0,0,38001,0,61001004,0
0,1,600000039,0,0,0,0,39001,0,36,1,1,0,61001007,0,0,1,620060036,620130036,600110391,0,1,61001005,0,0,620090036,18,500,30,0,0,0,0,0,0,0,0,39001,0,61001004,0
0,1,600000040,0,0,0,0,40001,0,36,1,1,0,61001007,0,0,1,620060037,620130037,600110401,0,1,61001005,0,0,620090037,18,514,30,0,0,0,0,0,0,0,0,40001,0,61001004,0
