type,quest_id,param_2,param_3,id,text_1,param_1
1,10008101,0,0,1,"",10008111
1,10008112,0,0,2,"",10008115
3,10008101,0,0,3,"",10008103
3,10008105,0,0,4,"",10008115
4,10008112,0,0,5,"",150
1,10028101,0,0,6,"",10028111
1,10028112,0,0,7,"",10028115
3,10028101,0,0,8,"",10028103
3,10028105,0,0,9,"",10028115
4,10028112,0,0,10,"",150
11,20012104,20012107,0,11,"",20012104
11,20012108,20012109,0,12,"",20012108
11,20012110,20012114,0,13,"",20012110
11,20012115,20012115,0,14,"",20012115
4,20012110,0,0,15,"",120
1,20008101,0,0,16,"",20008111
1,20008112,0,0,17,"",20008115
3,20008101,0,0,18,"",20008103
3,20008105,0,0,19,"",20008115
4,20008112,0,0,20,"",150
