category,outline,category_name,category_base,recycle_item_id
101,#D23232,"한 손 검",red,90009
102,#D23232,"양손 검",red,90009
103,#D23232,"단검",red,90009
104,#D23232,"창",red,90009
105,#D23232,"도끼",red,90009
106,#D23232,"활",red,90009
107,#D23232,"너클",red,90009
108,#D23232,"방패",red,90009
109,#D23232,"지팡이",red,90009
110,#D23232,"책",red,90009
201,#476FD8,"옷",blue,90010
202,#476FD8,"갑옷",blue,90010
203,#476FD8,"백 로브",blue,90010
204,#476FD8,"흑 로브",blue,90010
301,#E5681E,"반지",yellow,90011
302,#E5681E,"팔찌",yellow,90011
303,#E5681E,"네크리스",yellow,90011
304,#E5681E,"보옥",yellow,90011
305,#E5681E,"이어링",yellow,90011
