param_03,param_06,command_id,command_type,drama_id,param_08,param_04,param_07,param_02,param_05,param_01
100,1.3,1010001,1,1,01_uek_cmn_idol_def_N,-496,0,105831,-157,1
110,1.3,1010002,1,1,01_uek_cmn_idol_def_N,-355,0,105931,-178,1
100,1.3,1010003,1,1,01_uek_cmn_idol_def_N,410,1,112631,-124,1
110,1.3,1010004,1,1,01_uek_cmn_idol_def_N,389,1,112531,-258,1
120,1.3,1010005,1,1,01_uek_cmn_idol_def_N,-415,0,106031,-234,1
120,1.3,1010006,1,1,01_uek_cmn_idol_def_N,262,1,112431,-235,1
0,0,1010007,3,1,"",01_uek_cmn_pose03,0.2,01_uek_01_peko,1,105831
0,0,1010008,3,1,"",01_uek_talk_normal,0.2,01_uek_01_kokkoro,1,105931
0,0,1010009,3,1,"",01_uek_cmn_pose02,0.2,01_uek_01_kyaru,1,106031
0,0,1010010,3,1,"",01_uek_cmn_pose03,0.2,01_uek_01_mio,1,112631
0,0,1010011,3,1,"",01_uek_cmn_pose02,0.2,01_uek_01_rin,1,112531
0,0,1010012,3,1,"",01_uek_cmn_pose01,0.2,01_uek_01_uduki,1,112431
"","",1010013,93,1,"","","","","",3
1,0.2,1010014,3,1,"","","",01_uek_cmn_pose03,0,112631
1,0.2,1010015,3,1,"","","",01_uek_cmn_pose01,0,112431
1,0.2,1010016,3,1,"","","",01_uek_cmn_pose03,0,105831
0,0.2,1010017,3,1,"",01_uek_cmn_idol_def_N,0.1,01_uek_talk_normal,1,105931
0,0.2,1010018,3,1,"",01_uek_cmn_idol_def_N,0.1,01_uek_cmn_pose02,1,106031
0,0.2,1010019,3,1,"",01_uek_cmn_idol_def_N,0.1,01_uek_cmn_pose02,1,112531
10,"",1010020,11,1,"","","","우와아~…!\n너무 커다래져서\n장난 아니네요☆","",105831
"","",1010021,91,1,"","","","","",0
10,"",1010022,11,1,"","","","우에키가\n어디까지 계속되는지\n알 수 없을 정도입니다","",105931
"","",1010023,91,1,"","","","","",0
10,"",1010024,11,1,"","","","이런 건 말이야\n위쪽이 어떻게 돼 있는지\n보고 싶어지지!","",112631
"","",1010025,91,1,"","","","","",0
10,"",1010026,11,1,"","","","확실히 그렇네… 게다가\n이렇게 된 이유도\n알 수 있을지도","",112531
"","",1010027,91,1,"","","","","",0
10,"",1010028,11,1,"","","","뭐, 흥미는 있으니까\n어울려줄게","",106031
"","",1010029,91,1,"","","","","",0
10,"",1010030,11,1,"","","","네♪ 다 같이\n정상을 목표로\n힘내요!","",112431
"","",1010031,91,1,"","","","","",0
100,1.3,1020001,1,2,02_uek_cmn_idol_def_N,0,0,104431,0,1
0,"",1020002,3,2,"",02_uek_02_ilya_loop,"",02_uek_02_ilya,0,104431
10,"",1020003,11,2,"",0,"","하~하하하!\n세계 정복을 향한\n첫걸음을 시작한다!","",104431
"","",1020004,91,2,"","","","",0,0
100,1.3,1030001,1,3,01_uek_cmn_idol_def_N,-140,0,105831,-10,1
100,1.3,1030002,1,3,01_uek_cmn_idol_def_N,120,1,105931,10,1
100,1.3,1030003,1,3,01_uek_cmn_idol_def_N,0,1,106031,0,1
0,"",1030004,3,3,"",01_uek_03_peko_loop,"",01_uek_03_peko,0,105831
0,"",1030005,3,3,"",01_uek_03_kyaru_loop,"",01_uek_03_kyaru,0,106031
10,"",1030006,11,3,"",0,"","캬루!\n보세요\n멋진 경치예요☆","",105831
"","",1030007,91,3,"","","","","",0
10,"",1030008,11,3,"",0,"","잠깐, 너!\n잡아당기지 마!\n떨어지잖아!","",106031
"","",1030009,91,3,"","","","","",0
0,"",1030010,3,3,"",01_uek_cmn_idol_def_N,"",01_uek_03_kokkoro,1,105931
10,"",1030011,11,3,"",0,"","후후, 이 앞에도\n분명 멋진 경치가\n기다릴 겁니다","",105931
100,1.3,1040001,1,4,02_uek_cmn_idol_def_N,-120,0,101131,-30,1
100,1.3,1040002,1,4,02_uek_cmn_idol_def_N,20,1,104931,-5,1
1,"",1040003,3,4,"","","",02_uek_talk_joy2,"",101131
10,"",1040004,11,4,"",0,"","마스터 센리도\n한 발부터예요!\n힘낼게요!","",101131
"","",1040005,91,4,"","","","","",0
1,0.2,1040006,3,4,"","","",02_uek_cmn_idol_def_N,"",101131
1,0.2,1040007,3,4,"","","",02_uek_04_shizuru,"",104931
