reward_count_1,end_time,reward_id_1,reward_type_1,start_time,exchange_number,icon_id,ticket_id
1,"2030/08/01 14:59:59",4101501,18,"2025/11/18 14:00:00",1,28501,28501
1,"2030/08/01 14:59:59",4102501,18,"2025/11/18 14:00:00",2,28501,28501
1,"2030/08/01 14:59:59",4103501,18,"2025/11/18 14:00:00",3,28501,28501
1,"2030/08/01 14:59:59",4104501,18,"2025/11/18 14:00:00",4,28501,28501
1,"2030/08/01 14:59:59",4105501,18,"2025/11/18 14:00:00",5,28501,28501
1,"2030/08/01 14:59:59",4106501,18,"2025/11/18 14:00:00",6,28501,28501
1,"2030/08/01 14:59:59",4107501,18,"2025/11/18 14:00:00",7,28501,28501
1,"2030/08/01 14:59:59",4108501,18,"2025/11/18 14:00:00",8,28501,28501
1,"2030/08/01 14:59:59",4109501,18,"2025/11/18 14:00:00",9,28501,28501
1,"2030/08/01 14:59:59",4110501,18,"2025/11/18 14:00:00",10,28501,28501
