still_group_id,unit_id_10,my_page_flag,unit_id_4,unit_id_8,unit_id_3,unit_id_7,unit_id_5,story_id,facial_id,story_group_id,unit_id_2,position_y,scroll_direction,album_ignore,unit_id_6,unit_id_9,vertical_still_flg,still_id,unit_id_1
0,0,1,0,0,0,0,0,1001002,1,1001,0,0,0,0,0,0,0,100100201,100111
0,0,0,0,0,0,0,0,1001008,1,1001,0,-840,0,0,0,0,1,100100801,0
1001011,0,1,0,0,0,0,0,1001011,1,1001,0,0,0,0,0,0,0,100101101,100131
1001011,0,1,0,0,0,0,0,1001011,1,1001,0,0,0,0,0,0,0,100101102,100131
0,0,1,0,0,0,0,0,1002001,1,1002,0,0,0,0,0,0,0,100200101,100211
0,0,0,0,0,0,0,0,1002008,1,1002,0,-920,0,0,0,0,1,100200801,0
0,0,0,0,0,0,0,0,1002011,1,1002,0,-920,0,0,0,0,1,100201101,0
0,0,1,0,0,0,0,0,1002011,1,1002,0,0,0,0,0,0,0,100201102,100231
0,0,1,0,0,0,0,0,1003003,1,1003,0,0,0,0,0,0,0,100300301,100311
0,0,0,0,0,0,0,0,1003008,1,1003,0,-820,0,0,0,0,1,100300801,0
1003011,0,1,0,0,0,0,0,1003011,1,1003,0,0,0,0,0,0,0,100301101,100332
1003011,0,1,0,0,0,0,0,1003011,1,1003,0,0,0,0,0,0,0,100301102,100332
0,0,1,0,0,0,0,0,1004007,1,1004,0,0,0,0,0,0,0,100400701,100411
0,0,0,0,0,0,0,0,1004008,1,1004,0,-900,1,0,0,0,1,100400801,0
0,0,1,0,0,0,0,0,1004011,1,1004,0,0,0,0,0,0,0,100401101,100431
1005006,0,1,0,0,0,0,0,1005006,1,1005,0,0,0,0,0,0,0,100500601,100511
1005006,0,1,0,0,0,0,0,1005006,1,1005,0,0,0,0,0,0,0,100500602,100511
1005006,0,1,0,0,0,0,0,1005006,1,1005,0,0,0,0,0,0,0,100500603,100511
0,0,0,0,0,0,0,0,1005008,1,1005,0,-840,1,0,0,0,1,100500801,0
1005011,0,1,0,0,0,0,0,1005011,1,1005,0,0,0,0,0,0,0,100501101,100531
1005011,0,1,0,0,0,0,0,1005011,1,1005,0,0,0,0,0,0,0,100501102,100531
0,0,1,0,0,0,0,0,1006003,1,1006,0,0,0,0,0,0,0,100600301,100611
0,0,0,0,0,0,0,0,1006008,1,1006,0,-840,1,0,0,0,1,100600801,0
0,0,1,0,0,0,0,0,1006011,1,1006,0,0,0,0,0,0,0,100601101,100631
0,0,1,0,0,0,0,0,1007001,1,1007,0,0,0,0,0,0,0,100700101,100711
0,0,0,0,0,0,0,0,1007008,1,1007,0,-800,1,0,0,0,1,100700801,0
1007011,0,1,0,0,0,0,0,1007011,1,1007,0,0,0,0,0,0,0,100701101,100731
1007011,0,1,0,0,0,0,0,1007011,1,1007,0,0,0,0,0,0,0,100701102,100731
1008001,0,1,0,0,0,0,0,1008001,1,1008,0,0,0,0,0,0,0,100800101,100811
