start_time,story_top_movie,profile_logo,title_movie,end_time,quest_top_movie,title_voice,watched_story_id,id,title_prefab
"2019/01/01 15:00:00",0,0,0,"2020/03/18 14:59:59",0,0,0,10001,0
"2020/03/18 15:00:00",1,0,1001,"2020/04/01 14:59:59",1,1001,0,10002,1001
"2020/04/01 15:00:00",1,0,1001,"2021/03/16 14:59:59",1,0,0,10003,0
"2021/03/16 15:00:00",1,1002,1001,"2021/03/30 14:59:59",1,1002,0,10004,1002
"2021/03/16 15:00:00",2,1002,1002,"2021/03/30 14:59:59",2,1002,2015009,10005,1002
"2021/03/30 15:00:00",1,0,1001,"2021/09/16 14:59:59",1,0,0,10006,0
"2021/03/30 15:00:00",2,0,1002,"2021/09/16 14:59:59",2,0,2015009,10007,0
"2021/09/16 15:00:00",1,1003,1001,"2021/10/05 14:59:59",1,0,0,10008,0
"2021/09/16 15:00:00",2,1003,1002,"2021/10/05 14:59:59",2,0,2015009,10009,0
"2021/10/05 15:00:00",1,0,1001,"2022/03/15 14:59:59",1,0,0,10010,0
"2021/10/05 15:00:00",2,0,1002,"2022/03/15 14:59:59",2,0,2015009,10011,0
"2022/03/15 15:00:00",1,1004,1001,"2022/03/29 4:59:59",1,1003,0,10012,1003
"2022/03/15 15:00:00",2,1004,1002,"2022/03/29 4:59:59",2,1003,2015009,10013,1003
"2022/03/29 5:00:00",1,0,1001,"2022/09/13 14:59:59",1,0,0,10014,0
"2022/03/29 5:00:00",2,0,1002,"2022/09/13 14:59:59",2,0,2015009,10015,0
"2022/09/13 15:00:00",1,1005,1001,"2022/09/30 4:59:59",1,0,0,10016,0
"2022/09/13 15:00:00",2,1005,1002,"2022/09/30 4:59:59",2,0,2015009,10017,0
"2022/09/30 15:00:00",1,0,1001,"2030/02/15 14:59:59",1,0,0,10018,0
"2022/09/30 15:00:00",2,0,1002,"2030/02/15 14:59:59",2,0,2015009,10019,0
"2023/03/16 15:00:00",1,1006,1001,"2023/03/29 14:59:59",1,1004,0,10020,1004
"2023/03/16 15:00:00",2,1006,1002,"2023/03/29 14:59:59",2,1004,2015009,10021,1004
"2023/03/29 15:00:00",1,0,1001,"2023/09/14 14:59:59",1,0,0,10022,0
"2023/03/29 15:00:00",2,0,1002,"2023/09/14 14:59:59",2,0,2015009,10023,0
"2023/09/14 15:00:00",1,1007,1001,"2023/09/30 14:59:59",1,0,0,10024,0
"2023/09/14 15:00:00",2,1007,1002,"2023/09/30 14:59:59",2,0,2015009,10025,0
"2023/09/30 15:00:00",1,0,1001,"2024/03/14 14:59:59",1,0,0,10026,0
"2023/09/30 15:00:00",2,0,1002,"2024/03/14 14:59:59",2,0,2015009,10027,0
"2024/03/14 15:00:00",1,1008,1001,"2024/03/28 14:59:59",1,1005,0,10028,1005
"2024/03/14 15:00:00",2,1008,1002,"2024/03/28 14:59:59",2,1005,2015009,10029,1005
"2024/03/28 15:00:00",1,0,1001,"2024/09/11 14:59:59",1,0,0,10030,0
