end_date,description,stamp_id,disp_order,start_date
"2099/08/01 14:59:59","힘내라~!",100101,28,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","고마워요",100201,29,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","참전",100301,30,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","좋은 아침~!",100401,31,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","쑥스럽슴다",100501,58,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","굉장해♪",100601,59,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","푸딩~ 푸딩~",100701,60,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","불렀어?",100801,61,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","지금이다!",100901,32,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","곤란하네요",101001,33,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","라져!",101101,34,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","갑니다~!",101201,35,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","아싸 도착!",101301,62,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","열쇠는 모두 모였네",101401,63,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","착하다, 착해♪",101501,64,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","오케이~",101601,36,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","어떻게든 될거야~",101701,37,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","가르쳐줄ㆍ게",101801,65,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","안녕히 주무세요.",102001,38,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","으앗! 으앗!",102101,39,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","부들부들",102201,40,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","뿡뿡",102301,41,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","수고하셨스…하왓!?",102501,42,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","지쳤어｜",102601,66,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","우후후…",102701,43,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","한번에 가자구!",102801,44,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","나한테 맡겨줘!",102901,45,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","천하통일입니다!",103001,67,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","안녕!",103101,46,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","실례하겠어요",103201,68,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","농담이야!",103301,69,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","건배",103401,47,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","신고했습니다!",103601,48,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","매일 단련",103701,70,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","휴식… 하지 않을래요",103801,71,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","후퇴하겠습니다…",104001,49,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","가호를…",104201,72,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","불타오르기 시작했어!",104301,73,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","이몸을 따르라!",104401,50,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","쥬르륵…",104501,51,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","냥",104601,52,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","이 손으로 지킨다!",104701,74,"2021/09/10 15:00:00"
"2099/08/01 14:59:59",NO!,104801,53,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","미안해",104901,54,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","도와줘!",105001,55,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","실험 실험…♪",105101,75,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","퉤퉤!",105201,76,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","잠깐 기다려~!",105301,56,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","어쩔 수 없네요",105401,77,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","수고했어요!",105501,57,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","사양은 됐어",105601,78,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","안뇽~",105801,25,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","굿잡입니다",105901,26,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","두고 보자구!",106001,27,"2015/04/01 14:00:00"
"2099/08/01 14:59:59","하~하하하!",106101,79,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","잘 부탁해",106401,80,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","싸움 시간이다!",106501,81,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","이렇게 되면 자포자기예요!",106601,82,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","정답~♪",106701,83,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","환영하자!",106801,84,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","흉내 낼게요",107001,85,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","즐기자꾸나",107101,86,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","기죽는다~",110801,87,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","좋아",110901,88,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","흥미로워",111001,89,"2021/09/10 15:00:00"
"2099/08/01 14:59:59","오케이야!",111101,1,"2023/08/01 15:00:00"
"2099/08/01 14:59:59","안녀~엉!",111201,2,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","감사하옵니다♪",111301,3,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","정~말 좋아!",111401,4,"2023/08/30 15:00:00"
"2099/08/01 14:59:59","마음이 들뜨네",111501,5,"2023/08/01 15:00:00"
"2099/08/01 14:59:59","당신도 함께★",111601,6,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","나쁘지 않네",111701,7,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","새근새근…",111801,8,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","화이팅! 화이팅!",111901,9,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","텐션이 올라가~♪",112001,10,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","꺄-!",112101,11,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","싫다냥~!",112201,12,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","뭐어!?",112301,13,"2023/08/01 15:00:00"
"2099/08/01 14:59:59","두근두근거려",112401,14,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","뭐 뭔데!",112501,15,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","간단한 얘기지",112601,16,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","행복합니다♪",112701,17,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","나의 동지여!",112801,18,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","순조롭구려~♪",112901,19,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","대견하네♪",113001,20,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","지지 않아요/않아",113101,21,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","최고 효율",113201,22,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","비밀이야",113301,23,"2022/08/15 15:00:00"
"2099/08/01 14:59:59","온 스테이지!",113401,24,"2022/08/15 15:00:00"
