fbe5e86161aec370aabe22702d9412de0f60b2b201822c6e78231a1b0335439f,drama_id,fpc_voice_type,bd926063f2882a550ff0d9cbfb5efe01dfbb2b5b1ce72157419133815b1ddf5c,unit_id_1,sub_story_id,period,title,original_event_id,2ac30f761b50ac004b57929174ba75a197a84f860ddf468c5d9b88ce6adeff72,1ba99207f5c995c81b59ce9b00957bdab3386000c0bbc568ba4dc0b2638253b4,bd8c05011adc003bf568462310cb9462b0e082eeefb76432f15b7f745e1032ba
10,103,0,0,107511,10140101,2,"튜브 수영(노랑)",10140,1,0,0
15,102,0,0,107611,10140102,2,"튜브 수영(파랑)",10140,1,0,0
10,103,0,0,107711,10140103,1,"튜브 수영(노랑)",10140,1,0,0
10,102,0,0,108011,10140106,2,"튜브 수영(파랑)",10140,1,0,0
10,101,0,0,110011,10140107,2,"튜브 수영(핑크)",10140,1,0,0
10,101,0,0,110111,10140108,1,"튜브 수영(핑크)",10140,1,0,0
3,103,0,0,110311,10140109,1,"튜브 수영(노랑)",10140,1,0,0
10,102,0,0,110411,10140110,2,"튜브 수영(파랑)",10140,1,0,0
10,102,0,0,110511,10140111,2,"튜브 수영(파랑)",10140,1,0,0
50,101,0,0,110611,10140112,2,"튜브 수영(핑크)",10140,1,0,0
5,102,0,0,113111,10140113,1,"튜브 수영(파랑)",10140,1,0,0
5,102,0,0,113211,10140114,1,"튜브 수영(파랑)",10140,1,0,0
5,102,0,0,113311,10140115,1,"튜브 수영(파랑)",10140,1,0,0
10,102,0,0,113411,10140116,2,"튜브 수영(파랑)",10140,1,0,0
10,102,0,0,113511,10140117,2,"튜브 수영(파랑)",10140,1,0,0
10,102,0,0,113611,10140118,2,"튜브 수영(파랑)",10140,1,0,0
5,102,0,0,115711,10140119,1,"튜브 수영(파랑)",10140,1,0,0
10,101,0,0,117011,10140120,2,"튜브 수영(핑크)",10140,1,0,0
10,102,0,0,117111,10140121,2,"튜브 수영(파랑)",10140,1,0,0
10,102,0,0,117211,10140122,2,"튜브 수영(파랑)",10140,1,0,0
10,102,0,0,117311,10140123,2,"튜브 수영(파랑)",10140,1,0,0
10,101,0,0,117411,10140124,2,"튜브 수영(핑크)",10140,1,0,0
10,103,0,0,122411,10140125,2,"튜브 수영(노랑)",10140,1,0,0
5,102,0,0,122511,10140126,1,"튜브 수영(파랑)",10140,1,0,0
10,101,0,0,122611,10140127,2,"튜브 수영(핑크)",10140,1,0,0
10,102,0,0,122711,10140128,1,"튜브 수영(파랑)",10140,1,0,0
10,103,0,0,122811,10140129,1,"튜브 수영(노랑)",10140,1,0,0
10,101,0,0,122911,10140130,1,"튜브 수영(핑크)",10140,1,0,0
5,101,0,0,126711,10140132,1,"튜브 수영(핑크)",10140,1,0,0
10,103,0,0,126811,10140133,2,"튜브 수영(노랑)",10140,1,0,0
30,102,0,0,126911,10140134,2,"튜브 수영(파랑)",10140,1,0,0
5,101,0,0,127011,10140135,1,"튜브 수영(핑크)",10140,1,0,0
10,102,0,0,127111,10140136,2,"튜브 수영(파랑)",10140,1,0,0
10,103,0,0,129411,10140138,2,"튜브 수영(노랑)",10140,1,0,0
10,101,0,0,129511,10140139,2,"튜브 수영(핑크)",10140,1,0,0
10,151,0,0,107511,10140151,2,"발장구",10140,1,0,0
10,151,0,0,107611,10140152,2,"발장구",10140,1,0,0
10,151,0,0,107711,10140153,1,"발장구",10140,1,0,0
10,151,0,0,108011,10140156,2,"발장구",10140,1,0,0
10,151,0,0,110011,10140157,2,"발장구",10140,1,0,0
3,151,0,0,110311,10140159,1,"발장구",10140,1,0,0
10,151,0,0,110411,10140160,2,"발장구",10140,1,0,0
10,151,0,0,110511,10140161,2,"발장구",10140,1,0,0
5,151,0,0,113111,10140163,1,"발장구",10140,1,0,0
5,151,0,0,113211,10140164,1,"발장구",10140,1,0,0
5,151,0,0,113311,10140165,1,"발장구",10140,1,0,0
10,151,0,0,113411,10140166,2,"발장구",10140,1,0,0
10,151,0,0,113511,10140167,2,"발장구",10140,1,0,0
10,151,0,0,113611,10140168,2,"발장구",10140,1,0,0
5,151,0,0,115711,10140169,1,"발장구",10140,1,0,0
10,151,0,0,117011,10140170,2,"발장구",10140,1,0,0
10,151,0,0,117111,10140171,2,"발장구",10140,1,0,0
10,151,0,0,117211,10140172,2,"발장구",10140,1,0,0
10,151,0,0,117311,10140173,2,"발장구",10140,1,0,0
10,151,0,0,117411,10140174,2,"발장구",10140,1,0,0
10,151,0,0,122411,10140175,2,"발장구",10140,1,0,0
5,151,0,0,122511,10140176,1,"발장구",10140,1,0,0
10,151,0,0,122611,10140177,2,"발장구",10140,1,0,0
10,151,0,0,122811,10140179,1,"발장구",10140,1,0,0
10,151,0,0,122911,10140180,1,"발장구",10140,1,0,0
5,151,0,0,126711,10140182,1,"발장구",10140,1,0,0
10,151,0,0,126811,10140183,2,"발장구",10140,1,0,0
5,151,0,0,127011,10140185,1,"발장구",10140,1,0,0
10,151,0,0,129411,10140188,2,"발장구",10140,1,0,0
10,151,0,0,129511,10140189,2,"발장구",10140,1,0,0
10,201,0,0,107511,10140201,2,"평영",10140,1,0,0
10,201,0,0,107611,10140202,2,"평영",10140,1,0,0
10,201,0,0,107711,10140203,1,"평영",10140,1,0,0
20,201,0,0,108011,10140206,2,"평영",10140,1,0,0
10,201,0,0,110011,10140207,2,"평영",10140,1,0,0
3,201,0,0,110311,10140209,1,"평영",10140,1,0,0
10,201,0,0,110411,10140210,2,"평영",10140,1,0,0
10,201,0,0,110511,10140211,2,"평영",10140,1,0,0
5,201,0,0,113111,10140213,1,"평영",10140,1,0,0
5,201,0,0,113211,10140214,1,"평영",10140,1,0,0
10,201,0,0,113411,10140216,2,"평영",10140,1,0,0
10,201,0,0,113511,10140217,2,"평영",10140,1,0,0
10,201,0,0,113611,10140218,2,"평영",10140,1,0,0
5,201,0,0,115711,10140219,1,"평영",10140,1,0,0
10,201,0,0,117011,10140220,2,"평영",10140,1,0,0
10,201,0,0,117111,10140221,2,"평영",10140,1,0,0
10,201,0,0,117211,10140222,2,"평영",10140,1,0,0
10,201,0,0,117311,10140223,2,"평영",10140,1,0,0
10,201,0,0,117411,10140224,2,"평영",10140,1,0,0
10,201,0,0,122411,10140225,2,"평영",10140,1,0,0
5,201,0,0,122511,10140226,1,"평영",10140,1,0,0
10,201,0,0,122611,10140227,2,"평영",10140,1,0,0
5,201,0,0,126711,10140232,1,"평영",10140,1,0,0
10,201,0,0,126811,10140233,2,"평영",10140,1,0,0
5,201,0,0,127011,10140235,1,"평영",10140,1,0,0
10,201,0,0,129411,10140238,2,"평영",10140,1,0,0
10,201,0,0,129511,10140239,2,"평영",10140,1,0,0
10,251,0,0,107511,10140251,2,"잠수",10140,1,0,0
10,251,0,0,107611,10140252,2,"잠수",10140,1,0,0
20,251,0,0,108011,10140256,2,"잠수",10140,1,0,0
10,251,0,0,110011,10140257,2,"잠수",10140,1,0,0
3,251,0,0,110311,10140259,1,"잠수",10140,1,0,0
10,251,0,0,110411,10140260,2,"잠수",10140,1,0,0
10,251,0,0,110511,10140261,2,"잠수",10140,1,0,0
5,251,0,0,113111,10140263,1,"잠수",10140,1,0,0
5,251,0,0,113211,10140264,1,"잠수",10140,1,0,0
10,251,0,0,113411,10140266,2,"잠수",10140,1,0,0
10,251,0,0,113611,10140268,2,"잠수",10140,1,0,0
5,251,0,0,115711,10140269,1,"잠수",10140,1,0,0
10,251,0,0,117011,10140270,2,"잠수",10140,1,0,0
10,251,0,0,117211,10140272,2,"잠수",10140,1,0,0
10,251,0,0,117311,10140273,2,"잠수",10140,1,0,0
10,251,0,0,117411,10140274,2,"잠수",10140,1,0,0
10,251,0,0,122411,10140275,2,"잠수",10140,1,0,0
5,251,0,0,122511,10140276,1,"잠수",10140,1,0,0
10,251,0,0,122611,10140277,2,"잠수",10140,1,0,0
5,251,0,0,126711,10140282,1,"잠수",10140,1,0,0
5,251,0,0,127011,10140285,1,"잠수",10140,1,0,0
10,303,0,0,107511,10140301,2,"튜브+발장구(노랑)",10140,1,0,0
15,302,0,0,107611,10140302,2,"튜브+발장구(파랑)",10140,1,0,0
20,302,0,0,108011,10140306,2,"튜브+발장구(파랑)",10140,1,0,0
10,301,0,0,110011,10140307,2,"튜브+발장구(핑크)",10140,1,0,0
3,303,0,0,110311,10140309,1,"튜브+발장구(노랑)",10140,1,0,0
10,302,0,0,110411,10140310,2,"튜브+발장구(파랑)",10140,1,0,0
10,302,0,0,110511,10140311,2,"튜브+발장구(파랑)",10140,1,0,0
5,302,0,0,113111,10140313,1,"튜브+발장구(파랑)",10140,1,0,0
5,302,0,0,113211,10140314,1,"튜브+발장구(파랑)",10140,1,0,0
5,302,0,0,113311,10140315,1,"튜브+발장구(파랑)",10140,1,0,0
10,302,0,0,113411,10140316,2,"튜브+발장구(파랑)",10140,1,0,0
10,302,0,0,113511,10140317,2,"튜브+발장구(파랑)",10140,1,0,0
10,302,0,0,113611,10140318,2,"튜브+발장구(파랑)",10140,1,0,0
5,302,0,0,115711,10140319,1,"튜브+발장구(파랑)",10140,1,0,0
10,301,0,0,117011,10140320,2,"튜브+발장구(핑크)",10140,1,0,0
10,302,0,0,117111,10140321,2,"튜브+발장구(파랑)",10140,1,0,0
10,303,0,0,117211,10140322,2,"튜브+발장구(노랑)",10140,1,0,0
10,302,0,0,117311,10140323,2,"튜브+발장구(파랑)",10140,1,0,0
10,301,0,0,117411,10140324,2,"튜브+발장구(핑크)",10140,1,0,0
10,303,0,0,122411,10140325,2,"튜브+발장구(노랑)",10140,1,0,0
5,302,0,0,122511,10140326,1,"튜브+발장구(파랑)",10140,1,0,0
10,301,0,0,122611,10140327,2,"튜브+발장구(핑크)",10140,1,0,0
10,302,0,0,122711,10140328,1,"튜브+발장구(파랑)",10140,1,0,0
10,303,0,0,122811,10140329,1,"튜브+발장구(노랑)",10140,1,0,0
10,301,0,0,122911,10140330,1,"튜브+발장구(핑크)",10140,1,0,0
5,301,0,0,126711,10140332,1,"튜브+발장구(핑크)",10140,1,0,0
10,303,0,0,126811,10140333,2,"튜브+발장구(노랑)",10140,1,0,0
5,301,0,0,127011,10140335,1,"튜브+발장구(핑크)",10140,1,0,0
10,303,0,0,129411,10140338,2,"튜브+발장구(노랑)",10140,1,0,0
10,301,0,0,129511,10140339,2,"튜브+발장구(핑크)",10140,1,0,0
10,351,0,0,107511,10140351,2,"킥판+발장구(핑크)",10140,1,0,0
15,352,0,0,107611,10140352,2,"킥판+발장구(파랑)",10140,1,0,0
20,352,0,0,108011,10140356,2,"킥판+발장구(파랑)",10140,1,0,0
10,351,0,0,110011,10140357,2,"킥판+발장구(핑크)",10140,1,0,0
3,352,0,0,110311,10140359,1,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,110411,10140360,2,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,110511,10140361,2,"킥판+발장구(파랑)",10140,1,0,0
5,352,0,0,113111,10140363,1,"킥판+발장구(파랑)",10140,1,0,0
5,352,0,0,113211,10140364,1,"킥판+발장구(파랑)",10140,1,0,0
5,352,0,0,113311,10140365,1,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,113411,10140366,2,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,113511,10140367,2,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,113611,10140368,2,"킥판+발장구(파랑)",10140,1,0,0
5,352,0,0,115711,10140369,1,"킥판+발장구(파랑)",10140,1,0,0
10,351,0,0,117011,10140370,2,"킥판+발장구(핑크)",10140,1,0,0
10,352,0,0,117111,10140371,2,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,117211,10140372,2,"킥판+발장구(파랑)",10140,1,0,0
10,352,0,0,117311,10140373,2,"킥판+발장구(파랑)",10140,1,0,0
