detail,unit_id,quest_id,start_time,icon_id,id
"전투 시작 후 90초간 아군 전체의 물리\n방어력 (특대) 증가",123001,10201501,"2026/02/27 15:00:00",3002,10201001
"전투 시작 후 90초간 아군 전체의 마법\n방어력 (특대) 증가",123001,10201501,"2026/02/27 15:00:00",3004,10201002
"전투 시작 후 90초간 적 전체의 물리\n방어력 (특대) 감소",106901,10201501,"2026/02/27 15:00:00",3011,10201003
"전투 시작 후 90초간 적 전체의 마법\n방어력 (특대) 감소",106901,10201501,"2026/02/27 15:00:00",3011,10201004
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",107101,10201501,"2026/02/27 15:00:00",3001,10201005
"전투 시작 후 90초간 TP 상승 (특대)\n증가",107101,10201501,"2026/02/27 15:00:00",3010,10201006
"전투 시작 후 90초간 마법\n공격력 (극대) 증가",107001,10201501,"2026/02/27 15:00:00",3003,10201007
"전투 시작 후 90초간 TP 상승 (특대)\n증가",107001,10201501,"2026/02/27 15:00:00",3010,10201008
"전투 시작 후 90초간 아군 전체의 물리\n공격력 (특대) 증가",106801,10201501,"2026/02/27 15:00:00",3001,10201009
"전투 시작 후 아군 전체의 TP (대) 회복",106801,10201501,"2026/02/27 15:00:00",3014,10201010
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",111501,10201501,"2026/02/27 15:00:00",3001,10201011
"전투 시작 후 90초간 TP 상승 (특대)\n증가",111501,10201501,"2026/02/27 15:00:00",3010,10201012
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",123801,10201501,"2026/02/27 15:00:00",3001,10201013
"전투 시작 후 90초간 TP 상승 (특대)\n증가",123801,10201501,"2026/02/27 15:00:00",3010,10201014
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",133901,10201501,"2026/03/09 15:00:00",3001,10201015
"전투 시작 후 90초간 TP 상승 (특대)\n증가",133901,10201501,"2026/03/09 15:00:00",3010,10201016
"전투 시작 후 90초간 아군 전체에 지속적으로\nHP 회복 상태 부여",115001,10201501,"2026/02/27 15:00:00",3005,10201017
"전투 시작 후 아군 전체의 행동 불능\n2회 무효",115001,10201501,"2026/02/27 15:00:00",3013,10201018
"전투 시작 후 90초간 아군 전체의 마법\n공격력 (특대) 증가",126601,10201501,"2026/02/27 15:00:00",3003,10201019
"전투 시작 후 아군 전체의 TP (대) 회복",126601,10201501,"2026/02/27 15:00:00",3014,10201020
