consume_num_3,condition_equipment_id_6,equipment_id,consume_num_2,condition_equipment_id_1,consume_num_8,condition_equipment_id_9,consume_num_7,condition_equipment_id_8,consume_num_6,condition_equipment_id_4,consume_num_9,condition_equipment_id_10,condition_equipment_id_5,consume_num_10,consume_num_4,crafted_cost,condition_equipment_id_3,condition_equipment_id_2,condition_equipment_id_7,consume_num_1,consume_num_5
0,0,102282,1,122282,0,0,0,0,0,0,0,0,0,0,0,2000,0,102281,0,1,0
0,0,102311,1,122311,0,0,0,0,0,0,0,0,0,0,0,1500,0,101281,0,1,0
0,0,102312,1,122312,0,0,0,0,0,0,0,0,0,0,0,2000,0,102311,0,1,0
0,0,102341,1,122341,0,0,0,0,0,0,0,0,0,0,0,1500,0,101581,0,1,0
0,0,102342,1,122342,0,0,0,0,0,0,0,0,0,0,0,2000,0,102341,0,1,0
0,0,102371,1,122371,0,0,0,0,0,0,0,0,0,0,0,1500,0,101371,0,1,0
0,0,102372,1,122372,0,0,0,0,0,0,0,0,0,0,0,2000,0,102371,0,1,0
0,0,102401,1,122401,0,0,0,0,0,0,0,0,0,0,0,2000,0,101401,0,1,0
0,0,102431,1,122431,0,0,0,0,0,0,0,0,0,0,0,1500,0,101431,0,1,0
0,0,102432,1,122432,0,0,0,0,0,0,0,0,0,0,0,2000,0,102431,0,1,0
0,0,102491,1,122491,0,0,0,0,0,0,0,0,0,0,0,1500,0,101521,0,1,0
0,0,102493,1,122493,0,0,0,0,0,0,0,0,0,0,0,1500,0,102311,0,1,0
0,0,102521,1,122521,0,0,0,0,0,0,0,0,0,0,0,2000,0,102251,0,1,0
0,0,102613,1,122613,0,0,0,0,0,0,0,0,0,0,0,2000,0,101611,0,1,0
0,0,102614,1,122614,0,0,0,0,0,0,0,0,0,0,0,2000,0,102612,0,1,0
0,0,103011,0,113011,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
0,0,103012,0,113012,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103013,0,113013,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,2,0
0,0,103041,1,123041,0,0,0,0,0,0,0,0,0,0,0,7000,0,103071,0,3,0
0,0,103042,1,123042,0,0,0,0,0,0,0,0,0,0,0,10000,0,103012,0,3,0
0,0,103071,0,113071,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
0,0,103072,1,123072,0,0,0,0,0,0,0,0,0,0,0,10000,0,103552,0,3,0
0,0,103101,0,113101,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103131,0,113131,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103132,1,123132,0,0,0,0,0,0,0,0,0,0,0,10000,0,103131,0,3,0
0,0,103161,1,123161,0,0,0,0,0,0,0,0,0,0,0,5000,0,102162,0,3,0
0,0,103162,0,113162,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103191,0,113191,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
1,0,103192,1,123192,0,0,0,0,0,0,0,0,0,0,0,7000,102013,103191,0,3,0
0,0,103193,1,123193,0,0,0,0,0,0,0,0,0,0,0,10000,0,103192,0,3,0
0,0,103221,0,113221,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
0,0,103222,0,113222,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,2,0
0,0,103251,1,123251,0,0,0,0,0,0,0,0,0,0,0,5000,0,102251,0,3,0
0,0,103252,0,113252,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103281,1,123281,0,0,0,0,0,0,0,0,0,0,0,5000,0,102282,0,3,0
1,0,103282,1,123282,0,0,0,0,0,0,0,0,0,0,0,7000,102312,102282,0,3,0
0,0,103283,0,113283,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,2,0
0,0,103311,1,123311,0,0,0,0,0,0,0,0,0,0,0,5000,0,102312,0,3,0
0,0,103341,1,123341,0,0,0,0,0,0,0,0,0,0,0,5000,0,102342,0,3,0
0,0,103342,0,113342,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
1,0,103343,1,123343,0,0,0,0,0,0,0,0,0,0,0,10000,103611,103341,0,3,0
0,0,103371,1,123371,0,0,0,0,0,0,0,0,0,0,0,7000,0,102372,0,3,0
0,0,103372,0,113372,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,2,0
0,0,103401,0,113401,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103431,0,113431,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
0,0,103432,1,123432,0,0,0,0,0,0,0,0,0,0,0,7000,0,103431,0,3,0
1,0,103461,1,123461,0,0,0,0,0,0,0,0,0,0,0,7000,102432,102614,0,3,0
1,0,103491,1,123491,0,0,0,0,0,0,0,0,0,0,0,7000,102493,102312,0,3,0
0,0,103521,0,113521,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
0,0,103522,0,113522,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,2,0
0,0,103551,0,113551,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,2,0
