enemy_position_y_1,quest_name,detail_bg_position,enemy_size_1,bgm_sheet_id,bgm_que_id,battle_bg_id,detail_bg_id,quest_id,enemy_position_x_1
0,"기억 영역 1층",-100,1.0,bgm_M301,bgm_M301,102231,102231,75000001,0
0,"기억 영역 2층",0,1.0,bgm_M248,bgm_M248_02,81002102,81002102,75000002,0
0,"기억 영역 3층",-100,1.0,bgm_M301,bgm_M301,102241,102241,75000003,0
0,"기억 영역 4층",0,1.0,bgm_M268,bgm_M268,81002502,81002502,75000004,0
0,"기억 영역 5층",-100,1.0,bgm_M502,bgm_M502,102881,102881,75000005,0
0,"기억 영역 6층",0,1.0,bgm_M397,bgm_M397,81004602,81004602,75000006,0
0,"기억 영역 7층",-100,1.0,bgm_M503,bgm_M503,102871,102871,75000007,0
0,"기억 영역 8층",0,1.0,bgm_M577,bgm_M577,81009002,81009002,75000008,0
0,"기억 영역 9층",-100,1.0,bgm_M301,bgm_M301,102251,102251,75000009,0
0,"기억 영역 10층",-100,1.0,bgm_M505,bgm_M505,102861,102861,75000010,0
0,"기억 영역 11층",0,1.0,bgm_M621,bgm_M621,81010002,81010002,75000011,0
0,"기억 영역 12층",-100,1.0,bgm_M504,bgm_M504,81000605,81000605,75000012,0
