talk_text,talk_text_type,kaya_action,voice_list,action_name,inori_action,dragon_action,homare_action
"",0,srt_kaya_idle,"start_000-start_001,start_002/start_003-boss_emote_064-start_004",GAME_START,srt_inori_idle,"srt_dragon_in,srt_dragon_idle",""
"먼저 내 차례네!",2,srt_kaya_idle,"",ENEMY_FIRST,srt_inori_idle,srt_dragon_idle,""
"「{0}」인가\n「{1}」로 시작하는 건…",2,srt_kaya_waiting,"",ENEMY_TURN1,srt_inori_idle,srt_dragon_idle,""
"「{0}」인가\n으~음, 「{1}」로 시작하는 단어라…",2,srt_kaya_waiting,"",ENEMY_TURN2,srt_inori_idle,srt_dragon_idle,""
"「{0}」인가\n오케이, 다음은 「{1}」(이)지",2,srt_kaya_waiting,"",ENEMY_TURN3,srt_inori_idle,srt_dragon_idle,""
"",0,srt_kaya_help,"sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063",ENEMY_HELP,"","",srt_homare_help
"",0,srt_kaya_flash,"",ENEMY_FLASH,"","",""
"「{0}」(이)다!",2,"srt_kaya_select_1,srt_kaya_waiting","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",ENEMY_SELECT1,"srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle",""
"「{0}」(이)지!",2,"srt_kaya_select_1,srt_kaya_waiting","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",ENEMY_SELECT2,"srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle",""
"「{0}」(이)다!",2,"srt_kaya_select_1,srt_kaya_waiting","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",ENEMY_SELECT3,"srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle",""
"「{0}」(은)는 어떠냐!",2,"srt_kaya_select_1,srt_kaya_waiting","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",ENEMY_SELECT_GREAT1,"srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle",""
