command_id,param_02,param_07,command_type,param_01,param_04,param_05,param_06,param_03,drama_id,param_08
61001,105811,0,1,1,-225,-278,1.8,100,5146061,idle_normal
61002,1058,0,5,6,-225,-278,1.8,101,5146061,idle_normal
61003,105911,0,1,1,-385,-288,1.8,103,5146061,kokkoro_idle_normal
61004,1059,0,5,3,-385,-288,1.8,104,5146061,kokkoro_idle_normal
61005,106011,1,1,1,290,-278,1.8,106,5146061,idle_normal
61006,1060,1,5,4,290,-278,1.8,107,5146061,idle_normal
61007,200,"",13,105811,"","","","",5146061,""
61008,203,"",13,105911,"","","","",5146061,""
61009,206,"",13,106011,"","","","",5146061,""
61010,7,0,5,7,0,-174,0.85,15,5146061,idle
61011,201,0,5,20,290,8,1,210,5146061,empty
61012,202,0,5,20,0,-78,1,211,5146061,empty
61013,203,0,5,20,-315,16,1,210,5146061,empty
61014,21,0,5,21,0,153,1,60,5146061,empty
61015,1,"",31,1,0,1,1,0,5146061,""
61016,2,"",31,2,-57.7,1,0,0,5146061,""
61017,10,"",31,10,0,1,0,0,5146061,""
61018,11,"",31,11,0,1,0,0,5146061,""
61019,0,"",91,0,"","","","",5146061,""
61020,0,"",102,0,"","","",0,5146061,""
61021,0,"",93,1,"","","","",5146061,""
61022,doya_in_shy,0,3,106011,doya_talk_shy,1,0.2,0,5146061,""
61023,doya_in_shy,0,3,1060,doya_talk_shy,1,0.2,0,5146061,""
61024,vo_apg_0101,"",21,vo_apg,0,"","",0,5146061,""
61025,"롤러코스터 탑승 중\n마법 사진 촬영 서비스?\n흥, 남의 무방비한 얼굴을 멋대로 찍어서\n나중에 억지로 팔려고 하다니, 같잖아!",0,11,106011,1,1,0,10,5146061,0
61026,"","",91,0,"","","","",5146061,""
61027,1,"",32,2,"","","","",5146061,""
61028,fade105_in,"",37,2,"","","","",5146061,""
61029,0,"",4,106011,"","","","",5146061,""
61030,0,"",4,1060,"","","","",5146061,""
61031,sad_idle_dere_shy,"",3,106011,"","",0.5,1,5146061,""
