purpose_count,story_start_second,appear_time,trigger_hp,detail_boss_motion,start_idle_trigger,story_id_mode_end,detail_boss_bg_size,detail_boss_bg_height,wave_group_id,mode,hp_gauge_color_flag,unnecessary_defeat_chara,action_start_second,recommended_level,is_hide_boss,story_id_mode_start,purpose_type,event_id
12,5.5,3.0,0,"",0,0,1.0,-60.0,610132007,1,1,610132501,5.0,289,0,0,3,10132
0,1.5,0.0,70,"",0,0,1.0,-60.0,610132008,2,1,610132502,5.0,289,0,0,1,10132
0,1.5,0.0,0,"",0,0,1.0,-60.0,610132009,3,1,0,5.0,289,0,0,1,10132
0,5.5,3.0,55,"",0,0,1.85,-50.0,610134007,1,1,0,5.0,292,0,0,1,10134
30,1.5,0.0,0,"",0,0,1.85,-50.0,610134008,2,1,610134502,5.0,292,0,0,3,10134
0,1.5,0.0,0,"",0,0,1.85,-50.0,610134009,3,1,0,5.0,292,0,0,1,10134
0,5.5,3.0,0,"",600,0,1.1,0.0,610136007,1,1,610136501,5.0,295,0,0,2,10136
0,1.5,0.0,84,"",0,0,1.5,-50.0,610136008,2,1,0,5.0,295,0,0,1,10136
0,1.5,0.0,0,"",0,0,1.5,-50.0,610136009,3,1,0,5.0,295,0,0,1,10136
0,5.5,0.0,75,"",0,0,0.85,0.0,610137007,1,1,0,5.0,295,0,0,1,10137
0,1.5,0.0,50,"",0,0,0.85,0.0,610137008,2,1,0,5.0,295,0,0,1,10137
0,1.5,0.0,0,"",0,0,0.85,0.0,610137009,3,1,0,5.0,295,0,0,1,10137
0,5.5,3.0,77,"",0,0,1.4,0.0,610140007,1,1,0,5.0,298,0,0,1,10140
0,1.5,0.0,52,"",0,0,1.4,0.0,610140008,2,1,0,5.0,298,0,0,1,10140
0,1.5,0.0,0,"",0,0,1.4,0.0,610140009,3,1,0,5.0,298,0,0,1,10140
0,5.5,3.0,76,"",0,0,1.45,-33.0,610142007,1,1,0,5.0,301,0,0,1,10142
0,1.5,3.0,0,"",600,0,1.23,-40.0,610142008,2,1,610142502,5.0,301,0,0,2,10142
0,1.5,0.0,0,"",0,0,1.45,-33.0,610142009,3,1,0,5.0,301,0,0,1,10142
0,5.5,3.0,65,"",0,0,1.0,-33.0,610144007,1,1,0,5.0,304,0,0,1,10144
0,1.5,3.0,0,"",600,0,0.85,-40.0,610144008,2,1,610144502,5.0,304,0,0,2,10144
0,1.5,0.0,0,"",0,0,1.0,-33.0,610144009,3,1,0,5.0,304,0,0,1,10144
0,5.5,3.0,0,"",600,0,0.87,-45.0,610146007,1,1,610146501,5.0,307,0,0,2,10146
0,1.5,0.0,58,"",0,0,1.18,-45.0,610146008,2,1,0,5.0,307,0,0,1,10146
0,1.5,0.0,0,"",0,0,1.18,-45.0,610146009,3,1,0,5.0,307,0,0,1,10146
0,5.5,3.0,0,"",600,0,1.4,-50.0,610148007,1,1,610148501,5.0,310,0,0,2,10148
0,1.5,0.0,68,"",0,0,1.7,-50.0,610148008,2,1,0,5.0,310,0,0,1,10148
0,1.5,0.0,0,"",0,0,1.7,-50.0,610148009,3,1,0,5.0,310,0,0,1,10148
0,5.5,3.0,71,"",0,0,1.35,-33.0,610150007,1,1,0,5.0,313,0,0,1,10150
0,1.5,3.0,50,"",0,0,1.35,-33.0,610150008,2,1,0,5.0,313,0,0,1,10150
0,1.5,0.0,0,"",0,0,1.35,-33.0,610150009,3,1,0,5.0,313,0,0,1,10150
0,5.5,3.0,68,"",0,0,1.25,-33.0,610154007,1,1,0,5.0,319,0,0,1,10154
0,1.5,3.0,0,"",600,0,1.0,-10.0,610154008,2,1,610154502,5.0,319,0,0,2,10154
0,1.5,0.0,0,"",0,0,1.25,-33.0,610154009,3,1,0,5.0,319,0,0,1,10154
0,5.5,3.0,0,"",600,0,0.85,5.0,610156007,1,1,610156501,5.0,322,0,0,2,10156
0,1.5,3.0,75,"",600,0,1.11,-10.0,610156008,2,1,0,5.0,322,0,0,1,10156
0,1.5,0.0,0,"",0,0,1.11,-10.0,610156009,3,1,0,5.0,322,0,0,1,10156
0,5.5,3.0,0,"",600,0,1.5,-40.0,610158007,1,1,610158501,5.0,325,0,0,2,10158
0,1.5,0.0,65,"",0,0,1.75,-33.0,610158008,2,1,0,5.0,325,0,0,1,10158
0,1.5,0.0,0,"",0,0,1.75,-33.0,610158009,3,1,0,5.0,325,0,0,1,10158
20,5.5,4.8,0,"",600,0,1.4,-35.0,610160007,1,1,610160501,5.0,328,0,0,3,10160
0,1.5,0.0,70,"",0,0,1.4,-35.0,610160008,2,1,0,5.0,328,0,0,1,10160
0,1.5,0.0,0,"",0,0,1.4,-35.0,610160009,3,1,0,5.0,328,0,0,1,10160
