id,training_id,mode,phase,map_data_id
1,1031,0,1,111
2,1031,0,2,112
3,1031,0,3,113
4,1031,0,4,114
5,1032,0,1,116
6,1032,0,2,117
7,1032,0,3,118
8,1032,0,4,119
9,1033,0,1,121
10,1033,0,2,122
11,1033,0,3,123
12,1033,0,4,124
13,1034,0,1,126
14,1034,0,2,127
15,1034,0,3,128
16,1034,0,4,129
17,1034,0,5,130
18,1035,0,1,132
19,1035,0,2,133
20,1035,0,3,134
21,1035,0,4,135
22,1035,0,5,136
23,1036,0,1,138
24,1036,0,2,139
25,1036,0,3,140
26,1036,0,4,141
27,1036,0,5,142
28,1037,0,1,144
29,1037,0,2,145
30,1037,0,3,146
31,1037,0,4,147
32,1037,0,5,148
33,1038,0,1,150
34,1038,0,2,151
35,1038,0,3,152
36,1038,0,4,153
37,1038,0,5,154
