group_unit_id_02,group_id_comment,group_unit_id_03,group_id,group_unit_id_05,group_unit_id_04,group_unit_id_01
103801001,"하츠네 & 시오리",0,20001,0,0,101201001
104901001,"시즈루 & 리노",0,20002,0,0,101101001
102501001,"사렌 & 스즈메",0,20003,0,0,102801001
102201001,"요리 & 아카리",0,20004,0,0,100601001
105901001,"페코린느 & 콧코로",0,20005,0,0,105801001
106001001,"페코린느 & 캬루",0,20006,0,0,105801001
106001001,"콧코로 & 캬루",0,20007,0,0,105901001
100201001,"히요리 & 유이",0,20008,0,0,100101001
100301001,"히요리 & 레이",0,20009,0,0,100101001
100301001,"유이 & 레이",0,20010,0,0,100201001
104201001,"노조미 & 치카",0,20013,0,0,102901001
105401001,"노조미 & 츠무기",0,20014,0,0,102901001
105401001,"치카 & 츠무기",0,20015,0,0,104201001
100401001,"미미 & 미소기",0,20016,0,0,102001001
103601001,"미미 & 쿄우카",0,20017,0,0,102001001
103601001,"미소기 & 쿄우카",0,20018,0,0,100401001
101201001,"미사토 & 하츠네",0,20019,0,0,101501001
104001001,"미사토 & 아오이",0,20020,0,0,101501001
104001001,"하츠네 & 아오이",0,20021,0,0,101201001
102201001,"이리야 & 요리",0,20022,0,0,104401001
100601001,"이리야 & 아카리",0,20023,0,0,104401001
103101001,"이리야 & 시노부",0,20024,0,0,104401001
100701001,"이리야 & 미야코",0,20025,0,0,104401001
103101001,"요리 & 시노부",0,20026,0,0,102201001
100701001,"요리 & 미야코",0,20027,0,0,102201001
103101001,"아카리 & 시노부",0,20028,0,0,100601001
100701001,"아카리 & 미야코",0,20029,0,0,100601001
100701001,"시노부 & 미야코",0,20030,0,0,103101001
107101001,"쥰 & 크리스티나",0,20031,0,0,104701001
103701001,"쥰 & 토모",0,20032,0,0,104701001
100501001,"쥰 & 마츠리",0,20033,0,0,104701001
103701001,"크리스티나 & 토모",0,20034,0,0,107101001
100501001,"크리스티나 & 마츠리",0,20035,0,0,107101001
100501001,"토모 & 마츠리",0,20036,0,0,103701001
102301001,"사렌 &아야네",0,20037,0,0,102801001
102101001,"사렌 & 쿠루미",0,20038,0,0,102801001
102301001,"스즈메 & 아야네",0,20039,0,0,102501001
102101001,"스즈메 & 쿠루미",0,20040,0,0,102501001
102101001,"아야네 & 쿠루미",0,20041,0,0,102301001
104301001,"마호 & 마코토",0,20042,0,0,101001001
101401001,"마호 & 카스미",0,20043,0,0,101001001
101701001,"마호 & 카오리",0,20044,0,0,101001001
101401001,"마코토 & 카스미",0,20045,0,0,104301001
101701001,"마코토 & 카오리",0,20046,0,0,104301001
101701001,"카스미 & 카오리",0,20047,0,0,101401001
105201001,"마히루 & 리마",0,20048,0,0,103301001
103801001,"마히루 & 시오리",0,20049,0,0,103301001
102601001,"마히루 & 린",0,20050,0,0,103301001
103801001,"리마 & 시오리",0,20051,0,0,105201001
102601001,"리마 & 린",0,20052,0,0,105201001
102601001,"시오리 & 린",0,20053,0,0,103801001
104801001,"아키노 & 미후유",0,20054,0,0,103201001
103401001,"아키노 & 유카리",0,20055,0,0,103201001
104601001,"아키노 & 타마키",0,20056,0,0,103201001
103401001,"미후유 & 유카리",0,20057,0,0,104801001
104601001,"미후유 & 타마키",0,20058,0,0,104801001
104601001,"유카리 & 타마키",0,20059,0,0,103401001
105101001,"루카 & 미츠키",0,20060,0,0,105601001
102701001,"루카 & 에리코",0,20061,0,0,105601001
101301001,"루카 & 나나카",0,20062,0,0,105601001
100901001,"루카 & 안나",0,20063,0,0,105601001
102701001,"미츠키 & 에리코",0,20064,0,0,105101001
101301001,"미츠키 & 나나카",0,20065,0,0,105101001
100901001,"미츠키 & 안나",0,20066,0,0,105101001
101301001,"에리코 & 나나카",0,20067,0,0,102701001
100901001,"에리코 & 안나",0,20068,0,0,102701001
100901001,"나나카 & 안나",0,20069,0,0,101301001
105001001,"이오 & 미사키",0,20070,0,0,101801001
101601001,"이오 & 스즈나",0,20071,0,0,101801001
101601001,"미사키 & 스즈나",0,20072,0,0,105001001
100801001,"모니카 & 유키",0,20073,0,0,105301001
103001001,"모니카 & 니논",0,20074,0,0,105301001
104501001,"모니카 & 쿠우카",0,20075,0,0,105301001
105501001,"모니카 & 아유미",0,20076,0,0,105301001
103001001,"유키 & 니논",0,20077,0,0,100801001
104501001,"유키 & 쿠우카",0,20078,0,0,100801001
105501001,"유키 & 아유미",0,20079,0,0,100801001
104501001,"니논 & 쿠우카",0,20080,0,0,103001001
105501001,"니논 & 아유미",0,20081,0,0,103001001
105501001,"쿠우카 & 아유미",0,20082,0,0,104501001
103201001,"사렌 & 아키노",0,20083,0,0,102801001
105401001,"레이 & 츠무기",0,20084,0,0,100301001
104301001,"마코토 & 유이",0,20085,0,0,100201001
110901001,"클로에 & 치에루",0,20086,0,0,110801001
111001001,"클로에 & 유니",0,20087,0,0,110801001
111001001,"치에루 & 유니",0,20088,0,0,110901001
109301001,"앤 & 루",0,20089,0,0,109201001
109401001,"앤 & 글레어",0,20090,0,0,109201001
109401001,"루 & 글레어",0,20091,0,0,109301001
109701001,"에밀리아 & 렘",0,20092,0,0,109901001
109801001,"에밀리아 & 람",0,20093,0,0,109901001
109801001,"렘 & 람",0,20094,0,0,109701001
107101001,"네네카 & 크리스티나",0,20095,0,0,107001001
105201001,"네네카 & 리마",0,20096,0,0,107001001
