reward_id_4,reward_type_3,reward_id_2,reward_id_3,reward_count_5,reward_id_5,mission_detail,reward_type_5,reward_type_2,id,score,reward_type_4,reward_type_1,reward_count_2,reward_count_4,reward_count_3,reward_id_1,reward_count_1
0,0,0,0,0,0,"누적 스코어를 10,000pt 획득하자",0,0,1,10000,0,12,0,0,0,94002,100000
0,0,0,0,0,0,"누적 스코어를 20,000pt 획득하자",0,0,2,20000,0,8,0,0,0,91002,50
0,0,0,0,0,0,"누적 스코어를 30,000pt 획득하자",0,0,3,30000,0,12,0,0,0,94002,100000
0,0,0,0,0,0,"누적 스코어를 50,000pt 획득하자",0,0,4,50000,0,8,0,0,0,91002,50
0,0,0,0,0,0,"누적 스코어를 80,000pt 획득하자",0,0,5,80000,0,12,0,0,0,94002,100000
0,0,0,0,0,0,"누적 스코어를 100,000pt 획득하자",0,0,6,100000,0,12,0,0,0,94002,100000
0,0,0,0,0,0,"누적 스코어를 120,000pt 획득하자",0,0,7,120000,0,8,0,0,0,91002,100
0,0,0,0,0,0,"누적 스코어를 150,000pt 획득하자",0,0,8,150000,0,12,0,0,0,94002,200000
0,0,0,0,0,0,"누적 스코어를 200,000pt 획득하자",0,0,9,200000,0,12,0,0,0,94002,200000
0,0,0,0,0,0,"누적 스코어를 250,000pt 획득하자",0,0,10,250000,0,8,0,0,0,91002,100
0,0,0,0,0,0,"누적 스코어를 300,000pt 획득하자",0,0,11,300000,0,12,0,0,0,94002,200000
0,0,0,0,0,0,"누적 스코어를 350,000pt 획득하자",0,0,12,350000,0,12,0,0,0,94002,200000
0,0,0,0,0,0,"누적 스코어를 400,000pt 획득하자",0,0,13,400000,0,8,0,0,0,91002,100
