id,srt_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,200,"누적 점수 20,000점을 획득하자",12,94002,5000,0,0,0,0,0,0,0,0,0,0,0,0
2,400,"누적 점수 40,000점을 획득하자",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
3,600,"누적 점수 60,000점을 획득하자",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
4,800,"누적 점수 80,000점을 획득하자",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
5,1000,"누적 점수 100,000점을 획득하자",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
6,1200,"누적 점수 120,000점을 획득하자",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
7,1400,"누적 점수 140,000점을 획득하자",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
8,1600,"누적 점수 160,000점을 획득하자",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
9,1800,"누적 점수 180,000점을 획득하자",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
10,2000,"누적 점수 200,000점을 획득하자",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
11,2200,"누적 점수 220,000점을 획득하자",12,94002,55000,0,0,0,0,0,0,0,0,0,0,0,0
12,2400,"누적 점수 240,000점을 획득하자",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
13,2600,"누적 점수 260,000점을 획득하자",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
14,2800,"누적 점수 280,000점을 획득하자",12,94002,45000,0,0,0,0,0,0,0,0,0,0,0,0
15,3000,"누적 점수 300,000점을 획득하자",15,11001039,1,8,91002,150,2,23001,10,0,0,0,0,0,0
