magic_critical,unlock_flag,magic_str,unlock_level,hp_recovery_rate,slot_id,consume_gold,unit_id,material_type,wave_energy_recovery,material_count,physical_penetrate,dodge,material_id,energy_recovery_rate,accuracy,hp,wave_hp_recovery,energy_reduce_rate,life_steal,magic_penetrate,def,atk,physical_critical,magic_def
0,1,0,1,0,1,100000,100101,18,0,50,0,0,32001,5,0,0,0,0,0,0,0,160,0,0
0,1,0,1,0,2,100000,100101,11,0,50,0,0,31001,3,0,0,0,0,0,0,0,80,0,0
0,0,0,1,0,3,100000,100101,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,100,0,0
0,0,0,2,0,3,200000,100101,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,200,10,0
0,0,0,3,0,3,400000,100101,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,300,20,0
0,0,0,4,0,3,500000,100101,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,400,30,0
0,1,0,5,0,3,600000,100101,15,0,30,0,0,25001,2,0,0,0,0,2,0,0,500,40,0
0,1,100,1,10,1,100000,100201,18,0,50,0,0,32002,0,0,0,0,0,0,0,0,0,0,0
0,1,60,1,10,2,100000,100201,11,0,50,0,0,31002,0,0,0,0,0,0,0,0,0,0,0
0,0,20,1,0,3,100000,100201,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,2
0,0,40,2,0,3,200000,100201,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,4
0,0,60,3,0,3,400000,100201,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,6
0,0,80,4,0,3,500000,100201,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,8
0,1,100,5,10,3,600000,100201,15,0,30,0,0,25001,0,0,0,0,0,0,0,0,0,0,10
0,1,0,1,0,1,100000,100301,18,0,50,0,0,32003,5,0,0,0,0,0,0,0,160,0,0
0,1,0,1,0,2,100000,100301,11,0,50,0,0,31003,3,0,0,0,0,0,0,0,80,0,0
0,0,0,1,0,3,100000,100301,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,100,0,0
0,0,0,2,0,3,200000,100301,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,200,10,0
0,0,0,3,0,3,400000,100301,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,300,20,0
0,0,0,4,0,3,500000,100301,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,400,30,0
0,1,0,5,0,3,600000,100301,15,0,30,0,0,25001,2,0,0,0,0,2,0,0,500,40,0
0,1,0,1,0,1,100000,100401,18,0,50,0,0,32004,3,0,0,0,0,0,0,14,60,0,0
0,1,0,1,0,2,100000,100401,11,0,50,0,0,31004,2,0,0,0,0,0,0,7,30,0,0
0,0,0,1,0,3,100000,100401,15,0,10,0,0,25001,0,0,0,0,0,0,0,3,50,0,0
0,0,0,2,0,3,200000,100401,15,0,15,0,0,25001,0,0,0,0,0,0,0,6,150,0,0
0,0,0,3,0,3,400000,100401,15,0,20,0,0,25001,0,0,0,0,0,0,0,9,225,0,0
0,0,0,4,0,3,500000,100401,15,0,25,0,0,25001,0,0,0,0,0,0,0,12,270,0,0
0,1,0,5,0,3,600000,100401,15,0,30,0,10,25001,5,0,0,0,0,0,0,15,320,0,0
0,1,0,1,0,1,100000,100501,18,0,50,0,0,32005,3,0,1500,0,0,0,0,0,0,0,0
0,1,0,1,0,2,100000,100501,11,0,50,0,0,31005,2,0,1000,0,0,0,0,0,0,0,0
0,0,0,1,0,3,100000,100501,15,0,10,0,0,25001,0,0,0,0,0,0,0,2,40,0,2
0,0,0,2,0,3,200000,100501,15,0,15,0,0,25001,0,0,0,0,0,0,0,4,80,0,4
0,0,0,3,0,3,400000,100501,15,0,20,0,0,25001,0,0,0,0,0,0,0,6,120,0,6
0,0,0,4,0,3,500000,100501,15,0,25,0,0,25001,0,0,0,0,0,0,0,8,160,0,8
0,1,0,5,0,3,600000,100501,15,0,30,0,0,25001,5,0,0,0,0,0,0,10,200,0,10
10,1,160,1,0,1,100000,100601,18,0,50,0,0,32006,3,0,0,0,0,0,0,0,0,0,0
5,1,80,1,0,2,100000,100601,11,0,50,0,0,31006,2,0,0,0,0,0,0,0,0,0,0
0,0,90,1,0,3,100000,100601,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
5,0,180,2,0,3,200000,100601,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
10,0,270,3,0,3,400000,100601,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
15,0,360,4,0,3,500000,100601,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
20,1,450,5,0,3,600000,100601,15,0,30,0,0,25001,5,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,100000,100701,18,0,50,0,4,32007,0,0,1500,0,0,0,0,10,0,0,0
0,1,0,1,0,2,100000,100701,11,0,50,0,5,31007,0,0,1000,0,0,0,0,15,0,0,0
0,0,0,1,0,3,100000,100701,15,0,10,0,2,25001,0,0,0,0,0,0,0,6,0,0,0
0,0,0,2,0,3,200000,100701,15,0,15,0,4,25001,0,0,0,0,0,0,0,12,0,0,0
0,0,0,3,0,3,400000,100701,15,0,20,0,6,25001,0,0,0,0,0,0,0,18,0,0,0
0,0,0,4,0,3,500000,100701,15,0,25,0,8,25001,0,0,0,0,0,0,0,24,0,0,0
0,1,0,5,0,3,600000,100701,15,0,30,0,10,25001,0,0,0,0,0,0,0,30,0,0,0
0,1,240,1,0,1,100000,100801,18,0,50,0,0,32008,5,0,0,0,0,0,0,0,0,0,0
0,1,120,1,0,2,100000,100801,11,0,50,0,0,31008,3,0,0,0,0,0,0,0,0,0,0
5,0,130,1,0,3,100000,100801,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
10,0,260,2,0,3,200000,100801,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
15,0,390,3,0,3,400000,100801,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
20,0,520,4,0,3,500000,100801,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
25,1,650,5,0,3,600000,100801,15,0,30,0,0,25001,2,0,0,0,1,0,0,0,0,0,0
10,1,360,1,0,1,100000,100901,18,0,50,0,0,32009,5,0,0,0,0,0,0,0,0,0,0
10,1,180,1,0,2,100000,100901,11,0,50,0,0,31009,3,0,0,0,0,0,0,0,0,0,0
10,0,180,1,0,3,100000,100901,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
20,0,360,2,0,3,200000,100901,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
20,0,540,3,0,3,400000,100901,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
30,0,720,4,0,3,500000,100901,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
50,1,900,5,0,3,600000,100901,15,0,30,0,0,25001,2,0,0,0,0,0,0,0,0,0,0
0,1,100,1,10,1,100000,101001,18,0,50,0,0,32010,0,0,0,0,0,0,0,0,0,0,0
0,1,60,1,10,2,100000,101001,11,0,50,0,0,31010,0,0,0,0,0,0,0,0,0,0,0
0,0,20,1,0,3,100000,101001,15,0,10,0,0,25001,0,0,0,0,0,0,0,2,0,0,0
0,0,40,2,0,3,200000,101001,15,0,15,0,0,25001,0,0,0,0,0,0,0,4,0,0,0
0,0,60,3,0,3,400000,101001,15,0,20,0,0,25001,0,0,0,0,0,0,0,6,0,0,0
0,0,80,4,0,3,500000,101001,15,0,25,0,0,25001,0,0,0,0,0,0,0,8,0,0,0
0,1,100,5,10,3,600000,101001,15,0,30,0,0,25001,0,0,0,0,0,0,0,10,0,0,0
0,1,0,1,0,1,100000,101101,18,0,50,0,0,32011,5,0,0,0,0,0,0,0,160,0,0
0,1,0,1,0,2,100000,101101,11,0,50,0,0,31011,3,0,0,0,0,0,0,0,80,0,0
0,0,0,1,0,3,100000,101101,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,100,0,0
0,0,0,2,0,3,200000,101101,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,200,10,0
0,0,0,3,0,3,400000,101101,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,300,20,0
0,0,0,4,0,3,500000,101101,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,400,30,0
0,1,0,5,0,3,600000,101101,15,0,30,0,0,25001,2,0,0,0,0,2,0,0,500,40,0
10,1,160,1,0,1,100000,101201,18,0,50,0,0,32012,3,0,0,0,0,0,0,0,0,0,0
5,1,80,1,0,2,100000,101201,11,0,50,0,0,31012,2,0,0,0,0,0,0,0,0,0,0
5,0,100,1,0,3,100000,101201,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
10,0,200,2,0,3,200000,101201,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
15,0,300,3,0,3,400000,101201,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
20,0,400,4,0,3,500000,101201,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
25,1,500,5,0,3,600000,101201,15,0,30,0,0,25001,0,0,0,0,0,2,0,0,0,0,0
10,1,160,1,0,1,100000,101301,18,0,50,0,0,32013,3,0,0,0,0,0,0,0,0,0,0
5,1,80,1,0,2,100000,101301,11,0,50,0,0,31013,2,0,0,0,0,0,0,0,0,0,0
5,0,85,1,0,3,100000,101301,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
10,0,170,2,0,3,200000,101301,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
15,0,255,3,0,3,400000,101301,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
20,0,340,4,0,3,500000,101301,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
25,1,425,5,0,3,600000,101301,15,0,30,0,0,25001,5,0,0,0,0,2,0,0,0,0,0
0,1,240,1,0,1,100000,101401,18,0,50,0,0,32014,0,0,0,0,0,0,0,25,0,0,0
0,1,120,1,0,2,100000,101401,11,0,50,0,0,31014,0,0,0,0,0,0,0,0,0,0,25
0,0,130,1,0,3,100000,101401,15,0,10,0,0,25001,0,0,0,0,0,0,0,4,0,0,4
0,0,260,2,0,3,200000,101401,15,0,15,0,0,25001,0,0,0,0,0,0,0,8,0,0,8
0,0,390,3,0,3,400000,101401,15,0,20,0,0,25001,0,0,0,0,0,0,0,12,0,0,12
0,0,520,4,0,3,500000,101401,15,0,25,0,0,25001,0,0,0,0,0,0,0,16,0,0,16
0,1,650,5,0,3,600000,101401,15,0,30,0,0,25001,0,0,0,0,0,0,0,18,0,0,18
0,1,160,1,0,1,100000,101501,18,0,50,0,0,32015,5,0,0,0,0,0,0,0,0,0,0
0,1,80,1,0,2,100000,101501,11,0,50,0,0,31015,3,0,0,0,0,0,0,0,0,0,0
0,0,100,1,0,3,100000,101501,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
0,0,220,2,0,3,200000,101501,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
0,0,330,3,0,3,400000,101501,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
0,0,440,4,0,3,500000,101501,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,0,0,0
0,1,550,5,0,3,600000,101501,15,0,30,0,0,25001,2,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,100000,101601,18,0,50,0,0,32016,5,0,0,0,0,0,0,0,160,0,0
0,1,0,1,0,2,100000,101601,11,0,50,0,0,31016,3,0,0,0,0,0,0,0,80,0,0
0,0,0,1,0,3,100000,101601,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,100,0,0
0,0,0,2,0,3,200000,101601,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,220,0,0
0,0,0,3,0,3,400000,101601,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,330,0,0
0,0,0,4,0,3,500000,101601,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,440,0,0
0,1,0,5,0,3,600000,101601,15,0,30,0,0,25001,2,0,0,0,0,0,0,0,550,0,0
0,1,0,1,0,1,100000,101701,18,0,50,0,0,32017,5,0,0,0,0,0,0,0,160,0,0
0,1,0,1,0,2,100000,101701,11,0,50,0,0,31017,3,0,0,0,0,0,0,0,80,0,0
0,0,0,1,0,3,100000,101701,15,0,10,0,0,25001,0,0,0,0,0,0,0,0,100,0,0
0,0,0,2,0,3,200000,101701,15,0,15,0,0,25001,0,0,0,0,0,0,0,0,220,0,0
0,0,0,3,0,3,400000,101701,15,0,20,0,0,25001,0,0,0,0,0,0,0,0,330,0,0
0,0,0,4,0,3,500000,101701,15,0,25,0,0,25001,0,0,0,0,0,0,0,0,440,0,0
0,1,0,5,0,3,600000,101701,15,0,30,0,0,25001,2,0,0,0,0,2,0,0,500,0,0
0,1,100,1,0,1,100000,101801,18,0,50,0,0,32018,0,0,0,0,0,0,0,5,0,0,5
0,1,60,1,0,2,100000,101801,11,0,50,0,0,31018,0,0,170,0,0,0,0,1,0,0,2
0,0,20,1,0,3,100000,101801,15,0,10,0,0,25001,0,0,0,0,0,0,0,1,0,0,1
0,0,40,2,0,3,200000,101801,15,0,15,0,0,25001,0,0,0,0,0,0,0,2,0,0,2
0,0,60,3,0,3,400000,101801,15,0,20,0,0,25001,0,0,0,0,0,0,0,3,0,0,3
0,0,80,4,0,3,500000,101801,15,0,25,0,0,25001,0,0,0,0,0,0,0,4,0,0,4
0,1,100,5,0,3,600000,101801,15,0,30,0,0,25001,2,0,0,0,0,0,0,6,0,0,7
0,0,0,0,0,1,0,101901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,101901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,101901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,100000,102001,18,0,50,0,0,32020,5,0,0,0,0,0,0,0,160,30,0
0,1,0,1,0,2,100000,102001,11,0,50,0,0,31020,3,0,0,0,0,0,0,0,120,15,0
