unlock_story_id,gauge_id,reward_count,reward_id,completion_detail,trigger_score,reward_type
5126700,1,50000,94002,"스코어를 누적 2,500pt 획득하자",2500,12
0,1,50000,94002,"스코어를 누적 5,000pt 획득하자",5000,12
0,1,50000,94002,"스코어를 누적 7,500pt 획득하자",7500,12
5126701,1,1,2839,"스코어를 누적 10,000pt 획득하자",10000,7
0,1,80000,94002,"스코어를 누적 12,500pt 획득하자",12500,12
0,1,80000,94002,"스코어를 누적 15,000pt 획득하자",15000,12
0,1,80000,94002,"스코어를 누적 17,500pt 획득하자",17500,12
5126702,1,25,91002,"스코어를 누적 20,000pt 획득하자",20000,8
0,1,100000,94002,"스코어를 누적 22,500pt 획득하자",22500,12
0,1,100000,94002,"스코어를 누적 25,000pt 획득하자",25000,12
0,1,100,91002,"스코어를 누적 27,500pt 획득하자",27500,8
5126703,1,1,11001262,"스코어를 누적 30,000pt 획득하자",30000,15
5126710,2,50000,94002,"스코어를 누적 2,500pt 획득하자",2500,12
0,2,50000,94002,"스코어를 누적 5,000pt 획득하자",5000,12
0,2,50000,94002,"스코어를 누적 7,500pt 획득하자",7500,12
5126711,2,1,2840,"스코어를 누적 10,000pt 획득하자",10000,7
0,2,80000,94002,"스코어를 누적 12,500pt 획득하자",12500,12
0,2,80000,94002,"스코어를 누적 15,000pt 획득하자",15000,12
0,2,80000,94002,"스코어를 누적 17,500pt 획득하자",17500,12
5126712,2,25,91002,"스코어를 누적 20,000pt 획득하자",20000,8
0,2,100000,94002,"스코어를 누적 22,500pt 획득하자",22500,12
0,2,100000,94002,"스코어를 누적 25,000pt 획득하자",25000,12
0,2,100,91002,"스코어를 누적 27,500pt 획득하자",27500,8
5126713,2,1,11001263,"스코어를 누적 30,000pt 획득하자",30000,15
