reward_num_1,reward_id_3,reward_group_id,reward_id_1,reward_type_2,reward_id_2,reward_type_1,reward_type_3,reward_num_3,id,reward_num_2
10,25012,282001001,91002,2,25021,8,2,31,1,8
10,25012,282001002,91002,2,25021,8,2,31,2,8
10,25012,282001003,91002,2,25021,8,2,32,3,8
10,25012,282001004,91002,2,25021,8,2,32,4,8
10,25012,282001005,91002,2,25021,8,2,33,5,8
10,25012,282001006,91002,2,25021,8,2,33,6,9
10,25012,282001007,91002,2,25021,8,2,34,7,9
10,25012,282001008,91002,2,25021,8,2,35,8,9
10,25012,282001009,91002,2,25021,8,2,35,9,9
30,25012,282001010,91002,2,25021,8,2,37,10,10
10,25012,282001011,91002,2,25021,8,2,41,11,10
10,25012,282001012,91002,2,25021,8,2,43,12,11
10,25012,282001013,91002,2,25021,8,2,46,13,11
10,25012,282001014,91002,2,25021,8,2,48,14,12
10,25012,282001015,91002,2,25021,8,2,50,15,12
10,25012,282001016,91002,2,25021,8,2,53,16,13
10,25012,282001017,91002,2,25021,8,2,55,17,14
10,25012,282001018,91002,2,25021,8,2,58,18,14
10,25012,282001019,91002,2,25021,8,2,60,19,15
30,25012,282001020,91002,2,25021,8,2,62,20,15
10,25012,282001021,91002,2,25021,8,2,68,21,16
10,25012,282001022,91002,2,25021,8,2,70,22,16
10,25012,282001023,91002,2,25021,8,2,72,23,16
10,25012,282001024,91002,2,25021,8,2,75,24,17
10,25012,282001025,91002,2,25021,8,2,77,25,18
10,25012,282001026,91002,2,25021,8,2,79,26,18
10,25012,282001027,91002,2,25021,8,2,82,27,19
10,25012,282001028,91002,2,25021,8,2,84,28,19
10,25012,282001029,91002,2,25021,8,2,86,29,19
30,25012,282001030,91002,2,25021,8,2,89,30,20
10,25012,282001031,91002,2,25021,8,2,94,31,20
10,25012,282001032,91002,2,25021,8,2,96,32,21
10,25012,282001033,91002,2,25021,8,2,99,33,21
10,25012,282001034,91002,2,25021,8,2,101,34,22
10,25012,282001035,91002,2,25021,8,2,103,35,22
10,25012,282001036,91002,2,25021,8,2,106,36,23
10,25012,282001037,91002,2,25021,8,2,108,37,23
10,25012,282001038,91002,2,25021,8,2,111,38,24
10,25012,282001039,91002,2,25021,8,2,113,39,25
30,25012,282001040,91002,2,25021,8,2,115,40,25
10,25012,282001041,91002,2,25021,8,2,121,41,26
10,25012,282001042,91002,2,25021,8,2,123,42,27
10,25012,282001043,91002,2,25021,8,2,125,43,28
10,25012,282001044,91002,2,25021,8,2,128,44,28
10,25012,282001045,91002,2,25021,8,2,130,45,29
10,25012,282001046,91002,2,25021,8,2,132,46,30
10,25012,282001047,91002,2,25021,8,2,135,47,30
10,25012,282001048,91002,2,25021,8,2,137,48,31
10,25012,282001049,91002,2,25021,8,2,139,49,31
30,25012,282001050,91002,2,25021,8,2,142,50,31
10,25012,282001051,91002,2,25021,8,2,144,51,32
10,25012,282001052,91002,2,25021,8,2,146,52,32
10,25012,282001053,91002,2,25021,8,2,149,53,32
10,25012,282001054,91002,2,25021,8,2,152,54,33
10,25012,282001055,91002,2,25021,8,2,155,55,33
10,25012,282001056,91002,2,25021,8,2,157,56,33
10,25012,282001057,91002,2,25021,8,2,160,57,34
10,25012,282001058,91002,2,25021,8,2,163,58,34
10,25012,282001059,91002,2,25021,8,2,166,59,34
30,25012,282001060,91002,2,25021,8,2,169,60,35
10,25012,282001061,91002,2,25021,8,2,171,61,35
10,25012,282001062,91002,2,25021,8,2,174,62,35
10,25012,282001063,91002,2,25021,8,2,177,63,36
10,25012,282001064,91002,2,25021,8,2,180,64,36
10,25012,282001065,91002,2,25021,8,2,182,65,36
10,25012,282001066,91002,2,25021,8,2,185,66,37
10,25012,282001067,91002,2,25021,8,2,187,67,37
10,25012,282001068,91002,2,25021,8,2,190,68,37
10,25012,282001069,91002,2,25021,8,2,193,69,38
30,25012,282001070,91002,2,25021,8,2,196,70,38
