row_15,row_26,row_18,row_8,row_9,row_7,row_28,row_42,row_30,row_1,row_50,row_17,row_36,row_56,row_47,row_3,row_2,row_53,row_29,row_41,row_38,row_20,row_40,row_37,row_27,row_51,row_39,row_24,row_25,row_44,row_22,row_43,row_54,row_19,row_32,lane,row_11,row_49,row_23,row_21,row_31,row_48,row_16,row_13,id,row_5,row_33,frame_id,row_4,row_59,row_52,row_14,row_45,min_clear_num,row_60,row_10,row_46,row_6,difficulty,row_12,row_57,row_55,row_35,row_58,row_34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100101,0,401,101,0,0,0,0,0,-6,0,0,140,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100102,0,0,101,0,0,0,0,0,-6,0,0,402,0,1,0,0,0,0,150,0
0,303,0,0,0,0,303,303,303,0,0,0,303,303,303,0,0,303,303,303,303,102,303,303,303,142,303,303,303,303,303,303,303,0,303,3,0,0,303,303,303,303,0,0,100103,0,303,101,0,303,303,0,303,-6,303,0,303,0,1,405,303,303,303,303,303
0,0,0,0,0,0,120,0,0,0,301,0,130,0,0,0,0,0,0,0,0,201,405,0,0,301,0,401,0,150,0,0,0,0,402,4,0,301,0,0,0,405,0,0,100104,0,0,101,0,0,150,0,0,-6,410,0,0,0,1,0,0,0,0,0,0
0,301,0,0,0,0,301,301,301,0,301,0,301,301,301,0,0,301,301,301,301,118,301,301,301,301,301,301,301,301,301,301,301,0,301,5,0,301,301,301,301,301,0,0,100105,0,301,101,0,301,301,0,301,-6,301,0,301,0,1,0,301,301,301,301,301
0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100201,0,0,102,0,0,0,0,0,-7,0,0,130,0,1,0,0,0,0,0,120
0,0,0,0,405,0,120,0,0,0,0,0,303,303,303,0,0,0,0,0,303,201,130,303,0,0,0,404,0,303,0,0,0,0,0,2,0,303,0,0,0,303,0,0,100202,0,303,102,0,0,150,0,303,-7,410,0,303,0,1,0,0,0,303,0,303
0,301,0,0,0,0,301,301,301,0,301,0,0,403,0,0,0,301,301,301,0,105,301,0,301,301,301,301,301,0,301,301,301,0,301,3,0,0,301,301,301,0,0,0,100203,0,0,102,0,301,301,0,0,-7,301,0,0,0,1,0,301,301,132,301,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100204,0,0,102,0,0,0,0,0,-7,0,0,113,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,124,5,0,0,0,0,0,0,0,0,100205,0,0,102,0,0,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,0
0,303,0,0,0,0,303,303,303,0,303,0,303,303,303,0,0,303,303,303,303,103,303,303,303,303,303,303,303,303,303,401,303,0,303,1,0,303,303,303,401,303,0,0,100301,0,303,103,0,303,303,0,303,-6,303,0,303,0,1,0,303,303,303,402,303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,301,0,0,0,2,403,0,0,0,301,0,0,0,100302,0,0,103,0,0,0,0,0,-6,0,0,140,0,1,0,0,0,0,301,0
0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,123,130,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100303,0,0,103,0,0,150,0,0,-6,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100304,0,0,103,0,0,0,0,0,-6,410,0,0,402,1,0,0,0,0,0,120
0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,407,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,100305,0,0,103,0,0,0,0,0,-6,0,0,0,0,1,0,0,0,0,0,0
0,303,0,0,0,0,303,303,303,0,303,0,303,303,303,0,0,402,303,303,303,105,303,303,303,303,303,303,303,303,303,303,303,0,303,1,0,303,303,303,303,303,0,0,100401,0,303,104,0,303,303,0,303,-5,303,0,303,0,1,0,303,303,403,303,303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,127,0,0,0,0,0,0,0,150,0,0,0,0,0,2,403,0,0,0,0,0,0,0,100402,0,0,104,0,0,0,0,0,-5,407,0,0,0,1,0,0,0,301,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,201,0,0,0,0,0,0,405,0,0,0,0,0,0,3,0,405,0,0,0,0,0,0,100403,0,0,104,0,0,0,0,0,-5,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,145,0,0,0,0,0,0,0,0,0,0,405,0,150,4,0,0,0,0,0,0,0,0,100404,0,0,104,0,0,0,0,0,-5,0,0,0,0,1,0,0,0,0,303,0
0,301,0,0,0,0,301,301,301,0,301,0,301,301,301,0,0,301,402,301,301,104,301,301,301,301,301,301,301,301,301,301,301,0,301,5,0,301,301,301,301,301,0,0,100405,0,301,104,0,301,301,0,301,-5,301,0,301,402,1,0,301,301,301,402,301
0,0,0,0,0,0,0,303,0,0,0,0,303,0,0,0,0,0,0,303,303,111,303,303,0,0,303,0,0,303,0,303,0,0,303,1,0,0,0,0,0,0,0,0,100501,0,303,105,0,0,0,0,303,-5,0,0,0,0,1,0,0,0,303,0,303
0,0,0,0,0,0,0,410,0,0,0,0,407,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,150,0,0,0,100502,0,0,105,0,0,0,0,0,-5,0,0,150,0,1,403,0,0,0,0,0
0,0,0,0,0,0,0,301,0,0,0,0,301,0,0,0,0,405,0,301,301,105,301,301,0,0,301,0,0,301,0,301,0,0,301,3,0,0,0,0,0,0,0,0,100503,0,301,105,0,0,0,0,301,-5,0,0,0,0,1,0,0,0,301,0,301
0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,112,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100504,0,0,105,0,0,0,0,0,-5,150,0,0,0,1,0,0,0,0,0,0
