reward_type_2,reward_id_1,lap_num_to,reward_num_1,reward_type_1,id,reward_num_5,reward_type_5,reward_num_2,lap_num_from,reward_id_4,reward_id_2,clan_battle_id,reward_num_3,reward_id_5,period,reward_type_4,reward_num_4,reward_id_3,reward_type_3,ranking_bonus_group
2,91002,1,500,8,1,0,0,500,1,0,90006,1001,5,0,1,0,0,31043,2,0
2,91002,2,1000,8,2,0,0,1000,2,0,90006,1001,8,0,1,0,0,31043,2,0
2,91002,3,1500,8,3,0,0,1500,3,0,90006,1001,10,0,1,0,0,31043,2,0
2,91002,4,2000,8,4,0,0,2000,4,0,90006,1001,12,0,1,0,0,31043,2,0
2,91002,5,2500,8,5,0,0,2500,5,0,90006,1001,14,0,1,0,0,31043,2,0
2,91002,6,3000,8,6,0,0,3000,6,0,90006,1001,16,0,1,0,0,31043,2,0
2,91002,7,3500,8,7,0,0,3500,7,0,90006,1001,18,0,1,0,0,31043,2,0
2,91002,9,4000,8,8,0,0,4000,8,0,90006,1001,20,0,1,0,0,31043,2,0
2,91002,-1,4500,8,9,0,0,4500,10,0,90006,1001,25,0,1,0,0,31043,2,0
2,91002,1,500,8,10,0,0,500,1,0,90006,1002,5,0,1,0,0,31022,2,0
2,91002,2,1000,8,11,0,0,1000,2,0,90006,1002,8,0,1,0,0,31022,2,0
2,91002,3,1500,8,12,0,0,1500,3,0,90006,1002,10,0,1,0,0,31022,2,0
2,91002,4,2000,8,13,0,0,2000,4,0,90006,1002,12,0,1,0,0,31022,2,0
2,91002,5,2500,8,14,0,0,2500,5,0,90006,1002,14,0,1,0,0,31022,2,0
2,91002,6,3000,8,15,0,0,3000,6,0,90006,1002,16,0,1,0,0,31022,2,0
2,91002,7,3500,8,16,0,0,3500,7,0,90006,1002,18,0,1,0,0,31022,2,0
2,91002,8,4000,8,17,0,0,4000,8,0,90006,1002,20,0,1,0,0,31022,2,0
2,91002,9,4500,8,18,0,0,4500,9,0,90006,1002,25,0,1,0,0,31022,2,0
2,91002,-1,5000,8,19,0,0,5000,10,0,90006,1002,30,0,1,0,0,31022,2,0
2,91002,1,500,8,20,0,0,500,1,0,90006,1003,5,0,1,0,0,31042,2,0
2,91002,2,1000,8,21,0,0,1000,2,0,90006,1003,8,0,1,0,0,31042,2,0
2,91002,3,1500,8,22,0,0,1500,3,0,90006,1003,10,0,1,0,0,31042,2,0
2,91002,4,2000,8,23,0,0,2000,4,0,90006,1003,12,0,1,0,0,31042,2,0
