enemy_size_5,reward_count_3,enemy_local_position_y_2,enemy_local_position_y_3,wave_bgm,enemy_size_4,enemy_position_x_5,quest_name,reward_group_id,reward_count_1,treasure_type,background,reward_count_4,limit_time,reward_image_3,enemy_size_3,reward_count_5,enemy_position_x_4,unit_id,recommended_level,enemy_size_1,reward_image_5,wave_group_id,rarity_6_quest_id,enemy_local_position_y_5,reward_image_2,enemy_size_2,enemy_local_position_y_4,enemy_position_x_3,enemy_local_position_y_1,enemy_position_x_1,reward_count_2,reward_image_4,enemy_position_x_2,reward_image_1,bg_position
0.8,5,0,0,bgm_M259,0.8,376,"히요리의 해방 퀘스트",222001001,100,1,102011,5,90,115556,0.8,0,188,100101,151,0.8,0,220011001,2200001,0,20004,0.8,0,-1,0,-376,10,115106,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"유이의 해방 퀘스트",222001002,100,1,102011,5,90,115586,0.8,0,188,100201,151,0.8,0,220021001,2200002,0,20004,0.8,0,-1,0,-376,10,125256,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"레이의 해방 퀘스트",222001003,100,1,102011,5,90,115556,0.8,0,188,100301,151,0.8,0,220031001,2200003,0,20004,0.8,0,-1,0,-376,10,125016,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"미소기의 해방 퀘스트",222001004,100,1,102011,5,90,126103,0.8,0,188,100401,187,0.8,0,220041001,2200004,0,20004,0.8,0,-1,0,-376,10,116133,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"마츠리의 해방 퀘스트",222001005,100,1,102011,5,90,129312,0.6,0,188,100501,274,0.8,0,220051001,2200005,0,20004,0.8,0,-1,0,-376,10,119432,-188,91002,50
0.6,5,0,0,bgm_M259,0.8,376,"아카리의 해방 퀘스트",222001006,100,1,102011,5,90,116612,0.8,0,188,100601,181,0.8,0,220061001,2200006,0,20004,0.6,0,-1,0,-376,10,116582,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"미야코의 해방 퀘스트",222001007,100,1,102011,5,90,128162,0.6,0,188,100701,232,0.8,0,220071001,2200007,0,20004,0.8,0,-1,0,-376,10,118012,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"유키의 해방 퀘스트",222001008,100,1,102011,5,90,119252,0.6,0,188,100801,268,0.8,0,220081001,2200008,0,20004,0.8,0,-1,0,-376,10,119012,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"안나의 해방 퀘스트",222001009,100,1,102011,5,90,119611,0.8,0,188,100901,262,0.8,0,220091001,2200009,0,20004,0.6,0,-1,0,-376,10,119551,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"마호의 해방 퀘스트",222001010,100,1,102011,5,90,125256,0.8,0,188,101001,148,0.8,0,220101001,2200010,0,20004,0.8,0,-1,0,-376,10,125463,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"리노의 해방 퀘스트",222001011,100,1,102011,5,90,115554,0.8,0,188,101101,136,0.8,0,220111001,2200011,0,20004,0.8,0,-1,0,-376,10,125134,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"하츠네의 해방 퀘스트",222001012,100,1,102011,5,90,115616,0.8,0,188,101201,154,0.8,0,220121001,2200012,0,20004,0.8,0,-1,0,-376,10,125226,-188,91002,50
