mode_start_story_id,trigger_hp,appear_time,mode,purpose_count,purpose_type,wave_group_id,story_start_second,quest_id,mode_end_story_id,start_idle_trigger,action_start_second
5201321,70,0.0,1,0,1,610201102,5.5,10201201,5201322,0.0,5.0
0,0,3.0,2,15,3,610201103,1.5,10201201,5201323,600.0,5.0
0,0,0.0,3,0,1,610201104,1.5,10201201,0,0.0,5.0
0,70,0.0,1,0,1,610201105,5.5,10201501,0,0.0,5.0
0,0,3.0,2,15,3,610201106,1.5,10201501,0,600.0,5.0
0,0,0.0,3,0,1,610201107,1.5,10201501,0,0.0,5.0
5201331,0,3.0,1,0,2,610201152,5.5,10201251,5201332,600.0,5.0
0,65,0.0,2,0,1,610201153,1.5,10201251,5201333,0.0,5.0
0,0,0.0,3,0,1,610201154,1.5,10201251,0,0.0,5.0
0,0,3.0,1,0,2,610201155,5.5,10201551,0,600.0,5.0
0,65,0.0,2,0,1,610201156,1.5,10201551,0,0.0,5.0
0,0,0.0,3,0,1,610201157,1.5,10201551,0,0.0,5.0
