id,condition_id,param2,event_type,target_event_id,param1
10008001,10008103,0,1,10008,1
10008002,10008104,0,1,10008,2
10008003,10008105,0,1,10008,3
10008004,10008107,0,1,10008,4
10008005,10008111,0,1,10008,5
10008006,0,0,2,10008,201
10008201,10008105,0,201,10008,101
10008202,10008107,0,201,10008,102
10008203,10008111,0,201,10008,103
10008204,10008115,0,202,10008,111
10008301,0,0,101,10008,105601
10008302,10008103,0,101,10008,100901
10008303,10008104,0,101,10008,101301
10008304,10008105,0,101,10008,105601
10008305,10008107,0,101,10008,101301
10008306,10008111,0,101,10008,100901
10008307,0,0,102,10008,105601
10010001,0,0,2,10010,201
10010002,10010112,0,1,10010,2
10010003,10010115,0,1,10010,3
10010004,10010103,0,1,10010,4
10010005,10010105,0,1,10010,5
10010006,10010107,0,1,10010,6
10010007,10010109,0,1,10010,7
10010201,10010112,0,211,10010,101
10010202,10010115,0,211,10010,0
10010501,10010110,101471,501,10010,101461
10010502,10010110,101472,501,10010,101462
10010503,10010110,101473,501,10010,101463
10010531,1001004,0,3,10010,211
10012001,1001201,0,4,10012,1
10012002,1001202,0,4,10012,2
10012003,1001203,0,4,10012,3
10012004,1001204,0,4,10012,4
10012301,1001201,0,5,10012,101
10012302,1001202,0,5,10012,101
10012303,1001203,0,5,10012,101
10012401,0,0,6,10012,501
10012531,1001204,0,3,10012,211
10013531,1001304,0,3,10013,211
10015531,1001504,0,3,10015,211
10017001,10017102,0,1,10017,1
10017002,10017108,0,1,10017,2
10017003,10017115,0,1,10017,3
10017301,0,0,101,10017,105801
10017302,10017102,0,101,10017,109901
10017303,0,0,102,10017,109901
10017531,1001704,0,3,10017,211
10021001,10021112,101931,501,10021,101921
10021002,10021112,101932,501,10021,101922
10021003,10021112,101933,501,10021,101923
10021004,10021112,100351,501,10021,100011
10021005,10021112,100352,501,10021,100012
10021006,10021112,100353,501,10021,100013
10021007,10021112,100354,501,10021,100014
10021008,10021112,100355,501,10021,100015
10021009,10021112,100356,501,10021,100016
10021010,10021112,100357,501,10021,100017
10021011,10021112,100358,501,10021,100018
10021012,10021112,100359,501,10021,100019
10039531,1003904,0,3,10039,211
10053001,10053102,0,1,10053,1
10053002,10053108,0,1,10053,2
10053003,10053115,0,1,10053,3
10053301,0,0,101,10053,105801
10053302,10053102,0,101,10053,109901
10053303,0,0,102,10053,109901
10053531,1005304,0,3,10053,211
10084001,10084102,0,1,10084,1
10084002,10084112,0,1,10084,2
10084003,10084115,0,1,10084,3
10085001,10085102,0,1,10085,1
10085002,10085108,0,1,10085,2
10085003,10085115,0,1,10085,3
10112001,10112102,0,1,10112,1
10112002,10112112,0,1,10112,2
10112003,10112115,0,1,10112,3
10113001,10113102,0,1,10113,1
10113002,10113108,0,1,10113,2
10113003,10113115,0,1,10113,3
20008001,20008103,0,1,20008,1
20008002,20008104,0,1,20008,2
20008003,20008105,0,1,20008,3
20008004,20008107,0,1,20008,4
20008005,20008111,0,1,20008,5
20008006,0,0,2,20008,201
20008201,20008105,0,201,20008,101
20008202,20008107,0,201,20008,102
20008203,20008111,0,201,20008,103
20008204,20008115,0,202,20008,111
20008301,0,0,101,20008,105601
20008302,20008103,0,101,20008,100901
20008303,20008104,0,101,20008,101301
20008304,20008105,0,101,20008,105601
20008305,20008107,0,101,20008,101301
20008306,20008111,0,101,20008,100901
20008307,0,0,102,20008,105601
20010001,0,0,2,20010,201
20010002,20010110,0,1,20010,1
20010003,20010112,0,1,20010,2
20010004,20010115,0,1,20010,3
20010005,20010103,0,1,20010,4
20010006,20010105,0,1,20010,5
20010007,20010107,0,1,20010,6
20010008,20010109,0,1,20010,7
20010201,20010112,0,211,20010,101
20010202,20010115,0,211,20010,0
20010501,20010110,101471,501,20010,101461
20010502,20010110,101472,501,20010,101462
20010503,20010110,101473,501,20010,101463
20010531,2001004,0,3,20010,211
20012001,2001201,0,4,20012,1
20012002,2001202,0,4,20012,2
20012003,2001203,0,4,20012,3
20012004,2001204,0,4,20012,4
20012301,2001201,0,5,20012,101
20012302,2001202,0,5,20012,101
20012303,2001203,0,5,20012,101
20012401,0,0,6,20012,501
20012531,2001204,0,3,20012,211
20014531,2001404,0,3,20014,211
20016001,20016112,101931,501,20016,101921
20016002,20016112,101932,501,20016,101922
20016003,20016112,101933,501,20016,101923
20016004,20016112,100351,501,20016,100011
20016005,20016112,100352,501,20016,100012
20016006,20016112,100353,501,20016,100013
20016007,20016112,100354,501,20016,100014
20016008,20016112,100355,501,20016,100015
20016009,20016112,100356,501,20016,100016
20016010,20016112,100357,501,20016,100017
20016011,20016112,100358,501,20016,100018
20016012,20016112,100359,501,20016,100019
20046001,20046102,0,1,20046,1
20046002,20046112,0,1,20046,2
20046003,20046115,0,1,20046,3
20047001,20047102,0,1,20047,1
20047002,20047108,0,1,20047,2
20047003,20047115,0,1,20047,3
