consume_num,enhance_id_5,enhance_id_4,enhance_id_3,item_id,enhance_id_2,enhance_id_1,consume_gold,reward_type,enhance_level_id
220,0,0,0,25021,0,111,500000,2,101
220,0,0,0,25021,0,121,500000,2,102
220,0,0,0,25021,0,131,500000,2,103
220,0,0,0,25021,0,141,500000,2,104
220,0,0,0,25021,0,151,500000,2,105
220,0,0,0,25021,0,211,500000,2,201
220,0,0,0,25021,0,221,500000,2,202
220,0,0,0,25021,0,231,500000,2,203
220,0,0,0,25021,0,241,500000,2,204
220,0,0,0,25021,0,251,500000,2,205
220,0,0,0,25021,0,311,500000,2,301
220,0,0,0,25021,0,321,500000,2,302
220,0,0,0,25021,0,331,500000,2,303
220,0,0,0,25021,0,341,500000,2,304
220,0,0,0,25021,0,351,500000,2,305
220,0,0,0,25021,0,411,500000,2,401
220,0,0,0,25021,0,421,500000,2,402
220,0,0,0,25021,0,431,500000,2,403
220,0,0,0,25021,0,441,500000,2,404
220,0,0,0,25021,0,451,500000,2,405
220,0,0,0,25021,0,511,500000,2,501
220,0,0,0,25021,0,521,500000,2,502
220,0,0,0,25021,0,531,500000,2,503
220,0,0,0,25021,0,541,500000,2,504
220,0,0,0,25021,0,551,500000,2,505
220,0,0,0,25021,0,611,500000,2,601
220,0,0,0,25021,0,621,500000,2,602
220,0,0,0,25021,0,631,500000,2,603
220,0,0,0,25021,0,641,500000,2,604
220,0,0,0,25021,0,651,500000,2,605
220,0,0,0,25021,0,711,500000,2,701
220,0,0,0,25021,0,721,500000,2,702
220,0,0,0,25021,0,731,500000,2,703
220,0,0,0,25021,0,741,500000,2,704
220,0,0,0,25021,0,751,500000,2,705
1100,0,0,0,25021,0,811,500000,2,801
220,0,0,0,25021,0,911,500000,2,901
220,0,0,0,25021,0,921,500000,2,902
220,0,0,0,25021,0,931,500000,2,903
220,0,0,0,25021,0,941,500000,2,904
220,0,0,0,25021,0,951,500000,2,905
1100,0,0,0,25021,0,1011,500000,2,1001
220,0,0,0,25021,0,1111,500000,2,1101
220,0,0,0,25021,0,1121,500000,2,1102
220,0,0,0,25021,0,1131,500000,2,1103
220,0,0,0,25021,0,1141,500000,2,1104
220,0,0,0,25021,0,1151,500000,2,1105
220,0,0,0,25021,0,1211,500000,2,1201
220,0,0,0,25021,0,1221,500000,2,1202
220,0,0,0,25021,0,1231,500000,2,1203
220,0,0,0,25021,0,1241,500000,2,1204
