reward_id_1,reward_num_2,reward_id_3,reward_type_1,id,reward_type_2,reward_num_3,reward_id_2,reward_num_1,reward_group_id,reward_type_3
91002,8,25011,8,1,2,31,25021,10,281001001,2
91002,8,25011,8,2,2,31,25021,10,281001002,2
91002,8,25011,8,3,2,32,25021,10,281001003,2
91002,8,25011,8,4,2,32,25021,10,281001004,2
91002,8,25011,8,5,2,33,25021,10,281001005,2
91002,9,25011,8,6,2,33,25021,10,281001006,2
91002,9,25011,8,7,2,34,25021,10,281001007,2
91002,9,25011,8,8,2,35,25021,10,281001008,2
91002,9,25011,8,9,2,35,25021,10,281001009,2
91002,10,25011,8,10,2,37,25021,30,281001010,2
91002,10,25011,8,11,2,41,25021,10,281001011,2
91002,11,25011,8,12,2,43,25021,10,281001012,2
91002,11,25011,8,13,2,46,25021,10,281001013,2
91002,12,25011,8,14,2,48,25021,10,281001014,2
91002,12,25011,8,15,2,50,25021,10,281001015,2
91002,13,25011,8,16,2,53,25021,10,281001016,2
91002,14,25011,8,17,2,55,25021,10,281001017,2
91002,14,25011,8,18,2,58,25021,10,281001018,2
91002,15,25011,8,19,2,60,25021,10,281001019,2
91002,15,25011,8,20,2,62,25021,30,281001020,2
91002,16,25011,8,21,2,68,25021,10,281001021,2
91002,16,25011,8,22,2,70,25021,10,281001022,2
91002,16,25011,8,23,2,72,25021,10,281001023,2
91002,17,25011,8,24,2,75,25021,10,281001024,2
91002,18,25011,8,25,2,77,25021,10,281001025,2
91002,18,25011,8,26,2,79,25021,10,281001026,2
91002,19,25011,8,27,2,82,25021,10,281001027,2
91002,19,25011,8,28,2,84,25021,10,281001028,2
91002,19,25011,8,29,2,86,25021,10,281001029,2
91002,20,25011,8,30,2,89,25021,30,281001030,2
91002,20,25011,8,31,2,94,25021,10,281001031,2
91002,21,25011,8,32,2,96,25021,10,281001032,2
91002,21,25011,8,33,2,99,25021,10,281001033,2
91002,22,25011,8,34,2,101,25021,10,281001034,2
91002,22,25011,8,35,2,103,25021,10,281001035,2
91002,23,25011,8,36,2,106,25021,10,281001036,2
91002,23,25011,8,37,2,108,25021,10,281001037,2
91002,24,25011,8,38,2,111,25021,10,281001038,2
91002,25,25011,8,39,2,113,25021,10,281001039,2
91002,25,25011,8,40,2,115,25021,30,281001040,2
91002,26,25011,8,41,2,121,25021,10,281001041,2
91002,27,25011,8,42,2,123,25021,10,281001042,2
91002,28,25011,8,43,2,125,25021,10,281001043,2
91002,28,25011,8,44,2,128,25021,10,281001044,2
91002,29,25011,8,45,2,130,25021,10,281001045,2
91002,30,25011,8,46,2,132,25021,10,281001046,2
91002,30,25011,8,47,2,135,25021,10,281001047,2
91002,31,25011,8,48,2,137,25021,10,281001048,2
91002,31,25011,8,49,2,139,25021,10,281001049,2
91002,31,25011,8,50,2,142,25021,30,281001050,2
91002,32,25011,8,51,2,144,25021,10,281001051,2
91002,32,25011,8,52,2,146,25021,10,281001052,2
91002,32,25011,8,53,2,149,25021,10,281001053,2
91002,33,25011,8,54,2,152,25021,10,281001054,2
91002,33,25011,8,55,2,155,25021,10,281001055,2
91002,33,25011,8,56,2,157,25021,10,281001056,2
91002,34,25011,8,57,2,160,25021,10,281001057,2
91002,34,25011,8,58,2,163,25021,10,281001058,2
91002,34,25011,8,59,2,166,25021,10,281001059,2
91002,35,25011,8,60,2,169,25021,30,281001060,2
91002,35,25011,8,61,2,171,25021,10,281001061,2
91002,35,25011,8,62,2,174,25021,10,281001062,2
91002,36,25011,8,63,2,177,25021,10,281001063,2
91002,36,25011,8,64,2,180,25021,10,281001064,2
91002,36,25011,8,65,2,182,25021,10,281001065,2
91002,37,25011,8,66,2,185,25021,10,281001066,2
91002,37,25011,8,67,2,187,25021,10,281001067,2
91002,37,25011,8,68,2,190,25021,10,281001068,2
91002,38,25011,8,69,2,193,25021,10,281001069,2
91002,38,25011,8,70,2,196,25021,30,281001070,2
