ex_skill_lv_3,life_steal,hp,rarity,ex_skill_lv_1,resist_status_id,energy_recovery_rate,promotion_level,main_skill_lv_4,level,dodge,virtual_hp,physical_penetrate,energy_reduce_rate,unique_equipment_flag_1,wave_energy_recovery,unit_id,magic_critical,ex_skill_lv_5,def,enemy_id,magic_penetrate,main_skill_lv_9,ex_skill_lv_4,main_skill_lv_5,magic_str,ex_skill_lv_2,main_skill_lv_2,magic_def,atk,main_skill_lv_10,accuracy,main_skill_lv_3,main_skill_lv_1,break_durability,physical_critical,main_skill_lv_8,union_burst_level,hp_recovery_rate,resist_variation_id,wave_hp_recovery,main_skill_lv_6,name,main_skill_lv_7
0,0,175,1,0,200000001,30,1,10,10,1,0,0,0,0,0,202100,10,0,9,100000001,0,0,0,0,0,0,10,3,33,0,0,10,10,0,10,0,10,0,0,0,0,"빛나는 버섯",0
0,0,230,1,0,200000003,30,1,10,10,1,0,0,0,0,0,201200,6,0,20,100000002,0,0,0,0,0,0,10,10,14,0,0,10,10,0,10,0,10,0,0,0,0,"골렘",0
0,0,200000,1,0,200000003,30,1,10,200,1,0,0,0,0,0,205701,6,0,180,100000004,0,0,0,0,0,0,10,240,10000,0,0,10,10,0,10,0,200,0,0,0,0,"보니",0
0,0,154,1,0,200000001,30,1,1,1,1,0,0,0,0,0,200600,10,0,3,101010101,0,0,0,0,0,0,1,2,28,0,0,1,1,0,10,0,1,0,0,0,0,"랫튼",0
0,0,316,1,0,200000006,30,1,1,1,1,0,0,0,0,0,200700,10,0,3,101010102,0,0,0,0,18,0,1,2,0,0,0,1,1,0,10,0,1,0,0,0,0,"우드 소울",0
0,0,301,1,0,200000001,30,1,1,1,1,0,0,0,0,0,200900,10,0,3,101010103,0,0,0,0,0,0,1,2,28,0,0,1,1,0,10,0,1,0,0,0,0,"스탬프",0
0,0,355,1,0,200000001,30,1,1,1,1,0,0,0,0,0,204000,10,0,3,101010104,0,0,0,0,0,0,1,2,38,0,0,1,1,0,10,0,1,0,0,0,0,"쁘띠 그리핀",0
0,0,204,1,0,200000001,30,1,1,1,1,0,0,0,0,0,200600,10,0,3,101010201,0,0,0,0,0,0,1,2,43,0,0,1,1,0,10,0,1,0,0,0,0,"랫튼",0
0,0,356,1,0,200000006,30,1,1,1,1,0,0,0,0,0,200700,10,0,3,101010202,0,0,0,0,23,0,1,2,0,0,0,1,1,0,10,0,1,0,0,0,0,"우드 소울",0
0,0,228,1,0,200000001,30,1,1,1,1,0,0,0,0,0,203000,10,0,3,101010203,0,0,0,0,26,0,1,2,0,0,0,1,1,0,10,0,1,0,0,0,0,"젤라티나",0
0,0,338,1,0,200000006,30,1,3,2,1,0,0,0,0,0,200100,10,0,9,101010301,0,0,0,0,0,0,3,3,28,0,0,3,3,0,10,0,2,0,0,0,0,"우끼끼",0
0,0,464,1,0,200000001,30,1,3,2,1,0,0,0,0,0,200900,10,0,9,101010302,0,0,0,0,0,0,3,3,43,0,0,3,3,0,10,0,2,0,0,0,0,"스탬프",0
0,0,409,1,0,200000001,30,1,3,2,1,0,0,0,0,0,201100,10,0,9,101010303,0,0,0,0,0,0,3,3,28,0,0,3,3,0,10,0,2,0,0,0,0,"코볼트",0
0,0,620,1,0,200000001,30,1,3,2,1,0,0,0,0,0,204000,10,0,10,101010304,0,0,0,0,0,0,3,3,53,0,0,3,3,0,10,0,2,0,0,0,0,"쁘띠 그리핀",0
0,0,346,1,0,200000006,30,1,4,2,1,0,0,0,0,0,200100,10,0,9,101010401,0,0,0,0,0,0,4,3,28,0,0,4,4,0,10,0,2,0,0,0,0,"우끼끼",0
0,0,364,1,0,200000006,30,1,4,2,1,0,0,0,0,0,200700,10,0,8,101010402,0,0,0,0,23,0,4,3,0,0,0,4,4,0,10,0,2,0,0,0,0,"우드 소울",0
0,0,492,1,0,200000001,30,1,4,2,1,0,0,0,0,0,200900,10,0,9,101010403,0,0,0,0,0,0,4,3,30,0,0,4,4,0,10,0,2,0,0,0,0,"스탬프",0
