character_name,change_face_type,pos_x,character_id,start_time,face_type,comment_id,event_id,end_time,where_type,change_face_time,description,voice_id,pos_y
"린",1,0.0,102601,"2021/05/31 15:00:00",1,24001,10040,"2030/12/17 14:59:59",24,0.0,"나도 할 때는\n한다고!",0,0.0
"린",1,0.0,102601,"2021/05/31 15:00:00",1,24002,10040,"2030/12/17 14:59:59",24,0.0,"후우…\n이걸로 내 일은\n끝났네",1,0.0
"린",1,0.0,102601,"2021/05/31 15:00:00",1,24003,10040,"2030/12/17 14:59:59",24,0.0,"끝났다 끝났어\n혼자서도 어떻게든\n되는구나",2,0.0
"린",2,0.0,102601,"2021/05/31 15:00:00",2,24004,10040,"2030/12/17 14:59:59",24,0.0,"해냈다!\n이제 드디어\n땡땡이칠 수 있어…",3,0.0
"린",1,0.0,102601,"2021/05/31 15:00:00",1,24005,10040,"2030/12/17 14:59:59",24,0.0,"치즈를 원하면\n제대로 일해서\n사러 와",4,0.0
"린",2,0.0,102601,"2021/05/31 15:00:00",2,24006,10040,"2030/12/17 14:59:59",24,0.0,"날 적으로 돌린\n무서움을\n깨달았냐!",5,0.0
"린",2,0.0,102601,"2021/05/31 15:00:00",2,24007,10040,"2030/12/17 14:59:59",24,0.0,"나도 의외로\n꽤 하지?",6,0.0
"린",4,0.0,102601,"2021/05/31 15:00:00",4,24008,10040,"2030/12/17 14:59:59",24,0.0,"피곤해…\n쥐 도망치는 거\n너무 빨라…",7,0.0
"린",4,0.0,102601,"2021/05/31 15:00:00",4,24009,10040,"2030/12/17 14:59:59",24,0.0,"이대로라면\n맛히한테\n혼날 거야",8,0.0
"린",4,0.0,102601,"2021/05/31 15:00:00",4,24010,10040,"2030/12/17 14:59:59",24,0.0,"성실하게\n했는데 말이지…\n속상해~",9,0.0
"린",4,0.0,102601,"2021/05/31 15:00:00",4,24011,10040,"2030/12/17 14:59:59",24,0.0,"당했어…\n쥐는 의외로\n만만치 않구나",10,0.0
"린",4,0.0,102601,"2021/05/31 15:00:00",4,24012,10040,"2030/12/17 14:59:59",24,0.0,"네 녀석~\n내 치즈를\n훔치다니~!",11,0.0
"린",1,0.0,102601,"2021/05/31 15:00:00",4,24013,10040,"2030/12/17 14:59:59",24,1.81,"피곤해…\n하지만 다음에야말로\n지켜낼 거야…",12,0.0
