abyss_id,clear_reward_group,use_ticket_num,limit_time,condition_boss_id,release_boss_id,score_rate,drop_reward_group,first_clear_score_bonus,boss_id,wave_group_id,difficulty
92407,924072101,1,90,0,92407120,1.0,924073101,500000000,92407110,924071100,1
92407,924072102,1,90,92407110,92407130,2.0,924073102,1000000000,92407120,924071200,2
92407,924072103,1,90,92407120,92407140,3.0,924073103,1500000000,92407130,924071300,3
92407,924072104,1,90,92407130,0,3.0,924073104,0,92407140,924071400,4
92407,924072201,1,90,0,92407220,1.0,924073201,500000000,92407210,924072100,1
92407,924072202,1,90,92407210,92407230,2.0,924073202,1000000000,92407220,924072200,2
92407,924072203,1,90,92407220,92407240,3.0,924073203,1500000000,92407230,924072300,3
92407,924072204,1,90,92407230,0,3.0,924073204,0,92407240,924072400,4
92407,924072301,1,90,0,92407320,1.0,924073301,500000000,92407310,924073100,1
92407,924072302,1,90,92407310,92407330,2.0,924073302,1000000000,92407320,924073200,2
92407,924072303,1,90,92407320,92407340,3.0,924073303,1500000000,92407330,924073300,3
92407,924072304,1,90,92407330,0,3.0,924073304,0,92407340,924073400,4
92408,924082101,1,90,0,92408120,1.0,924083101,500000000,92408110,924081100,1
92408,924082102,1,90,92408110,92408130,2.0,924083102,1000000000,92408120,924081200,2
92408,924082103,1,90,92408120,92408140,3.0,924083103,1500000000,92408130,924081300,3
92408,924082104,1,90,92408130,0,3.0,924083104,0,92408140,924081400,4
92408,924082201,1,90,0,92408220,1.0,924083201,500000000,92408210,924082100,1
92408,924082202,1,90,92408210,92408230,2.0,924083202,1000000000,92408220,924082200,2
92408,924082203,1,90,92408220,92408240,3.0,924083203,1500000000,92408230,924082300,3
92408,924082204,1,90,92408230,0,3.0,924083204,0,92408240,924082400,4
92408,924082301,1,90,0,92408320,1.0,924083301,500000000,92408310,924083100,1
92408,924082302,1,90,92408310,92408330,2.0,924083302,1000000000,92408320,924083200,2
92408,924082303,1,90,92408320,92408340,3.0,924083303,1500000000,92408330,924083300,3
92408,924082304,1,90,92408330,0,3.0,924083304,0,92408340,924083400,4
92409,924092101,1,90,0,92409120,1.0,924093101,500000000,92409110,924091100,1
92409,924092102,1,90,92409110,92409130,2.0,924093102,1000000000,92409120,924091200,2
92409,924092103,1,90,92409120,92409140,3.0,924093103,1500000000,92409130,924091300,3
92409,924092104,1,90,92409130,0,4.0,924093104,0,92409140,924091400,4
92409,924092201,1,90,0,92409220,1.0,924093201,500000000,92409210,924092100,1
92409,924092202,1,90,92409210,92409230,2.0,924093202,1000000000,92409220,924092200,2
92409,924092203,1,90,92409220,92409240,3.0,924093203,1500000000,92409230,924092300,3
92409,924092204,1,90,92409230,0,4.0,924093204,0,92409240,924092400,4
92409,924092301,1,90,0,92409320,1.0,924093301,500000000,92409310,924093100,1
92409,924092302,1,90,92409310,92409330,2.0,924093302,1000000000,92409320,924093200,2
92409,924092303,1,90,92409320,92409340,3.0,924093303,1500000000,92409330,924093300,3
92409,924092304,1,90,92409330,0,4.0,924093304,0,92409340,924093400,4
92410,924102101,1,90,0,92410120,1.0,924103101,500000000,92410110,924101100,1
92410,924102102,1,90,92410110,92410130,2.0,924103102,1000000000,92410120,924101200,2
92410,924102103,1,90,92410120,92410140,3.0,924103103,1500000000,92410130,924101300,3
92410,924102104,1,90,92410130,0,4.0,924103104,0,92410140,924101400,4
92410,924102201,1,90,0,92410220,1.0,924103201,500000000,92410210,924102100,1
92410,924102202,1,90,92410210,92410230,2.0,924103202,1000000000,92410220,924102200,2
92410,924102203,1,90,92410220,92410240,3.0,924103203,1500000000,92410230,924102300,3
92410,924102204,1,90,92410230,0,4.0,924103204,0,92410240,924102400,4
