main_reward_2,main_reward_1,need_power,limit_unit_num,travel_quest_name,travel_area_id,main_reward_4,icon_id,travel_quest_id,travel_time_decrease_limit,icon_y,main_reward_5,main_reward_3,situation_group_id,travel_time,travel_decrease_flag,icon_x
4104351,4101351,100000,10,"시오네\n수림",11001,4104401,11001001,11001001,7200,108,4201401,4101401,1,43200,1,-470
4110351,4106351,100000,10,"헬리케 거목",11001,4110401,11001002,11001002,7200,90,4203401,4106401,2,43200,1,-235
4105351,4102351,100000,10,"이오카스테\n바위 산",11001,4105401,11001003,11001003,7200,108,4201401,4102401,3,43200,1,0
4109351,4108351,100000,10,"하르파리\n대폭포",11001,4109401,11001004,11001004,7200,90,4203401,4108401,4,43200,1,235
4107351,4103351,100000,10,"므넴 강",11001,4107401,11001005,11001005,7200,108,4201401,4103401,5,43200,1,470
4101401,4301351,100000,10,"아르바 해빈 구릉",11002,4201401,11002003,11002001,7200,108,4301401,4104401,6,43200,1,-470
4106401,4305351,100000,10,"사달수드\n모래사장",11002,4203401,11002002,11002002,7200,90,4305401,4110401,7,43200,1,-235
4102401,4302351,100000,10,"달리크\n거암",11002,4201401,11002001,11002003,7200,108,4302401,4105401,8,43200,1,0
4108401,4304351,100000,10,"앙칼 강",11002,4203401,11001005,11002004,7200,90,4304401,4109401,9,43200,1,235
4103401,4303351,100000,10,"다크비아\n삼림",11002,4201401,11001001,11002005,7200,108,4303401,4107401,10,43200,1,470
4201401,4201351,100000,10,"미마스\n동굴",11003,4104401,11003001,11003001,7200,108,4109401,4101401,11,43200,1,-470
4202401,4202351,100000,10,"레안트 강",11003,4102401,11003002,11003002,7200,90,4110401,4108401,11,43200,1,-155
4203401,4203351,100000,10,"케란드\n폐허",11003,4105401,11003003,11003003,7200,108,4109401,4103401,11,43200,1,160
4204401,4204351,100000,10,"데오네카\n빙해",11003,4107401,11003004,11003004,7200,90,4110401,4106401,11,43200,1,470
