mission_id,condition_value_1,system_id,mission_condition,disp_group,mission_reward_id,condition_num,description,category_icon
1001,0,129,20021,1,1001,5,"프린세스 나이트 RANK 5를 달성하자",1002
1002,0,129,20021,1,1002,10,"프린세스 나이트 RANK 10을 달성하자",1002
1003,0,129,20021,1,1003,30,"프린세스 나이트 RANK 30을 달성하자",1002
1004,0,129,20021,1,1004,50,"프린세스 나이트 RANK 50을 달성하자",1002
1005,0,129,20021,1,1005,100,"프린세스 나이트 RANK 100을 달성하자",1002
1006,0,129,20021,1,1006,150,"프린세스 나이트 RANK 150을 달성하자",1002
1007,0,129,20021,1,1007,200,"프린세스 나이트 RANK 200을 달성하자",1002
1008,0,129,20021,1,1007,250,"프린세스 나이트 RANK 250을 달성하자",1002
1009,0,129,20021,1,1007,300,"프린세스 나이트 RANK 300을 달성하자",1002
2001,1,129,20022,2,2001,50,"불 속성의 속성 레벨을 50까지 올리자",1003
2002,1,129,20022,2,2002,100,"불 속성의 속성 레벨을 100까지 올리자",1003
2003,1,129,20022,2,2003,150,"불 속성의 속성 레벨을 150까지 올리자",1003
2004,1,129,20022,2,2004,200,"불 속성의 속성 레벨을 200까지 올리자",1003
2005,1,129,20022,2,2005,250,"불 속성의 속성 레벨을 250까지 올리자",1003
2006,1,129,20022,2,2006,300,"불 속성의 속성 레벨을 300까지 올리자",1003
2007,1,129,20022,2,2007,350,"불 속성의 속성 레벨을 350까지 올리자",1003
2008,1,129,20022,2,2008,400,"불 속성의 속성 레벨을 400까지 올리자",1003
2009,1,129,20022,2,2009,450,"불 속성의 속성 레벨을 450까지 올리자",1003
2010,1,129,20022,2,2010,500,"불 속성의 속성 레벨을 500까지 올리자",1003
2011,1,129,20022,2,2011,550,"불 속성의 속성 레벨을 550까지 올리자",1003
2012,1,129,20022,2,2012,600,"불 속성의 속성 레벨을 600까지 올리자",1003
2013,1,129,20022,2,2013,650,"불 속성의 속성 레벨을 650까지 올리자",1003
2014,1,129,20022,2,2014,700,"불 속성의 속성 레벨을 700까지 올리자",1003
2015,1,129,20022,2,2015,750,"불 속성의 속성 레벨을 750까지 올리자",1003
3001,2,129,20022,3,2001,50,"물 속성의 속성 레벨을 50까지 올리자",1003
3002,2,129,20022,3,2002,100,"물 속성의 속성 레벨을 100까지 올리자",1003
3003,2,129,20022,3,2003,150,"물 속성의 속성 레벨을 150까지 올리자",1003
3004,2,129,20022,3,2004,200,"물 속성의 속성 레벨을 200까지 올리자",1003
3005,2,129,20022,3,2005,250,"물 속성의 속성 레벨을 250까지 올리자",1003
3006,2,129,20022,3,2006,300,"물 속성의 속성 레벨을 300까지 올리자",1003
3007,2,129,20022,3,2007,350,"물 속성의 속성 레벨을 350까지 올리자",1003
3008,2,129,20022,3,2008,400,"물 속성의 속성 레벨을 400까지 올리자",1003
3009,2,129,20022,3,2009,450,"물 속성의 속성 레벨을 450까지 올리자",1003
3010,2,129,20022,3,2010,500,"물 속성의 속성 레벨을 500까지 올리자",1003
3011,2,129,20022,3,2006,550,"물 속성의 속성 레벨을 550까지 올리자",1003
3012,2,129,20022,3,2007,600,"물 속성의 속성 레벨을 600까지 올리자",1003
3013,2,129,20022,3,2008,650,"물 속성의 속성 레벨을 650까지 올리자",1003
3014,2,129,20022,3,2009,700,"물 속성의 속성 레벨을 700까지 올리자",1003
3015,2,129,20022,3,2010,750,"물 속성의 속성 레벨을 750까지 올리자",1003
4001,3,129,20022,4,2001,50,"바람 속성의 속성 레벨을 50까지 올리자",1003
4002,3,129,20022,4,2002,100,"바람 속성의 속성 레벨을 100까지 올리자",1003
4003,3,129,20022,4,2003,150,"바람 속성의 속성 레벨을 150까지 올리자",1003
4004,3,129,20022,4,2004,200,"바람 속성의 속성 레벨을 200까지 올리자",1003
4005,3,129,20022,4,2005,250,"바람 속성의 속성 레벨을 250까지 올리자",1003
4006,3,129,20022,4,2006,300,"바람 속성의 속성 레벨을 300까지 올리자",1003
4007,3,129,20022,4,2007,350,"바람 속성의 속성 레벨을 350까지 올리자",1003
4008,3,129,20022,4,2008,400,"바람 속성의 속성 레벨을 400까지 올리자",1003
4009,3,129,20022,4,2009,450,"바람 속성의 속성 레벨을 450까지 올리자",1003
4010,3,129,20022,4,2010,500,"바람 속성의 속성 레벨을 500까지 올리자",1003
4011,3,129,20022,4,2006,550,"바람 속성의 속성 레벨을 550까지 올리자",1003
4012,3,129,20022,4,2007,600,"바람 속성의 속성 레벨을 600까지 올리자",1003
4013,3,129,20022,4,2008,650,"바람 속성의 속성 레벨을 650까지 올리자",1003
4014,3,129,20022,4,2009,700,"바람 속성의 속성 레벨을 700까지 올리자",1003
4015,3,129,20022,4,2010,750,"바람 속성의 속성 레벨을 750까지 올리자",1003
5001,4,129,20022,5,2001,50,"빛 속성의 속성 레벨을 50까지 올리자",1003
5002,4,129,20022,5,2002,100,"빛 속성의 속성 레벨을 100까지 올리자",1003
5003,4,129,20022,5,2003,150,"빛 속성의 속성 레벨을 150까지 올리자",1003
5004,4,129,20022,5,2004,200,"빛 속성의 속성 레벨을 200까지 올리자",1003
5005,4,129,20022,5,2005,250,"빛 속성의 속성 레벨을 250까지 올리자",1003
5006,4,129,20022,5,2006,300,"빛 속성의 속성 레벨을 300까지 올리자",1003
5007,4,129,20022,5,2007,350,"빛 속성의 속성 레벨을 350까지 올리자",1003
5008,4,129,20022,5,2008,400,"빛 속성의 속성 레벨을 400까지 올리자",1003
5009,4,129,20022,5,2009,450,"빛 속성의 속성 레벨을 450까지 올리자",1003
5010,4,129,20022,5,2010,500,"빛 속성의 속성 레벨을 500까지 올리자",1003
5011,4,129,20022,5,2006,550,"빛 속성의 속성 레벨을 550까지 올리자",1003
5012,4,129,20022,5,2007,600,"빛 속성의 속성 레벨을 600까지 올리자",1003
5013,4,129,20022,5,2008,650,"빛 속성의 속성 레벨을 650까지 올리자",1003
5014,4,129,20022,5,2009,700,"빛 속성의 속성 레벨을 700까지 올리자",1003
5015,4,129,20022,5,2010,750,"빛 속성의 속성 레벨을 750까지 올리자",1003
6001,5,129,20022,6,2001,50,"어둠 속성의 속성 레벨을 50까지 올리자",1003
6002,5,129,20022,6,2002,100,"어둠 속성의 속성 레벨을 100까지 올리자",1003
6003,5,129,20022,6,2003,150,"어둠 속성의 속성 레벨을 150까지 올리자",1003
6004,5,129,20022,6,2004,200,"어둠 속성의 속성 레벨을 200까지 올리자",1003
6005,5,129,20022,6,2005,250,"어둠 속성의 속성 레벨을 250까지 올리자",1003
6006,5,129,20022,6,2006,300,"어둠 속성의 속성 레벨을 300까지 올리자",1003
6007,5,129,20022,6,2007,350,"어둠 속성의 속성 레벨을 350까지 올리자",1003
6008,5,129,20022,6,2008,400,"어둠 속성의 속성 레벨을 400까지 올리자",1003
6009,5,129,20022,6,2009,450,"어둠 속성의 속성 레벨을 450까지 올리자",1003
6010,5,129,20022,6,2010,500,"어둠 속성의 속성 레벨을 500까지 올리자",1003
6011,5,129,20022,6,2006,550,"어둠 속성의 속성 레벨을 550까지 올리자",1003
6012,5,129,20022,6,2007,600,"어둠 속성의 속성 레벨을 600까지 올리자",1003
6013,5,129,20022,6,2008,650,"어둠 속성의 속성 레벨을 650까지 올리자",1003
6014,5,129,20022,6,2009,700,"어둠 속성의 속성 레벨을 700까지 올리자",1003
6015,5,129,20022,6,2010,750,"어둠 속성의 속성 레벨을 750까지 올리자",1003
7001,0,129,20023,7,7001,10,"노드를 10개 강화 완료하자",1004
7002,0,129,20023,7,7002,20,"노드를 20개 강화 완료하자",1004
7003,0,129,20023,7,7003,30,"노드를 30개 강화 완료하자",1004
7004,0,129,20023,7,7004,40,"노드를 40개 강화 완료하자",1004
7005,0,129,20023,7,7005,50,"노드를 50개 강화 완료하자",1004
7006,0,129,20023,7,7006,60,"노드를 60개 강화 완료하자",1004
7007,0,129,20023,7,7007,70,"노드를 70개 강화 완료하자",1004
7008,0,129,20023,7,7008,80,"노드를 80개 강화 완료하자",1004
7009,0,129,20023,7,7009,90,"노드를 90개 강화 완료하자",1004
7010,0,129,20023,7,7010,100,"노드를 100개 강화 완료하자",1004
7011,0,129,20023,7,7011,110,"노드를 110개 강화 완료하자",1004
7012,0,129,20023,7,7012,120,"노드를 120개 강화 완료하자",1004
7013,0,129,20023,7,7013,130,"노드를 130개 강화 완료하자",1004
7014,0,129,20023,7,7014,140,"노드를 140개 강화 완료하자",1004
7015,0,129,20023,7,7015,150,"노드를 150개 강화 완료하자",1004
7016,0,129,20023,7,7016,160,"노드를 160개 강화 완료하자",1004
7017,0,129,20023,7,7017,170,"노드를 170개 강화 완료하자",1004
7018,0,129,20023,7,7018,180,"노드를 180개 강화 완료하자",1004
7019,0,129,20023,7,7019,190,"노드를 190개 강화 완료하자",1004
7020,0,129,20023,7,7020,200,"노드를 200개 강화 완료하자",1004
7021,0,129,20023,7,7021,210,"노드를 210개 강화 완료하자",1004
7022,0,129,20023,7,7022,222,"노드를 222개 강화 완료하자",1004
7023,0,129,20023,7,7022,250,"노드를 250개 강화 완료하자",1004
7024,0,129,20023,7,7022,275,"노드를 275개 강화 완료하자",1004
7025,0,129,20023,7,7022,300,"노드를 300개 강화 완료하자",1004
7026,0,129,20023,7,7022,325,"노드를 325개 강화 완료하자",1004
7027,0,129,20023,7,7022,350,"노드를 350개 강화 완료하자",1004
7028,0,129,20023,7,7022,375,"노드를 375개 강화 완료하자",1004
7029,0,129,20023,7,7022,400,"노드를 400개 강화 완료하자",1004
7030,0,129,20023,7,7022,430,"노드를 430개 강화 완료하자",1004
8001,0,129,20024,8,8001,5,"노드를 5개 강화 완료하자",1005
8002,0,129,20024,8,8002,10,"노드를 10개 강화 완료하자",1005
8003,0,129,20024,8,8003,15,"노드를 15개 강화 완료하자",1005
8004,0,129,20024,8,8004,20,"노드를 20개 강화 완료하자",1005
8005,0,129,20024,8,8005,25,"노드를 25개 강화 완료하자",1005
8006,0,129,20024,8,8006,33,"노드를 33개 강화 완료하자",1005
8007,0,129,20024,8,8007,40,"노드를 40개 강화 완료하자",1005
8008,0,129,20024,8,8007,50,"노드를 50개 강화 완료하자",1005
8009,0,129,20024,8,8007,60,"노드를 60개 강화 완료하자",1005
