emblem_id,reward_type,title,wtm_story_type,reward_count,original_event_id,condition_quest_id,condition_sub_story_id_1,condition_sub_story_id_2,sub_story_id,reward_id
0,8,"둘만의 시간",2,25,10128,10157107,0,0,5128071,91002
0,8,"새집의 필수 조건",2,25,10128,0,5128071,0,5128072,91002
0,8,"사실은 누구보다도",2,25,10128,0,5128072,0,5128073,91002
0,8,"가족끼리 소중하게 하고 싶은 것",2,25,10128,0,5128073,0,5128074,91002
0,8,"맹세의 말",2,50,10128,0,5128074,0,5128075,91002
0,8,"피의 혼약 보고",3,25,10128,10157107,0,0,5128081,91002
0,8,"떠돌이의 집 구하기",3,25,10128,0,5128081,0,5128082,91002
0,8,"사랑스러운 시간",3,25,10128,0,5128082,0,5128083,91002
0,8,"동국의 가족 문화",3,25,10128,0,5128083,0,5128084,91002
0,8,"꾸밈없는 사랑을",3,50,10128,0,5128084,0,5128085,91002
0,0,"구두 약속은 재앙의 근원",4,0,10128,0,5128075,5128085,5128091,0
11001271,0,"양보할 수 없는 가정의 맛",4,0,10128,0,5128091,0,5128092,0
0,0,"꿈의 이야기꾼에게 이끌려",1,0,10128,10157107,0,0,5128161,0
