life_steal,union_burst_level,rarity,hp_recovery_rate,ex_skill_lv_2,dodge,break_durability,magic_penetrate,magic_str,main_skill_lv_4,main_skill_lv_6,atk,hp,energy_recovery_rate,virtual_hp,physical_critical,main_skill_lv_5,magic_def,energy_reduce_rate,physical_penetrate,enemy_id,main_skill_lv_9,promotion_level,resist_status_id,wave_energy_recovery,accuracy,ex_skill_lv_1,magic_critical,main_skill_lv_3,resist_variation_id,level,main_skill_lv_7,ex_skill_lv_5,main_skill_lv_10,ex_skill_lv_4,name,def,unit_id,main_skill_lv_2,ex_skill_lv_3,unique_equipment_flag_1,main_skill_lv_1,wave_hp_recovery,main_skill_lv_8
0,3010,0,0,0,0,0,0,0,3010,0,224,1660167,0,0,0,3010,2265,0,0,810100101,0,1,200000001,0,42,0,0,3010,0,301,0,0,0,0,"터틀 타이런트",1510,251100,3010,0,0,3010,0,0
0,3010,0,0,0,0,0,0,0,3010,0,292,2397387,0,0,0,3010,3624,0,0,810100102,0,1,200000001,0,42,0,0,3010,0,301,0,0,0,0,"블루 골렘",604,250800,3010,0,0,3010,0,0
0,3010,0,0,0,0,0,0,0,3010,0,660,1693693,0,0,0,3010,2718,0,0,810100103,0,1,200000001,0,42,0,0,3010,0,301,0,0,0,0,"움직이는 검사 석상",1208,251000,3010,0,0,3010,0,0
0,301,6,69,0,26,0,0,0,301,0,4756,1190448,30,0,536,301,2929,5,0,810100104,0,32,200000001,0,42,0,0,301,0,301,0,0,0,0,"쥰의 섀도우",2554,604701,301,0,1,301,0,0
0,301,6,55,0,34,0,0,0,301,0,9894,565544,29,0,1165,301,1238,2,0,810100105,0,32,200000001,0,67,0,0,301,0,301,0,0,0,0,"아오이의 섀도우",1224,604001,301,0,1,301,0,0
0,0,1,0,0,1,0,0,0,0,5000,0,1000000000,0,0,0,0,0,0,0,810100106,0,1,300000008,0,100,0,0,100,0,301,150,0,0,0,"버스트 에너미",0,217300,100,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,810100107,0,1,300000008,0,100,0,0,0,0,301,0,0,0,0,"버스트 에너미",0,217301,0,0,0,100,0,0
0,3010,0,0,0,0,0,0,15693,3010,0,0,5862568,0,0,0,3010,2265,0,0,810100201,0,1,200000001,0,42,0,0,3010,0,301,0,0,0,0,"게이트 키퍼",1510,251500,3010,0,0,3010,0,0
0,3010,0,0,0,0,0,0,0,3010,0,5318,7557183,0,0,0,3010,2265,0,0,810100202,0,1,200000001,0,42,0,0,3010,0,301,0,0,0,0,"하이 오크",906,252900,3010,0,0,3010,0,0
0,3010,0,0,0,0,0,0,3487,3010,0,0,8817438,0,0,0,3010,906,0,0,810100203,0,1,200000001,0,42,0,0,3010,0,301,0,0,0,0,"장난 너구리",604,250600,3010,0,0,3010,0,0
