id,boss_time_to,top_bg,boss_time_from,sheet_id,scale_ratio,sekai_id,description,sekai_boss_mode_id,name,boss_hp_from,story_id,position_y,que_id,duration,position_x,boss_mode,boss_hp_to
1,"2020/04/01 7:59:59",100584,2020/04/01,bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001001,"로보리마 습격!",1000000000000,4004101,0,bgm_M220,480,0,1,500000000001
2,"2020/04/01 12:59:59",100584,"2020/04/01 8:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001002,"로보리마 습격!",500000000000,4004102,0,bgm_M220,300,0,2,300000000001
3,"2020/04/01 17:59:59",100584,"2020/04/01 13:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001003,"로보리마 습격!",300000000000,4004103,0,bgm_M220,300,0,3,100000000001
4,"2020/04/01 19:59:59",100584,"2020/04/01 18:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001001,"로보리마 습격!",100000000000,4004104,0,bgm_M220,120,0,1,50000000001
5,"2020/04/01 23:59:59",100584,"2020/04/01 20:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001002,"로보리마 습격!",50000000000,0,0,bgm_M220,240,0,2,0
8,"2020/04/01 7:59:59",100584,2020/04/01,bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001004,"로보리마 습격!",0,4004109,0,bgm_M220,480,0,1,0
9,"2020/04/01 12:59:59",100584,"2020/04/01 8:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001005,"로보리마 습격!",0,0,0,bgm_M220,300,0,2,0
10,"2020/04/01 17:59:59",100584,"2020/04/01 13:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001006,"로보리마 습격!",0,0,0,bgm_M220,300,0,3,0
11,"2020/04/01 20:59:59",100584,"2020/04/01 18:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001004,"로보리마 습격!",0,0,0,bgm_M220,180,0,1,0
12,"2020/04/01 23:59:59",100584,"2020/04/01 21:00:00",bgm_M220,1.0,1001,"왕도 멸망까지의 카운트다운 ~04/01 23:59",1001005,"로보리마 습격!",0,0,0,bgm_M220,180,0,2,0
15,"2021/04/01 7:59:59",100584,2021/04/01,bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002001,"거대 그림자 부활",500000000000,4004101,0,bgm_M220,480,0,1,400000000001
16,"2021/04/01 12:59:59",100584,"2021/04/01 8:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002002,"거대 그림자 부활",400000000000,4004102,0,bgm_M220,300,0,2,300000000001
17,"2021/04/01 17:59:59",100584,"2021/04/01 13:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002003,"거대 그림자 부활",300000000000,4004103,0,bgm_M220,300,0,3,200000000001
18,"2021/04/01 19:59:59",100584,"2021/04/01 18:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002001,"거대 그림자 부활",200000000000,4004104,0,bgm_M220,120,0,1,100000000001
19,"2021/04/01 23:59:59",100584,"2021/04/01 20:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002002,"거대 그림자 부활",100000000000,0,0,bgm_M220,240,0,2,0
22,"2021/04/01 7:59:59",100584,2021/04/01,bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002004,"거대 그림자 부활",0,4004109,0,bgm_M220,480,0,1,0
23,"2021/04/01 12:59:59",100584,"2021/04/01 8:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002005,"거대 그림자 부활",0,0,0,bgm_M220,300,0,2,0
24,"2021/04/01 17:59:59",100584,"2021/04/01 13:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002006,"거대 그림자 부활",0,0,0,bgm_M220,300,0,3,0
25,"2021/04/01 20:59:59",100584,"2021/04/01 18:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002004,"거대 그림자 부활",0,0,0,bgm_M220,180,0,1,0
26,"2021/04/01 21:59:59",100584,"2021/04/01 21:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002005,"거대 그림자 부활",0,0,0,bgm_M220,60,0,2,0
27,"2021/04/01 22:59:59",100584,"2021/04/01 22:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002006,"거대 그림자 부활",0,0,0,bgm_M220,60,0,3,0
28,"2021/04/01 23:59:59",100584,"2021/04/01 23:00:00",bgm_M220,1.0,1002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002004,"거대 그림자 부활",0,0,0,bgm_M220,60,0,1,0
100,"2024/04/01 7:59:59",100584,2024/04/01,bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002001,"거대 그림자 부활",900000000000,4004101,0,bgm_M220,480,0,1,720000000001
101,"2024/04/01 12:59:59",100584,"2024/04/01 8:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002002,"거대 그림자 부활",720000000000,4004102,0,bgm_M220,300,0,2,540000000001
102,"2024/04/01 17:59:59",100584,"2024/04/01 13:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002003,"거대 그림자 부활",540000000000,4004103,0,bgm_M220,300,0,3,360000000001
103,"2024/04/01 19:59:59",100584,"2024/04/01 18:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002001,"거대 그림자 부활",360000000000,4004104,0,bgm_M220,120,0,1,180000000001
104,"2024/04/01 23:59:59",100584,"2024/04/01 20:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002002,"거대 그림자 부활",180000000000,0,0,bgm_M220,240,0,2,0
105,"2024/04/01 7:59:59",100584,2024/04/01,bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002004,"거대 그림자 부활",0,4004109,0,bgm_M220,480,0,1,0
106,"2024/04/01 12:59:59",100584,"2024/04/01 8:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002005,"거대 그림자 부활",0,0,0,bgm_M220,300,0,2,0
107,"2024/04/01 17:59:59",100584,"2024/04/01 13:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002006,"거대 그림자 부활",0,0,0,bgm_M220,300,0,3,0
108,"2024/04/01 20:59:59",100584,"2024/04/01 18:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002004,"거대 그림자 부활",0,0,0,bgm_M220,180,0,1,0
109,"2024/04/01 21:59:59",100584,"2024/04/01 21:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002005,"거대 그림자 부활",0,0,0,bgm_M220,60,0,2,0
110,"2024/04/01 22:59:59",100584,"2024/04/01 22:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002006,"거대 그림자 부활",0,0,0,bgm_M220,60,0,3,0
111,"2024/04/01 23:59:59",100584,"2024/04/01 23:00:00",bgm_M220,1.0,10002,"배틀 오브 랜드솔 거대 그림자 부활 ~04/01 23:59",1002004,"거대 그림자 부활",0,0,0,bgm_M220,60,0,1,0
