bgm_volume_rate,movie_id,se_id,fade_loop_flag,story_group_id,my_page_flag,story_id,bgm_id
1.0,1000101,"",1,5001,0,5001000,bgm_M32
1.0,1000201,"",1,5002,0,5002000,bgm_M98
1.0,1000301,"",1,5003,0,5003000,bgm_M106
1.0,1000401,"",1,5004,0,5004000,bgm_M112
1.0,1000501,"",1,5005,0,5005000,bgm_M121
1.0,1000601,"",1,5006,0,5006000,bgm_M128
1.0,1000701,"",1,5007,0,5007000,bgm_M135
1.0,1000801,"",1,5008,0,5008000,bgm_M162
1.0,1000901,"",1,5009,0,5009000,bgm_M171
1.0,1001001,"",1,5010,0,5010000,bgm_M182_02
1.0,1001101,"",1,5011,0,5011000,bgm_M189
1.0,1001201,"",1,5012,0,5012000,bgm_M206
1.0,1001301,"",1,5013,0,5013000,bgm_M215
1.0,1001501,"",1,5015,0,5015000,bgm_M223
1.0,1001701,"",1,5017,0,5017000,""
1.0,1001901,"",1,5019,0,5019000,bgm_M237
1.0,1002101,"",1,5021,0,5021000,bgm_M245_02
1.0,1002301,"",1,5023,0,5023000,bgm_M254
1.0,1002501,"",1,5025,0,5025000,bgm_M265_Top
1.0,1002701,"",1,5027,0,5027000,bgm_M273
1.0,1002901,"",1,5029,0,5029000,bgm_M281
1.0,1003101,"",1,5031,0,5031000,bgm_M294
1.0,1003301,"",1,5033,0,5033000,bgm_M316
1.0,1003601,"",1,5036,0,5036001,bgm_M341
1.0,1003801,"",1,5038,0,5038000,bgm_M343
1.0,1004001,"",1,5040,0,5040000,bgm_M351
1.0,1004201,"",1,5042,0,5042000,bgm_M375
1.0,1004401,"",1,5044,0,5044000,bgm_M380A
1.0,1004601,"",1,5046,0,5046000,bgm_M393
1.0,1004801,"",1,5048,0,5048000,bgm_M403
1.0,1005001,"",1,5050,0,5050000,bgm_M413
1.0,1005201,"",1,5052,0,5052000,bgm_M421
1.0,1005401,"",1,5054,0,5054000,bgm_M426
1.0,1005601,"",1,5056,0,5056000,bgm_M435
1.0,1005801,"",1,5058,0,5058000,bgm_M442A
1.0,1006101,"",1,5061,0,5061000,bgm_M451
1.0,1006401,"",1,5064,0,5064000,bgm_M457
1.0,1006601,"",1,5066,0,5066000,bgm_M467
1.0,1006801,"",1,5068,0,5068000,bgm_M478_Lofi
1.0,1007001,"",1,5070,0,5070000,bgm_M486
1.0,1007201,"",1,5072,0,5072000,bgm_M496
1.0,1007401,"",1,5074,0,5074000,bgm_M508
1.0,1007601,"",1,5076,0,5076000,bgm_M520
1.0,1007801,"",1,5078,0,5078000,bgm_M527
1.0,1008001,"",1,5080,0,5080000,bgm_M536
1.0,1008201,"",1,5082,0,5082000,bgm_M543
1.0,1008401,"",1,5084,0,5084000,bgm_M552
1.0,1008801,"",1,5088,0,5088000,bgm_M565
1.0,1009001,"",1,5090,0,5090000,bgm_M574
1.0,1009201,"",1,5092,0,5092000,bgm_M582
1.0,1009401,"",1,5094,0,5094000,bgm_M595
1.0,1009601,"",1,5096,0,5096000,bgm_M601
1.0,1009801,"",1,5098,0,5098000,bgm_M608
1.0,1010001,"",1,5100,0,5100000,bgm_M618
1.0,1010201,"",1,5102,0,5102000,bgm_M623
1.0,1010401,"",1,5104,0,5104000,bgm_M630
1.0,1010601,"",1,5106,0,5106000,bgm_M638
1.0,1010801,"",1,5108,0,5108000,bgm_M647
1.0,1011001,"",1,5110,0,5110000,bgm_M659
1.0,1011401,"",1,5114,0,5114000,bgm_M668
1.0,1011601,"",1,5116,0,5116000,bgm_MC017
1.0,1011801,"",1,5118,0,5118000,bgm_MC026
1.0,1012001,"",1,5120,0,5120000,bgm_MC036
1.0,1012201,"",1,5122,0,5122000,bgm_MC046
1.0,1012401,"",1,5124,0,5124000,bgm_MC056
1.0,1012601,"",1,5126,0,5126000,bgm_MC063
1.0,1012801,"",1,5128,0,5128000,bgm_MC075
1.0,1013001,"",1,5130,0,5130000,bgm_MC082
1.0,1013201,"",1,5132,0,5132000,bgm_MC091
1.0,1013401,"",1,5134,0,5134000,bgm_MC099
1.0,1013601,"",1,5136,0,5136000,bgm_MC110
1.0,1014001,"",1,5140,0,5140000,bgm_MC124
1.0,1014201,"",1,5142,0,5142000,bgm_MC136
1.0,1014401,"",1,5144,0,5144000,bgm_MC143
1.0,1014601,"",1,5146,0,5146000,bgm_MC147
1.0,1014801,"",1,5148,0,5148000,bgm_MC156
1.0,1015001,"",1,5150,0,5150000,bgm_MC162
1.0,1015201,"",1,5152,0,5152000,bgm_MC172_TitleCall
1.0,180100301,"",1,1801,1,1801003,""
1.0,180200301,"",1,1802,1,1802003,""
1.0,180300301,"",1,1803,1,1803003,""
1.0,180400301,"",1,1804,1,1804003,""
1.0,180500301,"",1,1805,0,1805003,""
1.0,180600301,"",1,1806,1,1806003,""
1.0,181200301,"",1,1812,1,1812003,""
1.0,200000101,amb_adv_mystery_01,0,2000,0,2000001,""
1.0,200000102,"",0,2000,0,2000001,bgm_M38
1.0,200000103,"",0,2000,0,2000001,bgm_M38
1.0,200000201,"",1,2000,1,2000002,""
1.0,200000280,"",1,2000,1,2000002,""
1.0,200100101,"",1,2001,1,2001001,bgm_M12_emt01_001
1.0,200100201,"",1,2001,1,2001002,""
1.0,200100301,"",1,2001,1,2001003,bgm_M13
1.0,200100401,"",1,2001,1,2001004,bgm_M43
1.0,200100501,"",1,2001,1,2001005,""
1.0,200100580,"",1,2001,1,2001005,""
1.0,200100581,"",1,2001,0,2001005,""
1.0,200200101,amb_adv_room_noise_01,1,2002,1,2002001,""
1.0,200200201,"",1,2002,1,2002002,bgm_M23_emt02_002
1.0,200200301,amb_adv_wind_01,1,2002,1,2002003,bgm_M23_emt02_003
1.0,200200401,"",1,2002,1,2002004,bgm_M22_emt02_004
1.0,200200501,"",1,2002,1,2002005,bgm_M23_emt02_005
1.0,200200580,"",1,2002,1,2002005,""
1.0,200200581,"",1,2002,0,2002005,""
1.0,200300101,"",1,2003,1,2003001,bgm_M35_emt03_001
1.0,200300201,amb_adv_room_noise_night_01,1,2003,1,2003002,bgm_M19
1.0,200300401,"",1,2003,1,2003004,""
1.0,200300501,amb_adv_outdoors_night_02,1,2003,1,2003005,""
1.0,200300580,"",1,2003,1,2003005,""
1.0,200300581,"",1,2003,0,2003005,""
1.0,200400201,"",1,2004,1,2004002,bgm_M17_emt04_002
1.0,200400301,amb_adv_outdoors_day_01,1,2004,1,2004003,bgm_M17_emt04_003
1.0,200400401,"",1,2004,1,2004004,bgm_M63_emt04_004
1.0,200400501,"",1,2004,1,2004005,bgm_M24_emt04_005
1.0,200400580,"",1,2004,1,2004005,""
1.0,200400581,"",1,2004,0,2004005,""
1.0,200500301,amb_adv_prison_01,1,2005,1,2005003,bgm_M50
1.0,200500401,amb_adv_between_the_kings_01,1,2005,1,2005004,bgm_M49_emt05_004
1.0,200500501,"",1,2005,1,2005005,""
1.0,200500601,amb_adv_wind_04,1,2005,1,2005006,bgm_M34_emt05_006
1.0,200500602,amb_adv_wind_04,1,2005,1,2005006,bgm_M49_emt05_006
1.0,200500603,"",1,2005,1,2005006,""
1.0,200500680,"",1,2005,1,2005006,""
