mission_reward_id,mission_condition,unknown_8,description,schedule_id,condition_num,mission_id,condition_value_1,disp_group
100101,4101,0,"★을 누적 3개 획득하자",1001,3,100000001,3,1
100102,4101,0,"★을 누적 6개 획득하자",1001,6,100000002,6,2
100103,4101,1,"★을 누적 9개 획득하자",1001,9,100000003,9,3
100104,4101,0,"★을 누적 12개 획득하자",1001,12,100000004,12,4
100105,4101,0,"★을 누적 15개 획득하자",1001,15,100000005,15,5
100106,4101,0,"★을 누적 18개 획득하자",1001,18,100000006,18,6
100107,4101,1,"★을 누적 21개 획득하자",1001,21,100000007,21,7
100108,4101,0,"★을 누적 24개 획득하자",1001,24,100000008,24,8
100109,4101,1,"★을 누적 27개 획득하자",1001,27,100000009,27,9
100110,4101,0,"★을 누적 30개 획득하자",1001,30,100000010,30,10
100111,4101,0,"★을 누적 33개 획득하자",1001,33,100000011,33,11
100112,4101,1,"★을 누적 36개 획득하자",1001,36,100000012,36,12
100113,4101,0,"★을 누적 39개 획득하자",1001,39,100000013,39,13
100114,4101,0,"★을 누적 42개 획득하자",1001,42,100000014,42,14
100115,4101,1,"★을 누적 45개 획득하자",1001,45,100000015,45,15
100116,4101,0,"★을 누적 48개 획득하자",1001,48,100000016,48,16
100117,4101,1,"★을 누적 51개 획득하자",1001,51,100000017,51,17
100118,4101,0,"★을 누적 54개 획득하자",1001,54,100000018,54,18
100201,4101,0,"★을 누적 3개 획득하자",1002,3,100200001,3,1
100202,4101,0,"★을 누적 6개 획득하자",1002,6,100200002,6,2
100203,4101,1,"★을 누적 9개 획득하자",1002,9,100200003,9,3
100204,4101,0,"★을 누적 12개 획득하자",1002,12,100200004,12,4
100205,4101,0,"★을 누적 15개 획득하자",1002,15,100200005,15,5
100206,4101,0,"★을 누적 18개 획득하자",1002,18,100200006,18,6
100207,4101,1,"★을 누적 21개 획득하자",1002,21,100200007,21,7
100208,4101,0,"★을 누적 24개 획득하자",1002,24,100200008,24,8
100209,4101,1,"★을 누적 27개 획득하자",1002,27,100200009,27,9
100210,4101,0,"★을 누적 30개 획득하자",1002,30,100200010,30,10
100211,4101,0,"★을 누적 33개 획득하자",1002,33,100200011,33,11
100212,4101,1,"★을 누적 36개 획득하자",1002,36,100200012,36,12
100213,4101,0,"★을 누적 39개 획득하자",1002,39,100200013,39,13
100214,4101,0,"★을 누적 42개 획득하자",1002,42,100200014,42,14
100215,4101,1,"★을 누적 45개 획득하자",1002,45,100200015,45,15
100216,4101,0,"★을 누적 48개 획득하자",1002,48,100200016,48,16
100217,4101,1,"★을 누적 51개 획득하자",1002,51,100200017,51,17
100218,4101,0,"★을 누적 54개 획득하자",1002,54,100200018,54,18
100301,4101,0,"★을 누적 3개 획득하자",1003,3,100300001,3,1
100302,4101,0,"★을 누적 6개 획득하자",1003,6,100300002,6,2
100303,4101,1,"★을 누적 9개 획득하자",1003,9,100300003,9,3
100304,4101,0,"★을 누적 12개 획득하자",1003,12,100300004,12,4
100305,4101,0,"★을 누적 15개 획득하자",1003,15,100300005,15,5
100306,4101,0,"★을 누적 18개 획득하자",1003,18,100300006,18,6
100307,4101,1,"★을 누적 21개 획득하자",1003,21,100300007,21,7
100308,4101,0,"★을 누적 24개 획득하자",1003,24,100300008,24,8
100309,4101,1,"★을 누적 27개 획득하자",1003,27,100300009,27,9
100310,4101,0,"★을 누적 30개 획득하자",1003,30,100300010,30,10
100311,4101,0,"★을 누적 33개 획득하자",1003,33,100300011,33,11
100312,4101,1,"★을 누적 36개 획득하자",1003,36,100300012,36,12
100313,4101,0,"★을 누적 39개 획득하자",1003,39,100300013,39,13
100314,4101,0,"★을 누적 42개 획득하자",1003,42,100300014,42,14
100315,4101,1,"★을 누적 45개 획득하자",1003,45,100300015,45,15
100316,4101,0,"★을 누적 48개 획득하자",1003,48,100300016,48,16
100317,4101,1,"★을 누적 51개 획득하자",1003,51,100300017,51,17
100318,4101,0,"★을 누적 54개 획득하자",1003,54,100300018,54,18
100401,4101,0,"★을 누적 3개 획득하자",1004,3,100400001,3,1
100402,4101,0,"★을 누적 6개 획득하자",1004,6,100400002,6,2
100403,4101,1,"★을 누적 9개 획득하자",1004,9,100400003,9,3
100404,4101,0,"★을 누적 12개 획득하자",1004,12,100400004,12,4
100405,4101,0,"★을 누적 15개 획득하자",1004,15,100400005,15,5
100406,4101,0,"★을 누적 18개 획득하자",1004,18,100400006,18,6
100407,4101,1,"★을 누적 21개 획득하자",1004,21,100400007,21,7
100408,4101,0,"★을 누적 24개 획득하자",1004,24,100400008,24,8
100409,4101,1,"★을 누적 27개 획득하자",1004,27,100400009,27,9
100410,4101,0,"★을 누적 30개 획득하자",1004,30,100400010,30,10
100411,4101,0,"★을 누적 33개 획득하자",1004,33,100400011,33,11
100412,4101,1,"★을 누적 36개 획득하자",1004,36,100400012,36,12
100413,4101,0,"★을 누적 39개 획득하자",1004,39,100400013,39,13
100414,4101,0,"★을 누적 42개 획득하자",1004,42,100400014,42,14
100415,4101,1,"★을 누적 45개 획득하자",1004,45,100400015,45,15
100416,4101,0,"★을 누적 48개 획득하자",1004,48,100400016,48,16
100417,4101,1,"★을 누적 51개 획득하자",1004,51,100400017,51,17
100418,4101,0,"★을 누적 54개 획득하자",1004,54,100400018,54,18
100501,4101,0,"★을 누적 3개 획득하자",1005,3,100500001,3,1
100502,4101,0,"★을 누적 6개 획득하자",1005,6,100500002,6,2
100503,4101,1,"★을 누적 9개 획득하자",1005,9,100500003,9,3
100504,4101,0,"★을 누적 12개 획득하자",1005,12,100500004,12,4
100505,4101,0,"★을 누적 15개 획득하자",1005,15,100500005,15,5
100506,4101,0,"★을 누적 18개 획득하자",1005,18,100500006,18,6
100507,4101,1,"★을 누적 21개 획득하자",1005,21,100500007,21,7
100508,4101,0,"★을 누적 24개 획득하자",1005,24,100500008,24,8
100509,4101,1,"★을 누적 27개 획득하자",1005,27,100500009,27,9
100510,4101,0,"★을 누적 30개 획득하자",1005,30,100500010,30,10
100511,4101,0,"★을 누적 33개 획득하자",1005,33,100500011,33,11
100512,4101,1,"★을 누적 36개 획득하자",1005,36,100500012,36,12
100513,4101,0,"★을 누적 39개 획득하자",1005,39,100500013,39,13
100514,4101,0,"★을 누적 42개 획득하자",1005,42,100500014,42,14
100515,4101,1,"★을 누적 45개 획득하자",1005,45,100500015,45,15
100516,4101,0,"★을 누적 48개 획득하자",1005,48,100500016,48,16
100517,4101,1,"★을 누적 51개 획득하자",1005,51,100500017,51,17
100518,4101,0,"★을 누적 54개 획득하자",1005,54,100500018,54,18
100601,4101,0,"★을 누적 3개 획득하자",1006,3,100600001,3,1
100602,4101,0,"★을 누적 6개 획득하자",1006,6,100600002,6,2
100603,4101,1,"★을 누적 9개 획득하자",1006,9,100600003,9,3
100604,4101,0,"★을 누적 12개 획득하자",1006,12,100600004,12,4
100605,4101,0,"★을 누적 15개 획득하자",1006,15,100600005,15,5
100606,4101,0,"★을 누적 18개 획득하자",1006,18,100600006,18,6
100607,4101,1,"★을 누적 21개 획득하자",1006,21,100600007,21,7
100608,4101,0,"★을 누적 24개 획득하자",1006,24,100600008,24,8
100609,4101,1,"★을 누적 27개 획득하자",1006,27,100600009,27,9
100610,4101,0,"★을 누적 30개 획득하자",1006,30,100600010,30,10
100611,4101,0,"★을 누적 33개 획득하자",1006,33,100600011,33,11
100612,4101,1,"★을 누적 36개 획득하자",1006,36,100600012,36,12
100613,4101,0,"★을 누적 39개 획득하자",1006,39,100600013,39,13
100614,4101,0,"★을 누적 42개 획득하자",1006,42,100600014,42,14
100615,4101,1,"★을 누적 45개 획득하자",1006,45,100600015,45,15
100616,4101,0,"★을 누적 48개 획득하자",1006,48,100600016,48,16
100617,4101,1,"★을 누적 51개 획득하자",1006,51,100600017,51,17
100618,4101,0,"★을 누적 54개 획득하자",1006,54,100600018,54,18
100701,4101,0,"★을 누적 3개 획득하자",1007,3,100700001,3,1
100702,4101,0,"★을 누적 6개 획득하자",1007,6,100700002,6,2
100703,4101,1,"★을 누적 9개 획득하자",1007,9,100700003,9,3
100704,4101,0,"★을 누적 12개 획득하자",1007,12,100700004,12,4
100705,4101,0,"★을 누적 15개 획득하자",1007,15,100700005,15,5
100706,4101,0,"★을 누적 18개 획득하자",1007,18,100700006,18,6
100707,4101,1,"★을 누적 21개 획득하자",1007,21,100700007,21,7
100708,4101,0,"★을 누적 24개 획득하자",1007,24,100700008,24,8
100709,4101,1,"★을 누적 27개 획득하자",1007,27,100700009,27,9
100710,4101,0,"★을 누적 30개 획득하자",1007,30,100700010,30,10
100711,4101,0,"★을 누적 33개 획득하자",1007,33,100700011,33,11
100712,4101,1,"★을 누적 36개 획득하자",1007,36,100700012,36,12
100713,4101,0,"★을 누적 39개 획득하자",1007,39,100700013,39,13
100714,4101,0,"★을 누적 42개 획득하자",1007,42,100700014,42,14
100715,4101,1,"★을 누적 45개 획득하자",1007,45,100700015,45,15
100716,4101,0,"★을 누적 48개 획득하자",1007,48,100700016,48,16
100717,4101,1,"★을 누적 51개 획득하자",1007,51,100700017,51,17
100718,4101,0,"★을 누적 54개 획득하자",1007,54,100700018,54,18
100801,4101,0,"★을 누적 3개 획득하자",1008,3,100800001,3,1
100802,4101,0,"★을 누적 6개 획득하자",1008,6,100800002,6,2
100803,4101,1,"★을 누적 9개 획득하자",1008,9,100800003,9,3
100804,4101,0,"★을 누적 12개 획득하자",1008,12,100800004,12,4
100805,4101,0,"★을 누적 15개 획득하자",1008,15,100800005,15,5
100806,4101,0,"★을 누적 18개 획득하자",1008,18,100800006,18,6
100807,4101,1,"★을 누적 21개 획득하자",1008,21,100800007,21,7
100808,4101,0,"★을 누적 24개 획득하자",1008,24,100800008,24,8
100809,4101,1,"★을 누적 27개 획득하자",1008,27,100800009,27,9
100810,4101,0,"★을 누적 30개 획득하자",1008,30,100800010,30,10
100811,4101,0,"★을 누적 33개 획득하자",1008,33,100800011,33,11
100812,4101,1,"★을 누적 36개 획득하자",1008,36,100800012,36,12
100813,4101,0,"★을 누적 39개 획득하자",1008,39,100800013,39,13
100814,4101,0,"★을 누적 42개 획득하자",1008,42,100800014,42,14
